[2023-05-31 15:28:38] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-05-31 15:28:38] Command line arguments:
- args.data_root             : /mnt/local/datasets/manual/
- args.data_name             : imagenet2012
- args.resnet_depth          : 101
- args.resnet_width          : 1
- args.batch_size            : 2048
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 64000
- args.optim_lr              : 0.8
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.0
- args.optim_global_clipping : None
- args.save                  : ./save/imagenet2012/resnet_101x1-batch_2048-iter_64k-lr_0.8-wd_0.0001-fp16/42/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-05-31 15:28:39] Multiple local devices are detected:
[StreamExecutorGpuDevice(id=0, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=1, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=2, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=3, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=4, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=5, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=6, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=7, process_index=0, slice_index=0)]

[2023-05-31 15:29:08] images.shape: (8, 256, 224, 224, 3), output.shape: (8, 256, 2048)
[2023-05-31 20:30:41] [Iter   35000/  64000] trn/loss 1.782e+00, trn/negative_log_likelihood 1.782e+00, trn/w_norm 1.445e+02, trn/g_norm 9.890e-01, trn/lr 4.153e-01, trn/dyn_scale 6.554e+04, val/acc 5.741e-01, val/nll 1.792e+00, val/best_acc 5.895e-01
[2023-05-31 20:39:08] [Iter   36000/  64000] trn/loss 1.745e+00, trn/negative_log_likelihood 1.745e+00, trn/w_norm 1.434e+02, trn/g_norm 1.004e+00, trn/lr 3.935e-01, trn/dyn_scale 6.554e+04, val/acc 5.934e-01, val/nll 1.715e+00, val/best_acc 5.934e-01 (best_acc: 5.895e-01 -> 5.934e-01)
[2023-05-31 20:47:40] [Iter   37000/  64000] trn/loss 1.729e+00, trn/negative_log_likelihood 1.729e+00, trn/w_norm 1.422e+02, trn/g_norm 1.020e+00, trn/lr 3.717e-01, trn/dyn_scale 6.554e+04, val/acc 6.110e-01, val/nll 1.604e+00, val/best_acc 6.110e-01 (best_acc: 5.934e-01 -> 6.110e-01)
[2023-05-31 20:56:15] [Iter   38000/  64000] trn/loss 1.700e+00, trn/negative_log_likelihood 1.700e+00, trn/w_norm 1.411e+02, trn/g_norm 1.037e+00, trn/lr 3.500e-01, trn/dyn_scale 6.554e+04, val/acc 5.797e-01, val/nll 1.774e+00, val/best_acc 6.110e-01
[2023-05-31 21:04:52] [Iter   39000/  64000] trn/loss 1.673e+00, trn/negative_log_likelihood 1.673e+00, trn/w_norm 1.398e+02, trn/g_norm 1.054e+00, trn/lr 3.284e-01, trn/dyn_scale 6.554e+04, val/acc 6.195e-01, val/nll 1.566e+00, val/best_acc 6.195e-01 (best_acc: 6.110e-01 -> 6.195e-01)
[2023-05-31 21:13:22] [Iter   40000/  64000] trn/loss 1.648e+00, trn/negative_log_likelihood 1.648e+00, trn/w_norm 1.384e+02, trn/g_norm 1.075e+00, trn/lr 3.071e-01, trn/dyn_scale 6.554e+04, val/acc 6.416e-01, val/nll 1.454e+00, val/best_acc 6.416e-01 (best_acc: 6.195e-01 -> 6.416e-01)
[2023-05-31 21:22:09] [Iter   41000/  64000] trn/loss 1.612e+00, trn/negative_log_likelihood 1.612e+00, trn/w_norm 1.370e+02, trn/g_norm 1.095e+00, trn/lr 2.860e-01, trn/dyn_scale 6.554e+04, val/acc 6.346e-01, val/nll 1.486e+00, val/best_acc 6.416e-01
[2023-05-31 21:30:49] [Iter   42000/  64000] trn/loss 1.588e+00, trn/negative_log_likelihood 1.588e+00, trn/w_norm 1.356e+02, trn/g_norm 1.118e+00, trn/lr 2.653e-01, trn/dyn_scale 6.554e+04, val/acc 6.423e-01, val/nll 1.465e+00, val/best_acc 6.423e-01 (best_acc: 6.416e-01 -> 6.423e-01)
[2023-05-31 21:39:23] [Iter   43000/  64000] trn/loss 1.553e+00, trn/negative_log_likelihood 1.553e+00, trn/w_norm 1.341e+02, trn/g_norm 1.141e+00, trn/lr 2.449e-01, trn/dyn_scale 6.554e+04, val/acc 6.298e-01, val/nll 1.521e+00, val/best_acc 6.423e-01
[2023-05-31 21:48:11] [Iter   44000/  64000] trn/loss 1.520e+00, trn/negative_log_likelihood 1.520e+00, trn/w_norm 1.326e+02, trn/g_norm 1.168e+00, trn/lr 2.251e-01, trn/dyn_scale 6.554e+04, val/acc 6.524e-01, val/nll 1.419e+00, val/best_acc 6.524e-01 (best_acc: 6.423e-01 -> 6.524e-01)
[2023-05-31 21:56:48] [Iter   45000/  64000] trn/loss 1.492e+00, trn/negative_log_likelihood 1.492e+00, trn/w_norm 1.310e+02, trn/g_norm 1.195e+00, trn/lr 2.057e-01, trn/dyn_scale 6.554e+04, val/acc 6.549e-01, val/nll 1.399e+00, val/best_acc 6.549e-01 (best_acc: 6.524e-01 -> 6.549e-01)
[2023-05-31 22:05:24] [Iter   46000/  64000] trn/loss 1.452e+00, trn/negative_log_likelihood 1.452e+00, trn/w_norm 1.294e+02, trn/g_norm 1.225e+00, trn/lr 1.870e-01, trn/dyn_scale 6.554e+04, val/acc 6.849e-01, val/nll 1.272e+00, val/best_acc 6.849e-01 (best_acc: 6.549e-01 -> 6.849e-01)
