[2023-02-03 07:16:30] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-03 07:16:30] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.9
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/bs-0080_ne-0500_lr-0.0000010_mo-0.90_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-03 07:20:34] [Epoch    51/  500] trn/posterior_energy -1.173e+05, trn/neg_log_likelihood  1.289e+03, trn/neg_log_prior -1.186e+05, trn/lr  9.750e-07, val/acc 7.838e-01, val/nll 1.076e+00
[2023-02-03 07:20:38] [Epoch    52/  500] trn/posterior_energy -1.181e+05, trn/neg_log_likelihood  5.858e+02, trn/neg_log_prior -1.187e+05, trn/lr  9.741e-07, val/acc 7.866e-01, val/nll 1.103e+00
[2023-02-03 07:20:43] [Epoch    53/  500] trn/posterior_energy -1.186e+05, trn/neg_log_likelihood  2.380e+02, trn/neg_log_prior -1.188e+05, trn/lr  9.730e-07, val/acc 8.075e-01, val/nll 1.018e+00 (best_acc: 7.903e-01 -> 8.075e-01, test_acc: 8.032e-01, test_nll: 1.057e+00)
[2023-02-03 07:20:48] [Epoch    54/  500] trn/posterior_energy -1.190e+05, trn/neg_log_likelihood  2.836e+01, trn/neg_log_prior -1.190e+05, trn/lr  9.720e-07, val/acc 8.088e-01, val/nll 1.015e+00 (best_acc: 8.075e-01 -> 8.088e-01, test_acc: 8.050e-01, test_nll: 1.055e+00)
[2023-02-03 07:20:52] [Epoch    55/  500] trn/posterior_energy -1.192e+05, trn/neg_log_likelihood  1.708e+01, trn/neg_log_prior -1.192e+05, trn/lr  9.710e-07, val/acc 8.088e-01, val/nll 1.006e+00
[2023-02-03 07:20:56] [Epoch    56/  500] trn/posterior_energy -1.193e+05, trn/neg_log_likelihood  1.570e+01, trn/neg_log_prior -1.194e+05, trn/lr  9.699e-07, val/acc 8.082e-01, val/nll 9.965e-01
[2023-02-03 07:21:00] [Epoch    57/  500] trn/posterior_energy -1.195e+05, trn/neg_log_likelihood  1.543e+01, trn/neg_log_prior -1.195e+05, trn/lr  9.688e-07, val/acc 8.076e-01, val/nll 9.864e-01
[2023-02-03 07:21:04] [Epoch    58/  500] trn/posterior_energy -1.197e+05, trn/neg_log_likelihood  1.554e+01, trn/neg_log_prior -1.197e+05, trn/lr  9.677e-07, val/acc 8.075e-01, val/nll 9.777e-01
[2023-02-03 07:21:10] [Epoch    59/  500] trn/posterior_energy -1.198e+05, trn/neg_log_likelihood  1.584e+01, trn/neg_log_prior -1.198e+05, trn/lr  9.666e-07, val/acc 8.077e-01, val/nll 9.684e-01
[2023-02-03 07:21:14] [Epoch    60/  500] trn/posterior_energy -1.200e+05, trn/neg_log_likelihood  1.623e+01, trn/neg_log_prior -1.200e+05, trn/lr  9.655e-07, val/acc 8.092e-01, val/nll 9.594e-01 (best_acc: 8.088e-01 -> 8.092e-01, test_acc: 8.092e-01, test_nll: 9.961e-01)
[2023-02-03 07:21:18] [Epoch    61/  500] trn/posterior_energy -1.201e+05, trn/neg_log_likelihood  1.674e+01, trn/neg_log_prior -1.201e+05, trn/lr  9.643e-07, val/acc 8.082e-01, val/nll 9.526e-01
[2023-02-03 07:21:22] [Epoch    62/  500] trn/posterior_energy -1.203e+05, trn/neg_log_likelihood  1.727e+01, trn/neg_log_prior -1.203e+05, trn/lr  9.631e-07, val/acc 8.073e-01, val/nll 9.466e-01
[2023-02-03 07:21:27] [Epoch    63/  500] trn/posterior_energy -1.204e+05, trn/neg_log_likelihood  1.784e+01, trn/neg_log_prior -1.204e+05, trn/lr  9.619e-07, val/acc 8.090e-01, val/nll 9.381e-01
[2023-02-03 07:21:31] [Epoch    64/  500] trn/posterior_energy -1.206e+05, trn/neg_log_likelihood  1.842e+01, trn/neg_log_prior -1.206e+05, trn/lr  9.607e-07, val/acc 8.072e-01, val/nll 9.325e-01
[2023-02-03 07:21:35] [Epoch    65/  500] trn/posterior_energy -1.207e+05, trn/neg_log_likelihood  1.898e+01, trn/neg_log_prior -1.207e+05, trn/lr  9.595e-07, val/acc 8.075e-01, val/nll 9.265e-01
[2023-02-03 07:21:40] [Epoch    66/  500] trn/posterior_energy -1.208e+05, trn/neg_log_likelihood  1.954e+01, trn/neg_log_prior -1.208e+05, trn/lr  9.583e-07, val/acc 8.093e-01, val/nll 9.220e-01 (best_acc: 8.092e-01 -> 8.093e-01, test_acc: 8.080e-01, test_nll: 9.554e-01)
[2023-02-03 07:21:44] [Epoch    67/  500] trn/posterior_energy -1.209e+05, trn/neg_log_likelihood  2.008e+01, trn/neg_log_prior -1.210e+05, trn/lr  9.570e-07, val/acc 8.084e-01, val/nll 9.160e-01
[2023-02-03 07:21:48] [Epoch    68/  500] trn/posterior_energy -1.211e+05, trn/neg_log_likelihood  2.062e+01, trn/neg_log_prior -1.211e+05, trn/lr  9.557e-07, val/acc 8.079e-01, val/nll 9.123e-01
