[2023-02-05 08:36:47] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 08:36:47] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.9
- args.prior_precision   : 10.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000030_mo-0.90_pr-02/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 08:36:53] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 08:37:36] [Epoch     1/  500] trn/posterior_energy  1.136e+06, trn/neg_log_likelihood  9.150e+04, trn/neg_log_prior  1.044e+06, trn/lr  3.000e-06, val/acc 2.744e-01, val/nll 1.947e+00 (best_acc: 0.000e+00 -> 2.744e-01, test_acc: 2.805e-01, test_nll: 1.948e+00)
[2023-02-05 08:40:58] [Epoch    16/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  1.452e+04, trn/neg_log_prior  1.021e+06, trn/lr  2.993e-06, val/acc 7.926e-01, val/nll 6.184e-01 (best_acc: 7.921e-01 -> 7.926e-01, test_acc: 7.906e-01, test_nll: 6.258e-01)
[2023-02-05 08:41:11] [Epoch    17/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  1.402e+04, trn/neg_log_prior  1.021e+06, trn/lr  2.992e-06, val/acc 7.742e-01, val/nll 7.227e-01
[2023-02-05 08:41:25] [Epoch    18/  500] trn/posterior_energy  1.036e+06, trn/neg_log_likelihood  1.344e+04, trn/neg_log_prior  1.022e+06, trn/lr  2.991e-06, val/acc 7.927e-01, val/nll 6.407e-01 (best_acc: 7.926e-01 -> 7.927e-01, test_acc: 7.951e-01, test_nll: 6.454e-01)
[2023-02-05 08:41:37] [Epoch    19/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  1.240e+04, trn/neg_log_prior  1.023e+06, trn/lr  2.990e-06, val/acc 7.866e-01, val/nll 6.734e-01
[2023-02-05 08:41:51] [Epoch    20/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  1.198e+04, trn/neg_log_prior  1.023e+06, trn/lr  2.989e-06, val/acc 8.188e-01, val/nll 5.557e-01 (best_acc: 7.927e-01 -> 8.188e-01, test_acc: 8.186e-01, test_nll: 5.547e-01)
[2023-02-05 08:42:03] [Epoch    21/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  1.128e+04, trn/neg_log_prior  1.024e+06, trn/lr  2.988e-06, val/acc 8.104e-01, val/nll 6.050e-01
[2023-02-05 08:42:17] [Epoch    22/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  1.081e+04, trn/neg_log_prior  1.024e+06, trn/lr  2.986e-06, val/acc 8.189e-01, val/nll 5.512e-01 (best_acc: 8.188e-01 -> 8.189e-01, test_acc: 8.191e-01, test_nll: 5.408e-01)
[2023-02-05 08:42:29] [Epoch    23/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  1.077e+04, trn/neg_log_prior  1.024e+06, trn/lr  2.985e-06, val/acc 8.030e-01, val/nll 6.116e-01
[2023-02-05 08:42:41] [Epoch    24/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  1.008e+04, trn/neg_log_prior  1.025e+06, trn/lr  2.984e-06, val/acc 8.094e-01, val/nll 5.848e-01
[2023-02-05 08:42:53] [Epoch    25/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  9.758e+03, trn/neg_log_prior  1.025e+06, trn/lr  2.982e-06, val/acc 8.012e-01, val/nll 6.371e-01
[2023-02-05 08:43:05] [Epoch    26/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  9.430e+03, trn/neg_log_prior  1.025e+06, trn/lr  2.981e-06, val/acc 8.051e-01, val/nll 6.143e-01
[2023-02-05 08:43:18] [Epoch    27/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  9.457e+03, trn/neg_log_prior  1.025e+06, trn/lr  2.979e-06, val/acc 7.731e-01, val/nll 7.467e-01
[2023-02-05 08:43:30] [Epoch    28/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  9.230e+03, trn/neg_log_prior  1.025e+06, trn/lr  2.978e-06, val/acc 7.879e-01, val/nll 6.887e-01
[2023-02-05 08:43:42] [Epoch    29/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  8.698e+03, trn/neg_log_prior  1.026e+06, trn/lr  2.976e-06, val/acc 8.143e-01, val/nll 5.995e-01
[2023-02-05 08:43:54] [Epoch    30/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  8.765e+03, trn/neg_log_prior  1.026e+06, trn/lr  2.974e-06, val/acc 8.067e-01, val/nll 6.281e-01
[2023-02-05 08:44:07] [Epoch    31/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  8.649e+03, trn/neg_log_prior  1.026e+06, trn/lr  2.973e-06, val/acc 8.164e-01, val/nll 5.757e-01
[2023-02-05 08:44:19] [Epoch    32/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  8.970e+03, trn/neg_log_prior  1.026e+06, trn/lr  2.971e-06, val/acc 7.791e-01, val/nll 7.056e-01
[2023-02-05 08:44:31] [Epoch    33/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  8.198e+03, trn/neg_log_prior  1.026e+06, trn/lr  2.969e-06, val/acc 8.040e-01, val/nll 6.571e-01
[2023-02-05 08:44:44] [Epoch    34/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  8.195e+03, trn/neg_log_prior  1.026e+06, trn/lr  2.967e-06, val/acc 7.906e-01, val/nll 6.931e-01
[2023-02-05 08:44:56] [Epoch    35/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  8.360e+03, trn/neg_log_prior  1.026e+06, trn/lr  2.965e-06, val/acc 7.930e-01, val/nll 6.298e-01
[2023-02-05 08:45:08] [Epoch    36/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  8.195e+03, trn/neg_log_prior  1.026e+06, trn/lr  2.963e-06, val/acc 7.918e-01, val/nll 6.990e-01
[2023-02-05 08:45:20] [Epoch    37/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  8.475e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.961e-06, val/acc 7.711e-01, val/nll 7.610e-01
[2023-02-05 08:45:33] [Epoch    38/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  8.034e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.959e-06, val/acc 7.983e-01, val/nll 6.696e-01
[2023-02-05 08:45:47] [Epoch    39/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  7.631e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.956e-06, val/acc 8.220e-01, val/nll 5.699e-01 (best_acc: 8.189e-01 -> 8.220e-01, test_acc: 8.152e-01, test_nll: 5.881e-01)
[2023-02-05 08:45:59] [Epoch    40/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  7.649e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.954e-06, val/acc 8.007e-01, val/nll 6.325e-01
[2023-02-05 08:46:12] [Epoch    41/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  7.921e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.952e-06, val/acc 7.777e-01, val/nll 7.534e-01
[2023-02-05 08:46:24] [Epoch    42/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  7.849e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.949e-06, val/acc 7.923e-01, val/nll 6.923e-01
[2023-02-05 08:46:38] [Epoch    43/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  7.592e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.947e-06, val/acc 8.270e-01, val/nll 5.478e-01 (best_acc: 8.220e-01 -> 8.270e-01, test_acc: 8.258e-01, test_nll: 5.516e-01)
[2023-02-05 08:46:50] [Epoch    44/  500] trn/posterior_energy  1.035e+06, trn/neg_log_likelihood  7.701e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.944e-06, val/acc 8.042e-01, val/nll 6.255e-01
[2023-02-05 08:47:02] [Epoch    45/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  7.562e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.942e-06, val/acc 8.023e-01, val/nll 6.329e-01
[2023-02-05 08:47:15] [Epoch    46/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  7.416e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.939e-06, val/acc 8.077e-01, val/nll 6.439e-01
[2023-02-05 08:47:27] [Epoch    47/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  7.360e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.936e-06, val/acc 8.050e-01, val/nll 6.757e-01
[2023-02-05 08:47:39] [Epoch    48/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  7.208e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.934e-06, val/acc 8.009e-01, val/nll 6.705e-01
[2023-02-05 08:47:52] [Epoch    49/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  7.494e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.931e-06, val/acc 8.039e-01, val/nll 6.559e-01
[2023-02-05 08:48:04] [Epoch    50/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  7.531e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.928e-06, val/acc 8.059e-01, val/nll 6.264e-01
[2023-02-05 08:48:16] [Epoch    51/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.875e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.925e-06, val/acc 8.103e-01, val/nll 6.264e-01
[2023-02-05 08:48:28] [Epoch    52/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.939e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.922e-06, val/acc 8.059e-01, val/nll 6.126e-01
[2023-02-05 08:48:40] [Epoch    53/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  7.504e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.919e-06, val/acc 8.179e-01, val/nll 5.931e-01
[2023-02-05 08:48:52] [Epoch    54/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  7.060e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.916e-06, val/acc 8.194e-01, val/nll 6.270e-01
[2023-02-05 08:49:05] [Epoch    55/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.970e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.913e-06, val/acc 7.998e-01, val/nll 6.617e-01
[2023-02-05 08:49:17] [Epoch    56/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  7.126e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.910e-06, val/acc 8.088e-01, val/nll 5.856e-01
[2023-02-05 08:49:29] [Epoch    57/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.736e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.906e-06, val/acc 7.979e-01, val/nll 6.761e-01
[2023-02-05 08:49:41] [Epoch    58/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.963e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.903e-06, val/acc 7.905e-01, val/nll 6.676e-01
[2023-02-05 08:49:53] [Epoch    59/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  7.107e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.900e-06, val/acc 8.019e-01, val/nll 6.324e-01
[2023-02-05 08:50:05] [Epoch    60/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.907e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.896e-06, val/acc 8.194e-01, val/nll 5.854e-01
[2023-02-05 08:50:17] [Epoch    61/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.822e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.893e-06, val/acc 8.110e-01, val/nll 6.178e-01
[2023-02-05 08:50:29] [Epoch    62/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  7.073e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.889e-06, val/acc 8.025e-01, val/nll 6.473e-01
[2023-02-05 08:50:41] [Epoch    63/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.666e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.886e-06, val/acc 8.087e-01, val/nll 6.558e-01
[2023-02-05 08:50:53] [Epoch    64/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.867e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.882e-06, val/acc 7.896e-01, val/nll 6.996e-01
[2023-02-05 08:51:05] [Epoch    65/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.768e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.878e-06, val/acc 8.053e-01, val/nll 6.444e-01
[2023-02-05 08:51:18] [Epoch    66/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.654e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.875e-06, val/acc 8.098e-01, val/nll 6.473e-01
[2023-02-05 08:51:30] [Epoch    67/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.641e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.871e-06, val/acc 7.991e-01, val/nll 6.757e-01
[2023-02-05 08:51:42] [Epoch    68/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.560e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.867e-06, val/acc 8.067e-01, val/nll 6.713e-01
[2023-02-05 08:51:55] [Epoch    69/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.667e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.863e-06, val/acc 8.144e-01, val/nll 6.333e-01
[2023-02-05 08:52:07] [Epoch    70/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.472e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.859e-06, val/acc 7.907e-01, val/nll 7.233e-01
[2023-02-05 08:52:19] [Epoch    71/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.601e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.855e-06, val/acc 8.077e-01, val/nll 6.800e-01
[2023-02-05 08:52:31] [Epoch    72/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.410e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.851e-06, val/acc 7.960e-01, val/nll 7.085e-01
[2023-02-05 08:52:43] [Epoch    73/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.525e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.847e-06, val/acc 8.090e-01, val/nll 6.653e-01
[2023-02-05 08:52:57] [Epoch    74/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.368e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.843e-06, val/acc 8.273e-01, val/nll 5.970e-01 (best_acc: 8.270e-01 -> 8.273e-01, test_acc: 8.232e-01, test_nll: 6.076e-01)
[2023-02-05 08:53:09] [Epoch    75/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.594e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.839e-06, val/acc 8.092e-01, val/nll 6.509e-01
[2023-02-05 08:53:21] [Epoch    76/  500] trn/posterior_energy  1.033e+06, trn/neg_log_likelihood  6.111e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.834e-06, val/acc 8.032e-01, val/nll 6.826e-01
[2023-02-05 08:53:33] [Epoch    77/  500] trn/posterior_energy  1.033e+06, trn/neg_log_likelihood  6.359e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.830e-06, val/acc 8.069e-01, val/nll 6.496e-01
[2023-02-05 08:53:45] [Epoch    78/  500] trn/posterior_energy  1.033e+06, trn/neg_log_likelihood  6.170e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.826e-06, val/acc 7.850e-01, val/nll 7.805e-01
[2023-02-05 08:53:57] [Epoch    79/  500] trn/posterior_energy  1.033e+06, trn/neg_log_likelihood  6.281e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.821e-06, val/acc 8.197e-01, val/nll 6.068e-01
[2023-02-05 08:54:08] [Epoch    80/  500] trn/posterior_energy  1.034e+06, trn/neg_log_likelihood  6.602e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.817e-06, val/acc 8.107e-01, val/nll 6.230e-01
[2023-02-05 08:54:20] [Epoch    81/  500] trn/posterior_energy  1.033e+06, trn/neg_log_likelihood  5.923e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.812e-06, val/acc 8.187e-01, val/nll 5.987e-01
[2023-02-05 08:54:32] [Epoch    82/  500] trn/posterior_energy  1.033e+06, trn/neg_log_likelihood  6.028e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.808e-06, val/acc 8.112e-01, val/nll 6.556e-01
[2023-02-05 08:54:46] [Epoch    83/  500] trn/posterior_energy  1.033e+06, trn/neg_log_likelihood  6.404e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.803e-06, val/acc 8.279e-01, val/nll 5.837e-01 (best_acc: 8.273e-01 -> 8.279e-01, test_acc: 8.285e-01, test_nll: 5.837e-01)
[2023-02-05 08:54:58] [Epoch    84/  500] trn/posterior_energy  1.033e+06, trn/neg_log_likelihood  6.068e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.798e-06, val/acc 8.050e-01, val/nll 6.564e-01
[2023-02-05 08:55:10] [Epoch    85/  500] trn/posterior_energy  1.033e+06, trn/neg_log_likelihood  6.385e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.794e-06, val/acc 8.155e-01, val/nll 6.029e-01
[2023-02-05 08:55:22] [Epoch    86/  500] trn/posterior_energy  1.033e+06, trn/neg_log_likelihood  6.232e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.789e-06, val/acc 8.097e-01, val/nll 6.078e-01
[2023-02-05 08:55:35] [Epoch    87/  500] trn/posterior_energy  1.033e+06, trn/neg_log_likelihood  6.119e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.784e-06, val/acc 7.918e-01, val/nll 7.174e-01
[2023-02-05 08:55:47] [Epoch    88/  500] trn/posterior_energy  1.033e+06, trn/neg_log_likelihood  6.208e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.779e-06, val/acc 7.882e-01, val/nll 7.271e-01
[2023-02-05 08:55:59] [Epoch    89/  500] trn/posterior_energy  1.033e+06, trn/neg_log_likelihood  6.043e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.774e-06, val/acc 8.185e-01, val/nll 6.344e-01
[2023-02-05 08:56:11] [Epoch    90/  500] trn/posterior_energy  1.033e+06, trn/neg_log_likelihood  6.115e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.769e-06, val/acc 8.002e-01, val/nll 6.811e-01
[2023-02-05 08:56:23] [Epoch    91/  500] trn/posterior_energy  1.032e+06, trn/neg_log_likelihood  5.762e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.764e-06, val/acc 7.977e-01, val/nll 6.969e-01
[2023-02-05 08:56:36] [Epoch    92/  500] trn/posterior_energy  1.033e+06, trn/neg_log_likelihood  6.166e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.759e-06, val/acc 8.200e-01, val/nll 6.082e-01
[2023-02-05 08:56:48] [Epoch    93/  500] trn/posterior_energy  1.032e+06, trn/neg_log_likelihood  5.746e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.754e-06, val/acc 8.142e-01, val/nll 6.039e-01
[2023-02-05 08:57:00] [Epoch    94/  500] trn/posterior_energy  1.033e+06, trn/neg_log_likelihood  6.200e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.749e-06, val/acc 8.244e-01, val/nll 5.946e-01
[2023-02-05 08:57:12] [Epoch    95/  500] trn/posterior_energy  1.032e+06, trn/neg_log_likelihood  5.656e+03, trn/neg_log_prior  1.027e+06, trn/lr  2.743e-06, val/acc 8.121e-01, val/nll 6.211e-01
