[2023-02-04 11:50:01] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-04 11:50:01] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 45
- args.num_epochs_noisy  : 5
- args.prior_precision   : 5.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0045-0005_lr-0.0000010_mo-0.97_pr-01/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-04 11:52:59] [Cycle   1/ 30][Epoch  35/ 50] trn/posterior_energy -2.086e+04, trn/neg_log_likelihood  7.251e+01, trn/neg_log_prior -2.093e+04, trn/lr  2.190e-07, trn/temperature  0.000e+00, val/acc 8.073e-01, val/nll 8.669e-01
[2023-02-04 11:53:04] [Cycle   1/ 30][Epoch  36/ 50] trn/posterior_energy -2.121e+04, trn/neg_log_likelihood  6.447e+01, trn/neg_log_prior -2.128e+04, trn/lr  1.936e-07, trn/temperature  0.000e+00, val/acc 8.077e-01, val/nll 8.655e-01
[2023-02-04 11:53:08] [Cycle   1/ 30][Epoch  37/ 50] trn/posterior_energy -2.151e+04, trn/neg_log_likelihood  6.267e+01, trn/neg_log_prior -2.157e+04, trn/lr  1.694e-07, trn/temperature  0.000e+00, val/acc 8.075e-01, val/nll 8.648e-01
[2023-02-04 11:53:12] [Cycle   1/ 30][Epoch  38/ 50] trn/posterior_energy -2.176e+04, trn/neg_log_likelihood  6.158e+01, trn/neg_log_prior -2.182e+04, trn/lr  1.465e-07, trn/temperature  0.000e+00, val/acc 8.084e-01, val/nll 8.630e-01
[2023-02-04 11:53:16] [Cycle   1/ 30][Epoch  39/ 50] trn/posterior_energy -2.197e+04, trn/neg_log_likelihood  6.122e+01, trn/neg_log_prior -2.203e+04, trn/lr  1.250e-07, trn/temperature  0.000e+00, val/acc 8.067e-01, val/nll 8.619e-01
[2023-02-04 11:53:20] [Cycle   1/ 30][Epoch  40/ 50] trn/posterior_energy -2.214e+04, trn/neg_log_likelihood  6.117e+01, trn/neg_log_prior -2.220e+04, trn/lr  1.050e-07, trn/temperature  0.000e+00, val/acc 8.095e-01, val/nll 8.610e-01
[2023-02-04 11:53:24] [Cycle   1/ 30][Epoch  41/ 50] trn/posterior_energy -2.229e+04, trn/neg_log_likelihood  6.143e+01, trn/neg_log_prior -2.235e+04, trn/lr  8.654e-08, trn/temperature  0.000e+00, val/acc 8.084e-01, val/nll 8.610e-01
[2023-02-04 11:53:29] [Cycle   1/ 30][Epoch  42/ 50] trn/posterior_energy -2.240e+04, trn/neg_log_likelihood  6.135e+01, trn/neg_log_prior -2.246e+04, trn/lr  6.972e-08, trn/temperature  0.000e+00, val/acc 8.094e-01, val/nll 8.588e-01
[2023-02-04 11:53:33] [Cycle   1/ 30][Epoch  43/ 50] trn/posterior_energy -2.249e+04, trn/neg_log_likelihood  6.111e+01, trn/neg_log_prior -2.255e+04, trn/lr  5.458e-08, trn/temperature  0.000e+00, val/acc 8.095e-01, val/nll 8.589e-01
[2023-02-04 11:53:37] [Cycle   1/ 30][Epoch  44/ 50] trn/posterior_energy -2.256e+04, trn/neg_log_likelihood  6.102e+01, trn/neg_log_prior -2.262e+04, trn/lr  4.121e-08, trn/temperature  0.000e+00, val/acc 8.095e-01, val/nll 8.585e-01
[2023-02-04 11:53:41] [Cycle   1/ 30][Epoch  45/ 50] trn/posterior_energy -2.261e+04, trn/neg_log_likelihood  6.104e+01, trn/neg_log_prior -2.267e+04, trn/lr  2.965e-08, trn/temperature  0.000e+00, val/acc 8.096e-01, val/nll 8.587e-01
[2023-02-04 11:53:45] [Cycle   1/ 30][Epoch  46/ 50] trn/posterior_energy -2.217e+04, trn/neg_log_likelihood  3.241e+02, trn/neg_log_prior -2.250e+04, trn/lr  1.994e-08, trn/temperature  1.000e+00, val/acc 7.961e-01, val/nll 8.653e-01
[2023-02-04 11:53:49] [Cycle   1/ 30][Epoch  47/ 50] trn/posterior_energy -2.103e+04, trn/neg_log_likelihood  1.111e+03, trn/neg_log_prior -2.214e+04, trn/lr  1.213e-08, trn/temperature  1.000e+00, val/acc 7.935e-01, val/nll 8.482e-01
[2023-02-04 11:53:54] [Cycle   1/ 30][Epoch  48/ 50] trn/posterior_energy -2.046e+04, trn/neg_log_likelihood  1.470e+03, trn/neg_log_prior -2.193e+04, trn/lr  6.242e-09, trn/temperature  1.000e+00, val/acc 7.944e-01, val/nll 8.434e-01
[2023-02-04 11:53:58] [Cycle   1/ 30][Epoch  49/ 50] trn/posterior_energy -2.023e+04, trn/neg_log_likelihood  1.595e+03, trn/neg_log_prior -2.183e+04, trn/lr  2.304e-09, trn/temperature  1.000e+00, val/acc 7.951e-01, val/nll 8.427e-01
[2023-02-04 11:54:07] [Cycle   1/ 30][Epoch  50/ 50] trn/posterior_energy -2.020e+04, trn/neg_log_likelihood  1.598e+03, trn/neg_log_prior -2.180e+04, trn/lr  3.299e-10, trn/temperature  1.000e+00, val/acc 7.962e-01, val/nll 8.402e-01, val/ens_acc 7.962e-01, val/ens_nll 8.398e-01 (test_acc: 7.919e-01, test_nll: 8.535e-01, test_ens_acc: 7.919e-01, test_ens_nll: 8.534e-01)
[2023-02-04 11:54:11] [Cycle   2/ 30][Epoch   1/ 50] trn/posterior_energy  8.504e+03, trn/neg_log_likelihood  2.876e+04, trn/neg_log_prior -2.026e+04, trn/lr  9.997e-07, trn/temperature  0.000e+00, val/acc 7.426e-01, val/nll 7.551e-01
[2023-02-04 11:54:15] [Cycle   2/ 30][Epoch   2/ 50] trn/posterior_energy  1.601e+03, trn/neg_log_likelihood  2.057e+04, trn/neg_log_prior -1.897e+04, trn/lr  9.977e-07, trn/temperature  0.000e+00, val/acc 7.631e-01, val/nll 7.187e-01
[2023-02-04 11:54:19] [Cycle   2/ 30][Epoch   3/ 50] trn/posterior_energy  2.191e+02, trn/neg_log_likelihood  1.841e+04, trn/neg_log_prior -1.819e+04, trn/lr  9.938e-07, trn/temperature  0.000e+00, val/acc 7.685e-01, val/nll 6.947e-01
[2023-02-04 11:54:23] [Cycle   2/ 30][Epoch   4/ 50] trn/posterior_energy  9.004e+01, trn/neg_log_likelihood  1.758e+04, trn/neg_log_prior -1.749e+04, trn/lr  9.879e-07, trn/temperature  0.000e+00, val/acc 7.799e-01, val/nll 6.604e-01
[2023-02-04 11:54:28] [Cycle   2/ 30][Epoch   5/ 50] trn/posterior_energy -1.281e+03, trn/neg_log_likelihood  1.561e+04, trn/neg_log_prior -1.690e+04, trn/lr  9.801e-07, trn/temperature  0.000e+00, val/acc 7.701e-01, val/nll 6.964e-01
[2023-02-04 11:54:33] [Cycle   2/ 30][Epoch   6/ 50] trn/posterior_energy -1.531e+03, trn/neg_log_likelihood  1.493e+04, trn/neg_log_prior -1.646e+04, trn/lr  9.704e-07, trn/temperature  0.000e+00, val/acc 7.729e-01, val/nll 7.351e-01
