[2023-02-05 07:21:33] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-05 07:21:33] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 50
- args.num_epochs_noisy  : 0
- args.prior_precision   : 5.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0050-0000_lr-0.0000001_mo-0.99_pr-01/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 07:24:00] [Cycle   1/ 30][Epoch  28/ 50] trn/posterior_energy -1.866e+04, trn/neg_log_likelihood  4.083e+03, trn/neg_log_prior -2.274e+04, trn/lr  4.218e-08, trn/temperature  0.000e+00, val/acc 7.712e-01, val/nll 9.102e-01
[2023-02-05 07:24:04] [Cycle   1/ 30][Epoch  29/ 50] trn/posterior_energy -1.912e+04, trn/neg_log_likelihood  3.639e+03, trn/neg_log_prior -2.276e+04, trn/lr  3.910e-08, trn/temperature  0.000e+00, val/acc 7.705e-01, val/nll 9.437e-01
[2023-02-05 07:24:08] [Cycle   1/ 30][Epoch  30/ 50] trn/posterior_energy -2.035e+04, trn/neg_log_likelihood  2.435e+03, trn/neg_log_prior -2.278e+04, trn/lr  3.606e-08, trn/temperature  0.000e+00, val/acc 7.676e-01, val/nll 1.005e+00
[2023-02-05 07:24:12] [Cycle   1/ 30][Epoch  31/ 50] trn/posterior_energy -2.137e+04, trn/neg_log_likelihood  1.465e+03, trn/neg_log_prior -2.283e+04, trn/lr  3.307e-08, trn/temperature  0.000e+00, val/acc 7.699e-01, val/nll 1.078e+00
[2023-02-05 07:24:17] [Cycle   1/ 30][Epoch  32/ 50] trn/posterior_energy -2.195e+04, trn/neg_log_likelihood  9.568e+02, trn/neg_log_prior -2.290e+04, trn/lr  3.015e-08, trn/temperature  0.000e+00, val/acc 7.723e-01, val/nll 1.093e+00
[2023-02-05 07:24:21] [Cycle   1/ 30][Epoch  33/ 50] trn/posterior_energy -2.263e+04, trn/neg_log_likelihood  3.573e+02, trn/neg_log_prior -2.299e+04, trn/lr  2.731e-08, trn/temperature  0.000e+00, val/acc 7.758e-01, val/nll 1.106e+00
[2023-02-05 07:24:25] [Cycle   1/ 30][Epoch  34/ 50] trn/posterior_energy -2.293e+04, trn/neg_log_likelihood  1.476e+02, trn/neg_log_prior -2.308e+04, trn/lr  2.455e-08, trn/temperature  0.000e+00, val/acc 7.768e-01, val/nll 1.132e+00
[2023-02-05 07:24:29] [Cycle   1/ 30][Epoch  35/ 50] trn/posterior_energy -2.308e+04, trn/neg_log_likelihood  9.676e+01, trn/neg_log_prior -2.317e+04, trn/lr  2.190e-08, trn/temperature  0.000e+00, val/acc 7.756e-01, val/nll 1.147e+00
[2023-02-05 07:24:33] [Cycle   1/ 30][Epoch  36/ 50] trn/posterior_energy -2.317e+04, trn/neg_log_likelihood  8.307e+01, trn/neg_log_prior -2.325e+04, trn/lr  1.936e-08, trn/temperature  0.000e+00, val/acc 7.768e-01, val/nll 1.157e+00
[2023-02-05 07:24:37] [Cycle   1/ 30][Epoch  37/ 50] trn/posterior_energy -2.325e+04, trn/neg_log_likelihood  7.562e+01, trn/neg_log_prior -2.333e+04, trn/lr  1.694e-08, trn/temperature  0.000e+00, val/acc 7.761e-01, val/nll 1.164e+00
