[2023-02-05 15:25:57] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 15:25:57] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.97
- args.prior_precision   : 2.5
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000001_mo-0.97_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 15:26:03] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 15:35:02] [Epoch    42/  500] trn/posterior_energy -1.973e+06, trn/neg_log_likelihood  6.320e+01, trn/neg_log_prior -1.973e+06, trn/lr  9.831e-08, val/acc 8.187e-01, val/nll 9.894e-01 (best_acc: 8.107e-01 -> 8.187e-01, test_acc: 8.152e-01, test_nll: 9.977e-01)
[2023-02-05 15:35:15] [Epoch    43/  500] trn/posterior_energy -1.973e+06, trn/neg_log_likelihood  9.523e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.823e-08, val/acc 8.226e-01, val/nll 9.891e-01 (best_acc: 8.187e-01 -> 8.226e-01, test_acc: 8.196e-01, test_nll: 9.912e-01)
[2023-02-05 15:35:28] [Epoch    44/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  5.178e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.814e-08, val/acc 8.232e-01, val/nll 9.873e-01 (best_acc: 8.226e-01 -> 8.232e-01, test_acc: 8.215e-01, test_nll: 9.885e-01)
[2023-02-05 15:35:41] [Epoch    45/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  4.460e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.806e-08, val/acc 8.235e-01, val/nll 9.872e-01 (best_acc: 8.232e-01 -> 8.235e-01, test_acc: 8.220e-01, test_nll: 9.869e-01)
[2023-02-05 15:35:54] [Epoch    46/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  4.090e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.797e-08, val/acc 8.241e-01, val/nll 9.866e-01 (best_acc: 8.235e-01 -> 8.241e-01, test_acc: 8.214e-01, test_nll: 9.854e-01)
[2023-02-05 15:36:05] [Epoch    47/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  3.877e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.788e-08, val/acc 8.240e-01, val/nll 9.840e-01
[2023-02-05 15:36:18] [Epoch    48/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  3.736e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.779e-08, val/acc 8.247e-01, val/nll 9.828e-01 (best_acc: 8.241e-01 -> 8.247e-01, test_acc: 8.212e-01, test_nll: 9.808e-01)
[2023-02-05 15:36:31] [Epoch    49/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  3.648e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.770e-08, val/acc 8.252e-01, val/nll 9.801e-01 (best_acc: 8.247e-01 -> 8.252e-01, test_acc: 8.213e-01, test_nll: 9.782e-01)
[2023-02-05 15:36:41] [Epoch    50/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  3.587e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.760e-08, val/acc 8.244e-01, val/nll 9.783e-01
[2023-02-05 15:36:53] [Epoch    51/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  3.547e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.750e-08, val/acc 8.246e-01, val/nll 9.759e-01
[2023-02-05 15:37:04] [Epoch    52/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  3.529e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.741e-08, val/acc 8.241e-01, val/nll 9.739e-01
[2023-02-05 15:37:15] [Epoch    53/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  3.518e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.730e-08, val/acc 8.242e-01, val/nll 9.713e-01
[2023-02-05 15:37:26] [Epoch    54/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  3.528e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.720e-08, val/acc 8.247e-01, val/nll 9.685e-01
[2023-02-05 15:37:37] [Epoch    55/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  3.541e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.710e-08, val/acc 8.249e-01, val/nll 9.656e-01
[2023-02-05 15:37:48] [Epoch    56/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  3.564e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.699e-08, val/acc 8.240e-01, val/nll 9.640e-01
[2023-02-05 15:37:59] [Epoch    57/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  3.587e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.688e-08, val/acc 8.244e-01, val/nll 9.615e-01
[2023-02-05 15:38:10] [Epoch    58/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  3.626e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.677e-08, val/acc 8.241e-01, val/nll 9.591e-01
[2023-02-05 15:38:21] [Epoch    59/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  3.660e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.666e-08, val/acc 8.241e-01, val/nll 9.569e-01
[2023-02-05 15:38:32] [Epoch    60/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  3.706e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.655e-08, val/acc 8.241e-01, val/nll 9.543e-01
[2023-02-05 15:38:43] [Epoch    61/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  3.751e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.643e-08, val/acc 8.246e-01, val/nll 9.518e-01
[2023-02-05 15:38:54] [Epoch    62/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  3.799e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.631e-08, val/acc 8.244e-01, val/nll 9.496e-01
[2023-02-05 15:39:05] [Epoch    63/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  3.851e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.619e-08, val/acc 8.242e-01, val/nll 9.474e-01
[2023-02-05 15:39:16] [Epoch    64/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  3.902e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.607e-08, val/acc 8.244e-01, val/nll 9.452e-01
[2023-02-05 15:39:28] [Epoch    65/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  3.959e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.595e-08, val/acc 8.246e-01, val/nll 9.428e-01
[2023-02-05 15:39:39] [Epoch    66/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  4.012e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.583e-08, val/acc 8.241e-01, val/nll 9.408e-01
[2023-02-05 15:39:50] [Epoch    67/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  4.070e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.570e-08, val/acc 8.243e-01, val/nll 9.386e-01
[2023-02-05 15:40:01] [Epoch    68/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  4.129e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.557e-08, val/acc 8.237e-01, val/nll 9.375e-01
[2023-02-05 15:40:12] [Epoch    69/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  4.189e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.544e-08, val/acc 8.246e-01, val/nll 9.354e-01
[2023-02-05 15:40:23] [Epoch    70/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  4.250e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.531e-08, val/acc 8.242e-01, val/nll 9.339e-01
[2023-02-05 15:40:34] [Epoch    71/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  4.307e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.517e-08, val/acc 8.240e-01, val/nll 9.319e-01
[2023-02-05 15:40:46] [Epoch    72/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  4.366e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.504e-08, val/acc 8.240e-01, val/nll 9.298e-01
[2023-02-05 15:40:57] [Epoch    73/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  4.423e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.490e-08, val/acc 8.232e-01, val/nll 9.280e-01
[2023-02-05 15:41:08] [Epoch    74/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  4.487e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.476e-08, val/acc 8.239e-01, val/nll 9.271e-01
[2023-02-05 15:41:19] [Epoch    75/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  4.544e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.462e-08, val/acc 8.237e-01, val/nll 9.259e-01
[2023-02-05 15:41:30] [Epoch    76/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  4.604e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.448e-08, val/acc 8.239e-01, val/nll 9.239e-01
[2023-02-05 15:41:41] [Epoch    77/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  4.662e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.433e-08, val/acc 8.237e-01, val/nll 9.222e-01
[2023-02-05 15:41:52] [Epoch    78/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  4.724e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.419e-08, val/acc 8.238e-01, val/nll 9.213e-01
[2023-02-05 15:42:04] [Epoch    79/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  4.778e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.404e-08, val/acc 8.229e-01, val/nll 9.208e-01
[2023-02-05 15:42:15] [Epoch    80/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  4.837e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.389e-08, val/acc 8.236e-01, val/nll 9.192e-01
[2023-02-05 15:42:26] [Epoch    81/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  4.888e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.374e-08, val/acc 8.236e-01, val/nll 9.176e-01
[2023-02-05 15:42:37] [Epoch    82/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  4.943e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.359e-08, val/acc 8.230e-01, val/nll 9.160e-01
[2023-02-05 15:42:48] [Epoch    83/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  4.997e+00, trn/neg_log_prior -1.977e+06, trn/lr  9.343e-08, val/acc 8.227e-01, val/nll 9.150e-01
[2023-02-05 15:42:59] [Epoch    84/  500] trn/posterior_energy -1.977e+06, trn/neg_log_likelihood  5.051e+00, trn/neg_log_prior -1.977e+06, trn/lr  9.328e-08, val/acc 8.231e-01, val/nll 9.143e-01
[2023-02-05 15:43:10] [Epoch    85/  500] trn/posterior_energy -1.977e+06, trn/neg_log_likelihood  5.103e+00, trn/neg_log_prior -1.977e+06, trn/lr  9.312e-08, val/acc 8.232e-01, val/nll 9.143e-01
