[2023-02-06 08:31:46] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-06 08:31:46] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.99
- args.prior_precision   : 40.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000030_mo-0.99_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 08:31:52] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-06 08:38:19] [Epoch    29/  500] trn/posterior_energy  4.114e+06, trn/neg_log_likelihood  9.535e+04, trn/neg_log_prior  4.019e+06, trn/lr  2.976e-06, val/acc 9.281e-02, val/nll 2.327e+00
[2023-02-06 08:38:31] [Epoch    30/  500] trn/posterior_energy  4.100e+06, trn/neg_log_likelihood  9.543e+04, trn/neg_log_prior  4.005e+06, trn/lr  2.974e-06, val/acc 1.081e-01, val/nll 2.333e+00
[2023-02-06 08:38:43] [Epoch    31/  500] trn/posterior_energy  4.092e+06, trn/neg_log_likelihood  9.539e+04, trn/neg_log_prior  3.996e+06, trn/lr  2.973e-06, val/acc 1.007e-01, val/nll 2.346e+00
[2023-02-06 08:38:55] [Epoch    32/  500] trn/posterior_energy  4.093e+06, trn/neg_log_likelihood  9.549e+04, trn/neg_log_prior  3.998e+06, trn/lr  2.971e-06, val/acc 9.281e-02, val/nll 2.325e+00
[2023-02-06 08:39:07] [Epoch    33/  500] trn/posterior_energy  4.111e+06, trn/neg_log_likelihood  9.558e+04, trn/neg_log_prior  4.015e+06, trn/lr  2.969e-06, val/acc 1.081e-01, val/nll 2.312e+00
[2023-02-06 08:39:19] [Epoch    34/  500] trn/posterior_energy  4.089e+06, trn/neg_log_likelihood  9.538e+04, trn/neg_log_prior  3.994e+06, trn/lr  2.967e-06, val/acc 9.978e-02, val/nll 2.321e+00
[2023-02-06 08:39:31] [Epoch    35/  500] trn/posterior_energy  4.092e+06, trn/neg_log_likelihood  9.527e+04, trn/neg_log_prior  3.997e+06, trn/lr  2.965e-06, val/acc 9.945e-02, val/nll 2.325e+00
[2023-02-06 08:39:43] [Epoch    36/  500] trn/posterior_energy  4.106e+06, trn/neg_log_likelihood  9.577e+04, trn/neg_log_prior  4.010e+06, trn/lr  2.963e-06, val/acc 9.823e-02, val/nll 2.353e+00
[2023-02-06 08:39:55] [Epoch    37/  500] trn/posterior_energy  4.097e+06, trn/neg_log_likelihood  9.522e+04, trn/neg_log_prior  4.001e+06, trn/lr  2.961e-06, val/acc 9.823e-02, val/nll 2.329e+00
[2023-02-06 08:40:07] [Epoch    38/  500] trn/posterior_energy  4.108e+06, trn/neg_log_likelihood  9.533e+04, trn/neg_log_prior  4.013e+06, trn/lr  2.959e-06, val/acc 9.978e-02, val/nll 2.321e+00
[2023-02-06 08:40:19] [Epoch    39/  500] trn/posterior_energy  4.086e+06, trn/neg_log_likelihood  9.530e+04, trn/neg_log_prior  3.991e+06, trn/lr  2.956e-06, val/acc 9.978e-02, val/nll 2.314e+00
[2023-02-06 08:40:31] [Epoch    40/  500] trn/posterior_energy  4.087e+06, trn/neg_log_likelihood  9.512e+04, trn/neg_log_prior  3.992e+06, trn/lr  2.954e-06, val/acc 1.007e-01, val/nll 2.325e+00
[2023-02-06 08:40:43] [Epoch    41/  500] trn/posterior_energy  4.091e+06, trn/neg_log_likelihood  9.534e+04, trn/neg_log_prior  3.995e+06, trn/lr  2.952e-06, val/acc 9.978e-02, val/nll 2.338e+00
[2023-02-06 08:40:55] [Epoch    42/  500] trn/posterior_energy  4.104e+06, trn/neg_log_likelihood  9.549e+04, trn/neg_log_prior  4.009e+06, trn/lr  2.949e-06, val/acc 9.856e-02, val/nll 2.333e+00
[2023-02-06 08:41:08] [Epoch    43/  500] trn/posterior_energy  4.092e+06, trn/neg_log_likelihood  9.514e+04, trn/neg_log_prior  3.996e+06, trn/lr  2.947e-06, val/acc 1.044e-01, val/nll 2.333e+00
[2023-02-06 08:41:20] [Epoch    44/  500] trn/posterior_energy  4.090e+06, trn/neg_log_likelihood  9.541e+04, trn/neg_log_prior  3.994e+06, trn/lr  2.944e-06, val/acc 9.856e-02, val/nll 2.347e+00
[2023-02-06 08:41:32] [Epoch    45/  500] trn/posterior_energy  4.111e+06, trn/neg_log_likelihood  9.543e+04, trn/neg_log_prior  4.016e+06, trn/lr  2.942e-06, val/acc 9.823e-02, val/nll 2.313e+00
[2023-02-06 08:41:44] [Epoch    46/  500] trn/posterior_energy  4.126e+06, trn/neg_log_likelihood  9.552e+04, trn/neg_log_prior  4.030e+06, trn/lr  2.939e-06, val/acc 1.007e-01, val/nll 2.381e+00
[2023-02-06 08:41:56] [Epoch    47/  500] trn/posterior_energy  4.146e+06, trn/neg_log_likelihood  9.568e+04, trn/neg_log_prior  4.050e+06, trn/lr  2.936e-06, val/acc 1.044e-01, val/nll 2.317e+00
[2023-02-06 08:42:08] [Epoch    48/  500] trn/posterior_energy  4.090e+06, trn/neg_log_likelihood  9.534e+04, trn/neg_log_prior  3.995e+06, trn/lr  2.934e-06, val/acc 9.823e-02, val/nll 2.321e+00
[2023-02-06 08:42:20] [Epoch    49/  500] trn/posterior_energy  4.102e+06, trn/neg_log_likelihood  9.543e+04, trn/neg_log_prior  4.007e+06, trn/lr  2.931e-06, val/acc 9.823e-02, val/nll 2.316e+00
[2023-02-06 08:42:32] [Epoch    50/  500] trn/posterior_energy  4.096e+06, trn/neg_log_likelihood  9.522e+04, trn/neg_log_prior  4.000e+06, trn/lr  2.928e-06, val/acc 1.044e-01, val/nll 2.313e+00
[2023-02-06 08:42:44] [Epoch    51/  500] trn/posterior_energy  4.088e+06, trn/neg_log_likelihood  9.525e+04, trn/neg_log_prior  3.992e+06, trn/lr  2.925e-06, val/acc 9.281e-02, val/nll 2.328e+00
[2023-02-06 08:42:56] [Epoch    52/  500] trn/posterior_energy  4.092e+06, trn/neg_log_likelihood  9.568e+04, trn/neg_log_prior  3.996e+06, trn/lr  2.922e-06, val/acc 1.044e-01, val/nll 2.352e+00
[2023-02-06 08:43:08] [Epoch    53/  500] trn/posterior_energy  4.092e+06, trn/neg_log_likelihood  9.528e+04, trn/neg_log_prior  3.997e+06, trn/lr  2.919e-06, val/acc 9.823e-02, val/nll 2.358e+00
[2023-02-06 08:43:20] [Epoch    54/  500] trn/posterior_energy  4.091e+06, trn/neg_log_likelihood  9.537e+04, trn/neg_log_prior  3.995e+06, trn/lr  2.916e-06, val/acc 9.945e-02, val/nll 2.332e+00
[2023-02-06 08:43:32] [Epoch    55/  500] trn/posterior_energy  4.107e+06, trn/neg_log_likelihood  9.515e+04, trn/neg_log_prior  4.012e+06, trn/lr  2.913e-06, val/acc 1.044e-01, val/nll 2.319e+00
[2023-02-06 08:43:44] [Epoch    56/  500] trn/posterior_energy  4.094e+06, trn/neg_log_likelihood  9.530e+04, trn/neg_log_prior  3.998e+06, trn/lr  2.910e-06, val/acc 1.007e-01, val/nll 2.315e+00
[2023-02-06 08:43:56] [Epoch    57/  500] trn/posterior_energy  4.092e+06, trn/neg_log_likelihood  9.530e+04, trn/neg_log_prior  3.997e+06, trn/lr  2.906e-06, val/acc 9.281e-02, val/nll 2.336e+00
[2023-02-06 08:44:08] [Epoch    58/  500] trn/posterior_energy  4.097e+06, trn/neg_log_likelihood  9.527e+04, trn/neg_log_prior  4.002e+06, trn/lr  2.903e-06, val/acc 9.945e-02, val/nll 2.328e+00
[2023-02-06 08:44:20] [Epoch    59/  500] trn/posterior_energy  4.092e+06, trn/neg_log_likelihood  9.540e+04, trn/neg_log_prior  3.996e+06, trn/lr  2.900e-06, val/acc 1.044e-01, val/nll 2.343e+00
[2023-02-06 08:44:32] [Epoch    60/  500] trn/posterior_energy  4.087e+06, trn/neg_log_likelihood  9.542e+04, trn/neg_log_prior  3.992e+06, trn/lr  2.896e-06, val/acc 1.007e-01, val/nll 2.339e+00
