[2023-02-16 18:43:44] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 18:43:44] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 1.0
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.003
- args.rho                : 0.1
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-1.00_b1-0.900_b2-0.999_wd-0.0030_eps-1e-1_rho-0.1000_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 18:43:59] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 18:49:36] [Epoch    33/  200] trn/loss 1.974e+00, trn/lr 9.363e-01, trn/scale 1.080e-01, val/acc 1.749e-01, val/nll 2.251e+00
[2023-02-16 18:49:44] [Epoch    34/  200] trn/loss 1.945e+00, trn/lr 9.324e-01, trn/scale 1.073e-01, val/acc 1.478e-01, val/nll 4.747e+00
[2023-02-16 18:49:52] [Epoch    35/  200] trn/loss 2.127e+00, trn/lr 9.284e-01, trn/scale 1.066e-01, val/acc 9.978e-02, val/nll 2.307e+00
[2023-02-16 18:50:00] [Epoch    36/  200] trn/loss 2.252e+00, trn/lr 9.243e-01, trn/scale 1.061e-01, val/acc 1.518e-01, val/nll 2.457e+00
[2023-02-16 18:50:09] [Epoch    37/  200] trn/loss 2.185e+00, trn/lr 9.201e-01, trn/scale 1.056e-01, val/acc 1.004e-01, val/nll 2.328e+00
[2023-02-16 18:50:17] [Epoch    38/  200] trn/loss 2.061e+00, trn/lr 9.157e-01, trn/scale 1.053e-01, val/acc 1.777e-01, val/nll 2.161e+00
[2023-02-16 18:50:25] [Epoch    39/  200] trn/loss 2.036e+00, trn/lr 9.113e-01, trn/scale 1.049e-01, val/acc 1.449e-01, val/nll 2.139e+00
[2023-02-16 18:50:33] [Epoch    40/  200] trn/loss 2.116e+00, trn/lr 9.068e-01, trn/scale 1.046e-01, val/acc 1.314e-01, val/nll 2.234e+00
[2023-02-16 18:50:41] [Epoch    41/  200] trn/loss 2.110e+00, trn/lr 9.022e-01, trn/scale 1.044e-01, val/acc 2.133e-01, val/nll 2.068e+00
[2023-02-16 18:50:50] [Epoch    42/  200] trn/loss 2.110e+00, trn/lr 8.975e-01, trn/scale 1.042e-01, val/acc 1.320e-01, val/nll 2.444e+00
[2023-02-16 18:50:58] [Epoch    43/  200] trn/loss 2.297e+00, trn/lr 8.927e-01, trn/scale 1.040e-01, val/acc 1.051e-01, val/nll 2.388e+00
[2023-02-16 18:51:06] [Epoch    44/  200] trn/loss 2.163e+00, trn/lr 8.878e-01, trn/scale 1.039e-01, val/acc 9.978e-02, val/nll 2.452e+00
[2023-02-16 18:51:14] [Epoch    45/  200] trn/loss 2.123e+00, trn/lr 8.828e-01, trn/scale 1.037e-01, val/acc 1.736e-01, val/nll 2.235e+00
[2023-02-16 18:51:22] [Epoch    46/  200] trn/loss 2.085e+00, trn/lr 8.777e-01, trn/scale 1.036e-01, val/acc 1.007e-01, val/nll 2.533e+00
[2023-02-16 18:51:30] [Epoch    47/  200] trn/loss 2.095e+00, trn/lr 8.725e-01, trn/scale 1.035e-01, val/acc 1.323e-01, val/nll 2.244e+00
[2023-02-16 18:51:38] [Epoch    48/  200] trn/loss 2.168e+00, trn/lr 8.672e-01, trn/scale 1.035e-01, val/acc 9.823e-02, val/nll 2.321e+00
[2023-02-16 18:51:47] [Epoch    49/  200] trn/loss 2.176e+00, trn/lr 8.618e-01, trn/scale 1.034e-01, val/acc 1.777e-01, val/nll 2.148e+00
[2023-02-16 18:51:55] [Epoch    50/  200] trn/loss 2.151e+00, trn/lr 8.563e-01, trn/scale 1.033e-01, val/acc 1.044e-01, val/nll 2.334e+00
[2023-02-16 18:52:03] [Epoch    51/  200] trn/loss 2.149e+00, trn/lr 8.508e-01, trn/scale 1.033e-01, val/acc 1.804e-01, val/nll 2.290e+00
[2023-02-16 18:52:11] [Epoch    52/  200] trn/loss 2.098e+00, trn/lr 8.451e-01, trn/scale 1.032e-01, val/acc 1.033e-01, val/nll 2.319e+00
