[2023-02-05 10:16:50] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 10:16:50] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.9
- args.prior_precision   : 20.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000001_mo-0.90_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 10:17:04] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 10:24:19] [Epoch    31/  500] trn/posterior_energy  2.554e+06, trn/neg_log_likelihood  4.519e+03, trn/neg_log_prior  2.550e+06, trn/lr  9.908e-08, val/acc 7.336e-01, val/nll 1.078e+00
[2023-02-05 10:24:31] [Epoch    32/  500] trn/posterior_energy  2.552e+06, trn/neg_log_likelihood  3.266e+03, trn/neg_log_prior  2.549e+06, trn/lr  9.902e-08, val/acc 7.287e-01, val/nll 1.159e+00
[2023-02-05 10:24:43] [Epoch    33/  500] trn/posterior_energy  2.551e+06, trn/neg_log_likelihood  3.154e+03, trn/neg_log_prior  2.548e+06, trn/lr  9.896e-08, val/acc 7.441e-01, val/nll 1.096e+00
[2023-02-05 10:24:56] [Epoch    34/  500] trn/posterior_energy  2.550e+06, trn/neg_log_likelihood  3.421e+03, trn/neg_log_prior  2.547e+06, trn/lr  9.890e-08, val/acc 7.333e-01, val/nll 1.110e+00
[2023-02-05 10:25:08] [Epoch    35/  500] trn/posterior_energy  2.550e+06, trn/neg_log_likelihood  4.249e+03, trn/neg_log_prior  2.546e+06, trn/lr  9.883e-08, val/acc 7.496e-01, val/nll 1.006e+00
[2023-02-05 10:25:20] [Epoch    36/  500] trn/posterior_energy  2.548e+06, trn/neg_log_likelihood  2.778e+03, trn/neg_log_prior  2.545e+06, trn/lr  9.876e-08, val/acc 7.452e-01, val/nll 1.066e+00
[2023-02-05 10:25:32] [Epoch    37/  500] trn/posterior_energy  2.547e+06, trn/neg_log_likelihood  2.216e+03, trn/neg_log_prior  2.544e+06, trn/lr  9.869e-08, val/acc 7.295e-01, val/nll 1.212e+00
[2023-02-05 10:25:44] [Epoch    38/  500] trn/posterior_energy  2.546e+06, trn/neg_log_likelihood  2.877e+03, trn/neg_log_prior  2.544e+06, trn/lr  9.862e-08, val/acc 7.313e-01, val/nll 1.134e+00
[2023-02-05 10:25:56] [Epoch    39/  500] trn/posterior_energy  2.546e+06, trn/neg_log_likelihood  2.848e+03, trn/neg_log_prior  2.543e+06, trn/lr  9.854e-08, val/acc 7.275e-01, val/nll 1.155e+00
[2023-02-05 10:26:08] [Epoch    40/  500] trn/posterior_energy  2.544e+06, trn/neg_log_likelihood  1.971e+03, trn/neg_log_prior  2.542e+06, trn/lr  9.847e-08, val/acc 7.501e-01, val/nll 1.074e+00
