[2023-02-14 15:37:08] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-14 15:37:08] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR100_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.7
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.1
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR100_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.700_b2-0.999_wd-0.0010_eps-1e-1_rho-0.1000_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-14 15:37:14] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-14 15:42:58] [Epoch    34/  200] trn/loss 4.602e+00, trn/lr 2.797e+00, trn/scale 1.052e-01, val/acc 1.040e-02, val/nll 4.646e+00
[2023-02-14 15:43:06] [Epoch    35/  200] trn/loss 4.585e+00, trn/lr 2.785e+00, trn/scale 1.046e-01, val/acc 2.024e-02, val/nll 4.545e+00
[2023-02-14 15:43:14] [Epoch    36/  200] trn/loss 4.588e+00, trn/lr 2.773e+00, trn/scale 1.041e-01, val/acc 1.438e-02, val/nll 4.588e+00
[2023-02-14 15:43:22] [Epoch    37/  200] trn/loss 4.561e+00, trn/lr 2.760e+00, trn/scale 1.036e-01, val/acc 6.416e-03, val/nll 8.488e+01
[2023-02-14 15:43:30] [Epoch    38/  200] trn/loss 4.610e+00, trn/lr 2.747e+00, trn/scale 1.032e-01, val/acc 1.106e-02, val/nll 4.629e+00
[2023-02-14 15:43:39] [Epoch    39/  200] trn/loss 4.574e+00, trn/lr 2.734e+00, trn/scale 1.029e-01, val/acc 1.272e-02, val/nll 5.285e+00
[2023-02-14 15:43:47] [Epoch    40/  200] trn/loss 4.602e+00, trn/lr 2.720e+00, trn/scale 1.026e-01, val/acc 9.292e-03, val/nll 4.629e+00
[2023-02-14 15:43:55] [Epoch    41/  200] trn/loss 4.652e+00, trn/lr 2.707e+00, trn/scale 1.024e-01, val/acc 1.040e-02, val/nll 6.757e+01
[2023-02-14 15:44:03] [Epoch    42/  200] trn/loss 4.591e+00, trn/lr 2.692e+00, trn/scale 1.022e-01, val/acc 8.518e-03, val/nll 4.638e+00
[2023-02-14 15:44:11] [Epoch    43/  200] trn/loss 4.616e+00, trn/lr 2.678e+00, trn/scale 1.020e-01, val/acc 9.735e-03, val/nll 4.628e+00
[2023-02-14 15:44:19] [Epoch    44/  200] trn/loss 4.614e+00, trn/lr 2.663e+00, trn/scale 1.019e-01, val/acc 8.186e-03, val/nll 1.068e+01
[2023-02-14 15:44:27] [Epoch    45/  200] trn/loss 4.597e+00, trn/lr 2.648e+00, trn/scale 1.017e-01, val/acc 1.350e-02, val/nll 4.577e+00
[2023-02-14 15:44:36] [Epoch    46/  200] trn/loss 4.583e+00, trn/lr 2.633e+00, trn/scale 1.016e-01, val/acc 9.292e-03, val/nll 4.614e+00
[2023-02-14 15:44:44] [Epoch    47/  200] trn/loss 4.558e+00, trn/lr 2.617e+00, trn/scale 1.015e-01, val/acc 8.296e-03, val/nll 4.649e+00
[2023-02-14 15:44:52] [Epoch    48/  200] trn/loss 4.571e+00, trn/lr 2.602e+00, trn/scale 1.015e-01, val/acc 8.850e-03, val/nll 4.632e+00
[2023-02-14 15:45:00] [Epoch    49/  200] trn/loss 4.598e+00, trn/lr 2.585e+00, trn/scale 1.014e-01, val/acc 8.739e-03, val/nll 4.633e+00
[2023-02-14 15:45:08] [Epoch    50/  200] trn/loss 4.609e+00, trn/lr 2.569e+00, trn/scale 1.013e-01, val/acc 8.518e-03, val/nll 4.060e+03
[2023-02-14 15:45:17] [Epoch    51/  200] trn/loss 4.584e+00, trn/lr 2.552e+00, trn/scale 1.013e-01, val/acc 1.438e-02, val/nll 4.577e+00
[2023-02-14 15:45:25] [Epoch    52/  200] trn/loss 4.605e+00, trn/lr 2.535e+00, trn/scale 1.012e-01, val/acc 1.283e-02, val/nll 4.560e+00
[2023-02-14 15:45:33] [Epoch    53/  200] trn/loss 4.578e+00, trn/lr 2.518e+00, trn/scale 1.012e-01, val/acc 1.261e-02, val/nll 1.395e+01
[2023-02-14 15:45:41] [Epoch    54/  200] trn/loss 4.553e+00, trn/lr 2.501e+00, trn/scale 1.012e-01, val/acc 1.460e-02, val/nll 4.564e+00
[2023-02-14 15:45:49] [Epoch    55/  200] trn/loss 4.614e+00, trn/lr 2.483e+00, trn/scale 1.012e-01, val/acc 1.007e-02, val/nll 4.625e+00
[2023-02-14 15:45:57] [Epoch    56/  200] trn/loss 4.608e+00, trn/lr 2.465e+00, trn/scale 1.011e-01, val/acc 1.571e-02, val/nll 8.579e+00
[2023-02-14 15:46:05] [Epoch    57/  200] trn/loss 4.534e+00, trn/lr 2.447e+00, trn/scale 1.011e-01, val/acc 1.073e-02, val/nll 4.646e+00
[2023-02-14 15:46:14] [Epoch    58/  200] trn/loss 4.555e+00, trn/lr 2.429e+00, trn/scale 1.011e-01, val/acc 1.338e-02, val/nll 6.732e+00
[2023-02-14 15:46:22] [Epoch    59/  200] trn/loss 4.577e+00, trn/lr 2.410e+00, trn/scale 1.011e-01, val/acc 1.128e-02, val/nll 2.139e+02
[2023-02-14 15:46:30] [Epoch    60/  200] trn/loss 4.587e+00, trn/lr 2.391e+00, trn/scale 1.011e-01, val/acc 9.735e-03, val/nll 4.610e+00
[2023-02-14 15:46:38] [Epoch    61/  200] trn/loss 4.616e+00, trn/lr 2.372e+00, trn/scale 1.011e-01, val/acc 5.310e-03, val/nll 4.796e+00
[2023-02-14 15:46:46] [Epoch    62/  200] trn/loss 4.575e+00, trn/lr 2.353e+00, trn/scale 1.011e-01, val/acc 9.071e-03, val/nll 4.628e+00
[2023-02-14 15:46:54] [Epoch    63/  200] trn/loss 4.625e+00, trn/lr 2.333e+00, trn/scale 1.010e-01, val/acc 1.018e-02, val/nll 4.627e+00
