[2023-02-13 09:50:55] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-13 09:50:55] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.7
- args.num_cycles        : 30
- args.num_epochs_quiet  : 200
- args.num_epochs_noisy  : 0
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0200-0000_lr-0.0000030_mo-0.70_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-13 09:53:24] [Cycle   1/ 30][Epoch  33/200] trn/posterior_energy -1.160e+05, trn/neg_log_likelihood  2.936e+03, trn/neg_log_prior -1.189e+05, trn/lr  2.809e-06, trn/temperature  0.000e+00, val/acc 7.634e-01, val/nll 1.123e+00
[2023-02-13 09:53:27] [Cycle   1/ 30][Epoch  34/200] trn/posterior_energy -1.157e+05, trn/neg_log_likelihood  3.208e+03, trn/neg_log_prior -1.189e+05, trn/lr  2.797e-06, trn/temperature  0.000e+00, val/acc 7.758e-01, val/nll 9.827e-01
[2023-02-13 09:53:31] [Cycle   1/ 30][Epoch  35/200] trn/posterior_energy -1.169e+05, trn/neg_log_likelihood  1.899e+03, trn/neg_log_prior -1.188e+05, trn/lr  2.785e-06, trn/temperature  0.000e+00, val/acc 7.566e-01, val/nll 1.170e+00
[2023-02-13 09:53:35] [Cycle   1/ 30][Epoch  36/200] trn/posterior_energy -1.167e+05, trn/neg_log_likelihood  2.174e+03, trn/neg_log_prior -1.189e+05, trn/lr  2.773e-06, trn/temperature  0.000e+00, val/acc 7.697e-01, val/nll 1.066e+00
[2023-02-13 09:53:38] [Cycle   1/ 30][Epoch  37/200] trn/posterior_energy -1.163e+05, trn/neg_log_likelihood  2.586e+03, trn/neg_log_prior -1.188e+05, trn/lr  2.760e-06, trn/temperature  0.000e+00, val/acc 7.850e-01, val/nll 9.883e-01
[2023-02-13 09:53:42] [Cycle   1/ 30][Epoch  38/200] trn/posterior_energy -1.174e+05, trn/neg_log_likelihood  1.506e+03, trn/neg_log_prior -1.189e+05, trn/lr  2.747e-06, trn/temperature  0.000e+00, val/acc 7.868e-01, val/nll 1.013e+00
[2023-02-13 09:53:46] [Cycle   1/ 30][Epoch  39/200] trn/posterior_energy -1.157e+05, trn/neg_log_likelihood  3.184e+03, trn/neg_log_prior -1.189e+05, trn/lr  2.734e-06, trn/temperature  0.000e+00, val/acc 7.838e-01, val/nll 9.638e-01
[2023-02-13 09:53:50] [Cycle   1/ 30][Epoch  40/200] trn/posterior_energy -1.172e+05, trn/neg_log_likelihood  1.607e+03, trn/neg_log_prior -1.188e+05, trn/lr  2.720e-06, trn/temperature  0.000e+00, val/acc 7.848e-01, val/nll 1.036e+00
[2023-02-13 09:53:54] [Cycle   1/ 30][Epoch  41/200] trn/posterior_energy -1.175e+05, trn/neg_log_likelihood  1.413e+03, trn/neg_log_prior -1.189e+05, trn/lr  2.707e-06, trn/temperature  0.000e+00, val/acc 7.825e-01, val/nll 9.925e-01
[2023-02-13 09:53:57] [Cycle   1/ 30][Epoch  42/200] trn/posterior_energy -1.180e+05, trn/neg_log_likelihood  9.458e+02, trn/neg_log_prior -1.189e+05, trn/lr  2.692e-06, trn/temperature  0.000e+00, val/acc 7.930e-01, val/nll 1.027e+00
[2023-02-13 09:54:01] [Cycle   1/ 30][Epoch  43/200] trn/posterior_energy -1.189e+05, trn/neg_log_likelihood  1.804e+02, trn/neg_log_prior -1.191e+05, trn/lr  2.678e-06, trn/temperature  0.000e+00, val/acc 7.991e-01, val/nll 1.002e+00
[2023-02-13 09:54:05] [Cycle   1/ 30][Epoch  44/200] trn/posterior_energy -1.192e+05, trn/neg_log_likelihood  3.219e+01, trn/neg_log_prior -1.192e+05, trn/lr  2.663e-06, trn/temperature  0.000e+00, val/acc 8.031e-01, val/nll 1.005e+00
[2023-02-13 09:54:08] [Cycle   1/ 30][Epoch  45/200] trn/posterior_energy -1.193e+05, trn/neg_log_likelihood  2.073e+01, trn/neg_log_prior -1.194e+05, trn/lr  2.648e-06, trn/temperature  0.000e+00, val/acc 8.041e-01, val/nll 1.004e+00
[2023-02-13 09:54:12] [Cycle   1/ 30][Epoch  46/200] trn/posterior_energy -1.195e+05, trn/neg_log_likelihood  1.881e+01, trn/neg_log_prior -1.195e+05, trn/lr  2.633e-06, trn/temperature  0.000e+00, val/acc 8.029e-01, val/nll 9.996e-01
[2023-02-13 09:54:16] [Cycle   1/ 30][Epoch  47/200] trn/posterior_energy -1.196e+05, trn/neg_log_likelihood  1.815e+01, trn/neg_log_prior -1.197e+05, trn/lr  2.617e-06, trn/temperature  0.000e+00, val/acc 8.040e-01, val/nll 9.957e-01
[2023-02-13 09:54:20] [Cycle   1/ 30][Epoch  48/200] trn/posterior_energy -1.198e+05, trn/neg_log_likelihood  1.793e+01, trn/neg_log_prior -1.198e+05, trn/lr  2.601e-06, trn/temperature  0.000e+00, val/acc 8.041e-01, val/nll 9.892e-01
[2023-02-13 09:54:23] [Cycle   1/ 30][Epoch  49/200] trn/posterior_energy -1.199e+05, trn/neg_log_likelihood  1.798e+01, trn/neg_log_prior -1.199e+05, trn/lr  2.585e-06, trn/temperature  0.000e+00, val/acc 8.048e-01, val/nll 9.841e-01
[2023-02-13 09:54:27] [Cycle   1/ 30][Epoch  50/200] trn/posterior_energy -1.201e+05, trn/neg_log_likelihood  1.824e+01, trn/neg_log_prior -1.201e+05, trn/lr  2.569e-06, trn/temperature  0.000e+00, val/acc 8.042e-01, val/nll 9.784e-01
