[2023-02-16 23:00:32] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 23:00:32] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.97
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.0003
- args.rho                : 0.03
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.970_b2-0.999_wd-0.0003_eps-1e-1_rho-0.0300_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 23:00:46] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 23:06:57] [Epoch    37/  200] trn/loss 9.660e-01, trn/lr 2.760e+00, trn/scale 1.030e-01, val/acc 2.793e-01, val/nll 5.029e+00
[2023-02-16 23:07:05] [Epoch    38/  200] trn/loss 9.727e-01, trn/lr 2.747e+00, trn/scale 1.026e-01, val/acc 4.404e-01, val/nll 1.977e+00
[2023-02-16 23:07:13] [Epoch    39/  200] trn/loss 9.791e-01, trn/lr 2.734e+00, trn/scale 1.023e-01, val/acc 5.639e-01, val/nll 1.316e+00
[2023-02-16 23:07:21] [Epoch    40/  200] trn/loss 9.757e-01, trn/lr 2.720e+00, trn/scale 1.020e-01, val/acc 4.551e-01, val/nll 2.193e+00
[2023-02-16 23:07:29] [Epoch    41/  200] trn/loss 1.018e+00, trn/lr 2.707e+00, trn/scale 1.018e-01, val/acc 3.534e-01, val/nll 2.634e+00
[2023-02-16 23:07:38] [Epoch    42/  200] trn/loss 9.940e-01, trn/lr 2.692e+00, trn/scale 1.016e-01, val/acc 5.480e-01, val/nll 1.417e+00
[2023-02-16 23:07:46] [Epoch    43/  200] trn/loss 9.846e-01, trn/lr 2.678e+00, trn/scale 1.014e-01, val/acc 4.081e-01, val/nll 2.547e+00
[2023-02-16 23:07:54] [Epoch    44/  200] trn/loss 1.014e+00, trn/lr 2.663e+00, trn/scale 1.013e-01, val/acc 6.222e-01, val/nll 1.069e+00
[2023-02-16 23:08:02] [Epoch    45/  200] trn/loss 9.879e-01, trn/lr 2.648e+00, trn/scale 1.011e-01, val/acc 5.571e-01, val/nll 1.359e+00
[2023-02-16 23:08:10] [Epoch    46/  200] trn/loss 9.911e-01, trn/lr 2.633e+00, trn/scale 1.010e-01, val/acc 3.264e-01, val/nll 2.950e+00
[2023-02-16 23:08:19] [Epoch    47/  200] trn/loss 9.791e-01, trn/lr 2.617e+00, trn/scale 1.009e-01, val/acc 5.650e-01, val/nll 1.439e+00
[2023-02-16 23:08:27] [Epoch    48/  200] trn/loss 1.009e+00, trn/lr 2.602e+00, trn/scale 1.008e-01, val/acc 4.636e-01, val/nll 1.572e+00
[2023-02-16 23:08:35] [Epoch    49/  200] trn/loss 9.981e-01, trn/lr 2.585e+00, trn/scale 1.008e-01, val/acc 4.683e-01, val/nll 2.233e+00
[2023-02-16 23:08:43] [Epoch    50/  200] trn/loss 9.730e-01, trn/lr 2.569e+00, trn/scale 1.007e-01, val/acc 2.555e-01, val/nll 4.194e+00
[2023-02-16 23:08:51] [Epoch    51/  200] trn/loss 9.985e-01, trn/lr 2.552e+00, trn/scale 1.007e-01, val/acc 5.049e-01, val/nll 1.548e+00
[2023-02-16 23:08:59] [Epoch    52/  200] trn/loss 1.020e+00, trn/lr 2.535e+00, trn/scale 1.006e-01, val/acc 5.330e-01, val/nll 1.385e+00
[2023-02-16 23:09:08] [Epoch    53/  200] trn/loss 1.012e+00, trn/lr 2.518e+00, trn/scale 1.006e-01, val/acc 4.551e-01, val/nll 1.769e+00
[2023-02-16 23:09:16] [Epoch    54/  200] trn/loss 9.993e-01, trn/lr 2.501e+00, trn/scale 1.005e-01, val/acc 5.718e-01, val/nll 1.269e+00
[2023-02-16 23:09:24] [Epoch    55/  200] trn/loss 9.847e-01, trn/lr 2.483e+00, trn/scale 1.005e-01, val/acc 4.924e-01, val/nll 1.728e+00
[2023-02-16 23:09:32] [Epoch    56/  200] trn/loss 1.008e+00, trn/lr 2.465e+00, trn/scale 1.005e-01, val/acc 4.448e-01, val/nll 1.731e+00
[2023-02-16 23:09:40] [Epoch    57/  200] trn/loss 9.904e-01, trn/lr 2.447e+00, trn/scale 1.005e-01, val/acc 5.721e-01, val/nll 1.322e+00
[2023-02-16 23:09:49] [Epoch    58/  200] trn/loss 1.013e+00, trn/lr 2.429e+00, trn/scale 1.005e-01, val/acc 5.462e-01, val/nll 1.346e+00
[2023-02-16 23:09:57] [Epoch    59/  200] trn/loss 9.727e-01, trn/lr 2.410e+00, trn/scale 1.004e-01, val/acc 5.273e-01, val/nll 1.520e+00
[2023-02-16 23:10:05] [Epoch    60/  200] trn/loss 9.576e-01, trn/lr 2.391e+00, trn/scale 1.004e-01, val/acc 4.709e-01, val/nll 1.910e+00
[2023-02-16 23:10:13] [Epoch    61/  200] trn/loss 9.598e-01, trn/lr 2.372e+00, trn/scale 1.004e-01, val/acc 4.479e-01, val/nll 2.099e+00
