[2023-02-16 16:43:43] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 16:43:43] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.1
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.900_b2-0.999_wd-0.0010_eps-1e-1_rho-0.1000_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 16:43:57] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 16:55:19] [Epoch    75/  200] trn/loss 2.315e+00, trn/lr 2.085e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.311e+00
[2023-02-16 16:55:27] [Epoch    76/  200] trn/loss 2.316e+00, trn/lr 2.063e+00, trn/scale 1.010e-01, val/acc 9.856e-02, val/nll 2.313e+00
[2023-02-16 16:55:35] [Epoch    77/  200] trn/loss 2.314e+00, trn/lr 2.041e+00, trn/scale 1.010e-01, val/acc 9.945e-02, val/nll 2.317e+00
[2023-02-16 16:55:44] [Epoch    78/  200] trn/loss 2.317e+00, trn/lr 2.019e+00, trn/scale 1.010e-01, val/acc 1.081e-01, val/nll 2.329e+00
[2023-02-16 16:55:52] [Epoch    79/  200] trn/loss 2.315e+00, trn/lr 1.997e+00, trn/scale 1.010e-01, val/acc 9.281e-02, val/nll 2.311e+00
[2023-02-16 16:56:00] [Epoch    80/  200] trn/loss 2.314e+00, trn/lr 1.975e+00, trn/scale 1.010e-01, val/acc 1.081e-01, val/nll 2.316e+00
[2023-02-16 16:56:08] [Epoch    81/  200] trn/loss 2.317e+00, trn/lr 1.952e+00, trn/scale 1.010e-01, val/acc 9.945e-02, val/nll 2.320e+00
[2023-02-16 16:56:16] [Epoch    82/  200] trn/loss 2.317e+00, trn/lr 1.930e+00, trn/scale 1.010e-01, val/acc 1.081e-01, val/nll 2.306e+00
[2023-02-16 16:56:25] [Epoch    83/  200] trn/loss 2.316e+00, trn/lr 1.907e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.307e+00
[2023-02-16 16:56:33] [Epoch    84/  200] trn/loss 2.317e+00, trn/lr 1.885e+00, trn/scale 1.010e-01, val/acc 1.081e-01, val/nll 2.310e+00
[2023-02-16 16:56:41] [Epoch    85/  200] trn/loss 2.312e+00, trn/lr 1.862e+00, trn/scale 1.010e-01, val/acc 1.007e-01, val/nll 2.317e+00
[2023-02-16 16:56:49] [Epoch    86/  200] trn/loss 2.315e+00, trn/lr 1.839e+00, trn/scale 1.010e-01, val/acc 9.978e-02, val/nll 2.311e+00
[2023-02-16 16:56:57] [Epoch    87/  200] trn/loss 2.314e+00, trn/lr 1.816e+00, trn/scale 1.010e-01, val/acc 9.281e-02, val/nll 2.318e+00
[2023-02-16 16:57:05] [Epoch    88/  200] trn/loss 2.314e+00, trn/lr 1.793e+00, trn/scale 1.010e-01, val/acc 9.978e-02, val/nll 2.307e+00
[2023-02-16 16:57:14] [Epoch    89/  200] trn/loss 2.315e+00, trn/lr 1.770e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.314e+00
[2023-02-16 16:57:22] [Epoch    90/  200] trn/loss 2.317e+00, trn/lr 1.746e+00, trn/scale 1.010e-01, val/acc 9.281e-02, val/nll 2.314e+00
[2023-02-16 16:57:30] [Epoch    91/  200] trn/loss 2.313e+00, trn/lr 1.723e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.313e+00
[2023-02-16 16:57:38] [Epoch    92/  200] trn/loss 2.314e+00, trn/lr 1.700e+00, trn/scale 1.010e-01, val/acc 1.081e-01, val/nll 2.315e+00
[2023-02-16 16:57:46] [Epoch    93/  200] trn/loss 2.314e+00, trn/lr 1.676e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.315e+00
[2023-02-16 16:57:54] [Epoch    94/  200] trn/loss 2.313e+00, trn/lr 1.653e+00, trn/scale 1.010e-01, val/acc 9.281e-02, val/nll 2.309e+00
[2023-02-16 16:58:03] [Epoch    95/  200] trn/loss 2.314e+00, trn/lr 1.630e+00, trn/scale 1.010e-01, val/acc 1.081e-01, val/nll 2.313e+00
[2023-02-16 16:58:11] [Epoch    96/  200] trn/loss 2.311e+00, trn/lr 1.606e+00, trn/scale 1.010e-01, val/acc 9.978e-02, val/nll 2.316e+00
[2023-02-16 16:58:19] [Epoch    97/  200] trn/loss 2.314e+00, trn/lr 1.582e+00, trn/scale 1.010e-01, val/acc 9.856e-02, val/nll 2.316e+00
[2023-02-16 16:58:27] [Epoch    98/  200] trn/loss 2.312e+00, trn/lr 1.559e+00, trn/scale 1.010e-01, val/acc 1.007e-01, val/nll 2.314e+00
[2023-02-16 16:58:35] [Epoch    99/  200] trn/loss 2.313e+00, trn/lr 1.535e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.308e+00
[2023-02-16 16:58:43] [Epoch   100/  200] trn/loss 2.312e+00, trn/lr 1.512e+00, trn/scale 1.010e-01, val/acc 1.081e-01, val/nll 2.310e+00
[2023-02-16 16:58:52] [Epoch   101/  200] trn/loss 2.312e+00, trn/lr 1.488e+00, trn/scale 1.010e-01, val/acc 9.978e-02, val/nll 2.316e+00
[2023-02-16 16:59:00] [Epoch   102/  200] trn/loss 2.312e+00, trn/lr 1.465e+00, trn/scale 1.010e-01, val/acc 1.007e-01, val/nll 2.306e+00
[2023-02-16 16:59:08] [Epoch   103/  200] trn/loss 2.312e+00, trn/lr 1.441e+00, trn/scale 1.010e-01, val/acc 1.044e-01, val/nll 2.311e+00
[2023-02-16 16:59:16] [Epoch   104/  200] trn/loss 2.312e+00, trn/lr 1.418e+00, trn/scale 1.010e-01, val/acc 9.281e-02, val/nll 2.314e+00
