[2023-02-05 06:13:39] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-05 06:13:39] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 50
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0050_lr-0.0000003_mo-0.99_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 06:16:08] [Cycle   1/ 30][Epoch  29/ 50] trn/posterior_energy  2.215e+04, trn/neg_log_likelihood  3.126e+04, trn/neg_log_prior -9.109e+03, trn/lr  1.173e-07, trn/temperature  1.000e+00, val/acc 7.006e-01, val/nll 8.424e-01
[2023-02-05 06:16:13] [Cycle   1/ 30][Epoch  30/ 50] trn/posterior_energy  2.177e+04, trn/neg_log_likelihood  3.018e+04, trn/neg_log_prior -8.405e+03, trn/lr  1.082e-07, trn/temperature  1.000e+00, val/acc 7.209e-01, val/nll 8.066e-01
[2023-02-05 06:16:17] [Cycle   1/ 30][Epoch  31/ 50] trn/posterior_energy  2.212e+04, trn/neg_log_likelihood  3.002e+04, trn/neg_log_prior -7.898e+03, trn/lr  9.921e-08, trn/temperature  1.000e+00, val/acc 7.051e-01, val/nll 8.318e-01
[2023-02-05 06:16:21] [Cycle   1/ 30][Epoch  32/ 50] trn/posterior_energy  2.153e+04, trn/neg_log_likelihood  2.885e+04, trn/neg_log_prior -7.327e+03, trn/lr  9.045e-08, trn/temperature  1.000e+00, val/acc 7.227e-01, val/nll 7.904e-01
[2023-02-05 06:16:25] [Cycle   1/ 30][Epoch  33/ 50] trn/posterior_energy  2.136e+04, trn/neg_log_likelihood  2.815e+04, trn/neg_log_prior -6.798e+03, trn/lr  8.192e-08, trn/temperature  1.000e+00, val/acc 7.191e-01, val/nll 7.913e-01
[2023-02-05 06:16:29] [Cycle   1/ 30][Epoch  34/ 50] trn/posterior_energy  2.189e+04, trn/neg_log_likelihood  2.819e+04, trn/neg_log_prior -6.296e+03, trn/lr  7.366e-08, trn/temperature  1.000e+00, val/acc 7.199e-01, val/nll 8.031e-01
[2023-02-05 06:16:33] [Cycle   1/ 30][Epoch  35/ 50] trn/posterior_energy  2.179e+04, trn/neg_log_likelihood  2.765e+04, trn/neg_log_prior -5.862e+03, trn/lr  6.571e-08, trn/temperature  1.000e+00, val/acc 7.267e-01, val/nll 7.657e-01
[2023-02-05 06:16:37] [Cycle   1/ 30][Epoch  36/ 50] trn/posterior_energy  2.184e+04, trn/neg_log_likelihood  2.732e+04, trn/neg_log_prior -5.488e+03, trn/lr  5.809e-08, trn/temperature  1.000e+00, val/acc 7.195e-01, val/nll 7.824e-01
[2023-02-05 06:16:42] [Cycle   1/ 30][Epoch  37/ 50] trn/posterior_energy  2.189e+04, trn/neg_log_likelihood  2.702e+04, trn/neg_log_prior -5.123e+03, trn/lr  5.083e-08, trn/temperature  1.000e+00, val/acc 7.272e-01, val/nll 7.759e-01
[2023-02-05 06:16:46] [Cycle   1/ 30][Epoch  38/ 50] trn/posterior_energy  2.165e+04, trn/neg_log_likelihood  2.643e+04, trn/neg_log_prior -4.782e+03, trn/lr  4.396e-08, trn/temperature  1.000e+00, val/acc 7.390e-01, val/nll 7.559e-01
