[2023-02-12 09:19:53] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-12 09:19:53] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR100_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 1.0
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.003
- args.rho                : 0.01
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR100_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-1.00_b1-0.900_b2-0.999_wd-0.0030_eps-1e-1_rho-0.0100_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-12 09:19:59] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-12 09:25:44] [Epoch    34/  200] trn/loss 4.118e+00, trn/lr 9.324e-01, trn/scale 1.073e-01, val/acc 9.071e-03, val/nll 2.450e+01
[2023-02-12 09:25:52] [Epoch    35/  200] trn/loss 4.122e+00, trn/lr 9.284e-01, trn/scale 1.067e-01, val/acc 2.688e-02, val/nll 4.334e+00
[2023-02-12 09:26:00] [Epoch    36/  200] trn/loss 4.135e+00, trn/lr 9.243e-01, trn/scale 1.062e-01, val/acc 3.319e-02, val/nll 4.517e+00
[2023-02-12 09:26:08] [Epoch    37/  200] trn/loss 4.143e+00, trn/lr 9.201e-01, trn/scale 1.057e-01, val/acc 1.914e-02, val/nll 6.075e+00
[2023-02-12 09:26:17] [Epoch    38/  200] trn/loss 4.142e+00, trn/lr 9.157e-01, trn/scale 1.053e-01, val/acc 3.219e-02, val/nll 5.840e+00
[2023-02-12 09:26:25] [Epoch    39/  200] trn/loss 4.197e+00, trn/lr 9.113e-01, trn/scale 1.050e-01, val/acc 9.513e-03, val/nll 3.803e+01
[2023-02-12 09:26:33] [Epoch    40/  200] trn/loss 4.213e+00, trn/lr 9.068e-01, trn/scale 1.047e-01, val/acc 2.091e-02, val/nll 4.641e+00
[2023-02-12 09:26:41] [Epoch    41/  200] trn/loss 4.200e+00, trn/lr 9.022e-01, trn/scale 1.044e-01, val/acc 1.482e-02, val/nll 4.554e+00
[2023-02-12 09:26:49] [Epoch    42/  200] trn/loss 4.200e+00, trn/lr 8.975e-01, trn/scale 1.042e-01, val/acc 1.272e-02, val/nll 4.664e+00
[2023-02-12 09:26:57] [Epoch    43/  200] trn/loss 4.222e+00, trn/lr 8.927e-01, trn/scale 1.041e-01, val/acc 9.624e-03, val/nll 6.751e+00
[2023-02-12 09:27:06] [Epoch    44/  200] trn/loss 4.195e+00, trn/lr 8.878e-01, trn/scale 1.039e-01, val/acc 3.352e-02, val/nll 4.699e+00
[2023-02-12 09:27:14] [Epoch    45/  200] trn/loss 4.238e+00, trn/lr 8.828e-01, trn/scale 1.038e-01, val/acc 2.965e-02, val/nll 4.380e+00
[2023-02-12 09:27:22] [Epoch    46/  200] trn/loss 4.239e+00, trn/lr 8.777e-01, trn/scale 1.037e-01, val/acc 2.600e-02, val/nll 4.444e+00
[2023-02-12 09:27:30] [Epoch    47/  200] trn/loss 4.238e+00, trn/lr 8.725e-01, trn/scale 1.036e-01, val/acc 3.153e-02, val/nll 4.583e+00
[2023-02-12 09:27:38] [Epoch    48/  200] trn/loss 4.243e+00, trn/lr 8.672e-01, trn/scale 1.035e-01, val/acc 3.695e-02, val/nll 4.457e+00
[2023-02-12 09:27:46] [Epoch    49/  200] trn/loss 4.226e+00, trn/lr 8.618e-01, trn/scale 1.034e-01, val/acc 2.190e-02, val/nll 4.425e+00
[2023-02-12 09:27:54] [Epoch    50/  200] trn/loss 4.260e+00, trn/lr 8.563e-01, trn/scale 1.034e-01, val/acc 3.562e-02, val/nll 4.358e+00
[2023-02-12 09:28:03] [Epoch    51/  200] trn/loss 4.278e+00, trn/lr 8.508e-01, trn/scale 1.033e-01, val/acc 2.312e-02, val/nll 2.155e+01
[2023-02-12 09:28:11] [Epoch    52/  200] trn/loss 4.296e+00, trn/lr 8.451e-01, trn/scale 1.033e-01, val/acc 9.181e-03, val/nll 5.288e+00
[2023-02-12 09:28:19] [Epoch    53/  200] trn/loss 4.309e+00, trn/lr 8.394e-01, trn/scale 1.032e-01, val/acc 1.792e-02, val/nll 4.607e+00
[2023-02-12 09:28:27] [Epoch    54/  200] trn/loss 4.287e+00, trn/lr 8.336e-01, trn/scale 1.032e-01, val/acc 1.139e-02, val/nll 4.633e+00
[2023-02-12 09:28:35] [Epoch    55/  200] trn/loss 4.235e+00, trn/lr 8.277e-01, trn/scale 1.032e-01, val/acc 3.639e-02, val/nll 4.305e+00
[2023-02-12 09:28:44] [Epoch    56/  200] trn/loss 4.239e+00, trn/lr 8.217e-01, trn/scale 1.032e-01, val/acc 2.478e-02, val/nll 4.455e+00
[2023-02-12 09:28:52] [Epoch    57/  200] trn/loss 4.235e+00, trn/lr 8.157e-01, trn/scale 1.031e-01, val/acc 3.407e-02, val/nll 4.374e+00
[2023-02-12 09:29:00] [Epoch    58/  200] trn/loss 4.242e+00, trn/lr 8.096e-01, trn/scale 1.031e-01, val/acc 2.666e-02, val/nll 4.709e+00
[2023-02-12 09:29:08] [Epoch    59/  200] trn/loss 4.227e+00, trn/lr 8.034e-01, trn/scale 1.031e-01, val/acc 2.146e-02, val/nll 4.631e+00
[2023-02-12 09:29:16] [Epoch    60/  200] trn/loss 4.234e+00, trn/lr 7.971e-01, trn/scale 1.031e-01, val/acc 2.765e-02, val/nll 4.447e+00
[2023-02-12 09:29:24] [Epoch    61/  200] trn/loss 4.242e+00, trn/lr 7.907e-01, trn/scale 1.031e-01, val/acc 3.396e-02, val/nll 4.385e+00
[2023-02-12 09:29:32] [Epoch    62/  200] trn/loss 4.226e+00, trn/lr 7.843e-01, trn/scale 1.031e-01, val/acc 3.341e-02, val/nll 4.373e+00
[2023-02-12 09:29:41] [Epoch    63/  200] trn/loss 4.238e+00, trn/lr 7.778e-01, trn/scale 1.031e-01, val/acc 9.845e-03, val/nll 4.717e+00
[2023-02-12 09:29:49] [Epoch    64/  200] trn/loss 4.314e+00, trn/lr 7.712e-01, trn/scale 1.031e-01, val/acc 1.582e-02, val/nll 5.179e+00
[2023-02-12 09:29:57] [Epoch    65/  200] trn/loss 4.359e+00, trn/lr 7.646e-01, trn/scale 1.031e-01, val/acc 1.051e-02, val/nll 4.600e+00
[2023-02-12 09:30:05] [Epoch    66/  200] trn/loss 4.322e+00, trn/lr 7.579e-01, trn/scale 1.031e-01, val/acc 3.418e-02, val/nll 4.425e+00
[2023-02-12 09:30:13] [Epoch    67/  200] trn/loss 4.360e+00, trn/lr 7.512e-01, trn/scale 1.031e-01, val/acc 8.075e-03, val/nll 4.619e+00
[2023-02-12 09:30:22] [Epoch    68/  200] trn/loss 4.428e+00, trn/lr 7.443e-01, trn/scale 1.030e-01, val/acc 8.628e-03, val/nll 5.737e+00
[2023-02-12 09:30:30] [Epoch    69/  200] trn/loss 4.461e+00, trn/lr 7.374e-01, trn/scale 1.030e-01, val/acc 1.051e-02, val/nll 4.654e+00
[2023-02-12 09:30:38] [Epoch    70/  200] trn/loss 4.394e+00, trn/lr 7.305e-01, trn/scale 1.030e-01, val/acc 2.588e-02, val/nll 4.385e+00
[2023-02-12 09:30:46] [Epoch    71/  200] trn/loss 4.358e+00, trn/lr 7.235e-01, trn/scale 1.030e-01, val/acc 1.084e-02, val/nll 6.705e+00
[2023-02-12 09:30:54] [Epoch    72/  200] trn/loss 4.320e+00, trn/lr 7.165e-01, trn/scale 1.030e-01, val/acc 3.042e-02, val/nll 4.610e+00
[2023-02-12 09:31:02] [Epoch    73/  200] trn/loss 4.284e+00, trn/lr 7.093e-01, trn/scale 1.030e-01, val/acc 2.412e-02, val/nll 4.489e+00
[2023-02-12 09:31:11] [Epoch    74/  200] trn/loss 4.267e+00, trn/lr 7.022e-01, trn/scale 1.030e-01, val/acc 2.942e-02, val/nll 4.363e+00
[2023-02-12 09:31:19] [Epoch    75/  200] trn/loss 4.242e+00, trn/lr 6.950e-01, trn/scale 1.030e-01, val/acc 1.206e-02, val/nll 5.635e+00
[2023-02-12 09:31:27] [Epoch    76/  200] trn/loss 4.432e+00, trn/lr 6.877e-01, trn/scale 1.030e-01, val/acc 2.069e-02, val/nll 4.689e+00
[2023-02-12 09:31:35] [Epoch    77/  200] trn/loss 4.345e+00, trn/lr 6.804e-01, trn/scale 1.030e-01, val/acc 1.637e-02, val/nll 4.535e+00
[2023-02-12 09:31:43] [Epoch    78/  200] trn/loss 4.313e+00, trn/lr 6.731e-01, trn/scale 1.030e-01, val/acc 2.434e-02, val/nll 4.448e+00
[2023-02-12 09:31:51] [Epoch    79/  200] trn/loss 4.256e+00, trn/lr 6.657e-01, trn/scale 1.030e-01, val/acc 1.715e-02, val/nll 4.685e+00
[2023-02-12 09:32:00] [Epoch    80/  200] trn/loss 4.475e+00, trn/lr 6.583e-01, trn/scale 1.030e-01, val/acc 1.139e-02, val/nll 6.027e+00
