[2023-02-06 13:13:32] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-06 13:13:32] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 50
- args.num_epochs_noisy  : 0
- args.prior_precision   : 20.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0050-0000_lr-0.0000030_mo-0.97_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 13:16:46] [Cycle   1/ 30][Epoch  38/ 50] trn/posterior_energy  1.992e+05, trn/neg_log_likelihood  2.537e+04, trn/neg_log_prior  1.738e+05, trn/lr  4.396e-07, trn/temperature  0.000e+00, val/acc 7.494e-01, val/nll 7.372e-01
[2023-02-06 13:16:50] [Cycle   1/ 30][Epoch  39/ 50] trn/posterior_energy  1.971e+05, trn/neg_log_likelihood  2.344e+04, trn/neg_log_prior  1.737e+05, trn/lr  3.751e-07, trn/temperature  0.000e+00, val/acc 7.480e-01, val/nll 7.250e-01
[2023-02-06 13:16:54] [Cycle   1/ 30][Epoch  40/ 50] trn/posterior_energy  1.943e+05, trn/neg_log_likelihood  2.105e+04, trn/neg_log_prior  1.733e+05, trn/lr  3.150e-07, trn/temperature  0.000e+00, val/acc 7.587e-01, val/nll 6.991e-01
[2023-02-06 13:16:58] [Cycle   1/ 30][Epoch  41/ 50] trn/posterior_energy  1.925e+05, trn/neg_log_likelihood  1.950e+04, trn/neg_log_prior  1.730e+05, trn/lr  2.596e-07, trn/temperature  0.000e+00, val/acc 7.664e-01, val/nll 6.782e-01
[2023-02-06 13:17:03] [Cycle   1/ 30][Epoch  42/ 50] trn/posterior_energy  1.904e+05, trn/neg_log_likelihood  1.766e+04, trn/neg_log_prior  1.728e+05, trn/lr  2.091e-07, trn/temperature  0.000e+00, val/acc 7.669e-01, val/nll 6.703e-01
[2023-02-06 13:17:07] [Cycle   1/ 30][Epoch  43/ 50] trn/posterior_energy  1.871e+05, trn/neg_log_likelihood  1.457e+04, trn/neg_log_prior  1.725e+05, trn/lr  1.638e-07, trn/temperature  0.000e+00, val/acc 7.768e-01, val/nll 6.692e-01
[2023-02-06 13:17:11] [Cycle   1/ 30][Epoch  44/ 50] trn/posterior_energy  1.850e+05, trn/neg_log_likelihood  1.274e+04, trn/neg_log_prior  1.723e+05, trn/lr  1.236e-07, trn/temperature  0.000e+00, val/acc 7.782e-01, val/nll 6.701e-01
[2023-02-06 13:17:16] [Cycle   1/ 30][Epoch  45/ 50] trn/posterior_energy  1.815e+05, trn/neg_log_likelihood  9.437e+03, trn/neg_log_prior  1.721e+05, trn/lr  8.894e-08, trn/temperature  0.000e+00, val/acc 7.756e-01, val/nll 7.127e-01
[2023-02-06 13:17:20] [Cycle   1/ 30][Epoch  46/ 50] trn/posterior_energy  1.787e+05, trn/neg_log_likelihood  6.870e+03, trn/neg_log_prior  1.719e+05, trn/lr  5.982e-08, trn/temperature  0.000e+00, val/acc 7.760e-01, val/nll 7.418e-01
[2023-02-06 13:17:24] [Cycle   1/ 30][Epoch  47/ 50] trn/posterior_energy  1.759e+05, trn/neg_log_likelihood  4.231e+03, trn/neg_log_prior  1.717e+05, trn/lr  3.639e-08, trn/temperature  0.000e+00, val/acc 7.767e-01, val/nll 7.721e-01
