[2023-02-03 04:55:03] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-03 04:55:03] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.7
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/bs-0080_ne-0500_lr-0.0000003_mo-0.70_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-03 04:58:26] [Epoch    43/  500] trn/posterior_energy -1.135e+05, trn/neg_log_likelihood  9.249e+03, trn/neg_log_prior -1.227e+05, trn/lr  2.947e-07, val/acc 7.499e-01, val/nll 8.974e-01 (best_acc: 7.438e-01 -> 7.499e-01, test_acc: 7.355e-01, test_nll: 9.401e-01)
[2023-02-03 04:58:30] [Epoch    44/  500] trn/posterior_energy -1.140e+05, trn/neg_log_likelihood  8.753e+03, trn/neg_log_prior -1.227e+05, trn/lr  2.944e-07, val/acc 7.232e-01, val/nll 9.800e-01
[2023-02-03 04:58:34] [Epoch    45/  500] trn/posterior_energy -1.149e+05, trn/neg_log_likelihood  7.805e+03, trn/neg_log_prior -1.227e+05, trn/lr  2.942e-07, val/acc 7.267e-01, val/nll 1.034e+00
[2023-02-03 04:58:38] [Epoch    46/  500] trn/posterior_energy -1.155e+05, trn/neg_log_likelihood  7.197e+03, trn/neg_log_prior -1.227e+05, trn/lr  2.939e-07, val/acc 7.352e-01, val/nll 9.612e-01
[2023-02-03 04:58:42] [Epoch    47/  500] trn/posterior_energy -1.167e+05, trn/neg_log_likelihood  6.017e+03, trn/neg_log_prior -1.227e+05, trn/lr  2.936e-07, val/acc 7.440e-01, val/nll 9.728e-01
[2023-02-03 04:58:46] [Epoch    48/  500] trn/posterior_energy -1.162e+05, trn/neg_log_likelihood  6.501e+03, trn/neg_log_prior -1.227e+05, trn/lr  2.934e-07, val/acc 7.377e-01, val/nll 1.004e+00
[2023-02-03 04:58:50] [Epoch    49/  500] trn/posterior_energy -1.169e+05, trn/neg_log_likelihood  5.722e+03, trn/neg_log_prior -1.226e+05, trn/lr  2.931e-07, val/acc 7.360e-01, val/nll 1.002e+00
[2023-02-03 04:58:54] [Epoch    50/  500] trn/posterior_energy -1.176e+05, trn/neg_log_likelihood  5.070e+03, trn/neg_log_prior -1.226e+05, trn/lr  2.928e-07, val/acc 7.340e-01, val/nll 1.061e+00
[2023-02-03 04:58:58] [Epoch    51/  500] trn/posterior_energy -1.180e+05, trn/neg_log_likelihood  4.609e+03, trn/neg_log_prior -1.226e+05, trn/lr  2.925e-07, val/acc 7.246e-01, val/nll 1.154e+00
[2023-02-03 04:59:02] [Epoch    52/  500] trn/posterior_energy -1.177e+05, trn/neg_log_likelihood  4.864e+03, trn/neg_log_prior -1.226e+05, trn/lr  2.922e-07, val/acc 7.282e-01, val/nll 1.138e+00
