[2023-02-04 21:55:10] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-04 21:55:10] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.7
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 50
- args.prior_precision   : 80.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0050_lr-0.0000001_mo-0.70_pr-05/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-04 21:57:53] [Cycle   1/ 30][Epoch  31/ 50] trn/posterior_energy  5.105e+05, trn/neg_log_likelihood  4.409e+04, trn/neg_log_prior  4.664e+05, trn/lr  3.307e-08, trn/temperature  1.000e+00, val/acc 6.022e-01, val/nll 1.095e+00
[2023-02-04 21:57:57] [Cycle   1/ 30][Epoch  32/ 50] trn/posterior_energy  5.103e+05, trn/neg_log_likelihood  4.365e+04, trn/neg_log_prior  4.666e+05, trn/lr  3.015e-08, trn/temperature  1.000e+00, val/acc 5.992e-01, val/nll 1.098e+00
[2023-02-04 21:58:01] [Cycle   1/ 30][Epoch  33/ 50] trn/posterior_energy  5.103e+05, trn/neg_log_likelihood  4.344e+04, trn/neg_log_prior  4.668e+05, trn/lr  2.731e-08, trn/temperature  1.000e+00, val/acc 5.969e-01, val/nll 1.104e+00
[2023-02-04 21:58:05] [Cycle   1/ 30][Epoch  34/ 50] trn/posterior_energy  5.099e+05, trn/neg_log_likelihood  4.291e+04, trn/neg_log_prior  4.670e+05, trn/lr  2.455e-08, trn/temperature  1.000e+00, val/acc 5.910e-01, val/nll 1.124e+00
[2023-02-04 21:58:10] [Cycle   1/ 30][Epoch  35/ 50] trn/posterior_energy  5.099e+05, trn/neg_log_likelihood  4.270e+04, trn/neg_log_prior  4.672e+05, trn/lr  2.190e-08, trn/temperature  1.000e+00, val/acc 6.019e-01, val/nll 1.094e+00
[2023-02-04 21:58:14] [Cycle   1/ 30][Epoch  36/ 50] trn/posterior_energy  5.097e+05, trn/neg_log_likelihood  4.235e+04, trn/neg_log_prior  4.673e+05, trn/lr  1.936e-08, trn/temperature  1.000e+00, val/acc 6.013e-01, val/nll 1.088e+00
[2023-02-04 21:58:18] [Cycle   1/ 30][Epoch  37/ 50] trn/posterior_energy  5.096e+05, trn/neg_log_likelihood  4.210e+04, trn/neg_log_prior  4.675e+05, trn/lr  1.694e-08, trn/temperature  1.000e+00, val/acc 6.070e-01, val/nll 1.077e+00
[2023-02-04 21:58:22] [Cycle   1/ 30][Epoch  38/ 50] trn/posterior_energy  5.094e+05, trn/neg_log_likelihood  4.174e+04, trn/neg_log_prior  4.676e+05, trn/lr  1.465e-08, trn/temperature  1.000e+00, val/acc 6.077e-01, val/nll 1.079e+00
[2023-02-04 21:58:26] [Cycle   1/ 30][Epoch  39/ 50] trn/posterior_energy  5.092e+05, trn/neg_log_likelihood  4.145e+04, trn/neg_log_prior  4.677e+05, trn/lr  1.250e-08, trn/temperature  1.000e+00, val/acc 6.117e-01, val/nll 1.065e+00
[2023-02-04 21:58:31] [Cycle   1/ 30][Epoch  40/ 50] trn/posterior_energy  5.091e+05, trn/neg_log_likelihood  4.127e+04, trn/neg_log_prior  4.678e+05, trn/lr  1.050e-08, trn/temperature  1.000e+00, val/acc 6.116e-01, val/nll 1.066e+00
