[2023-06-09 15:16:25] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-06-09 15:16:25] Command line arguments:
- args.data_root             : /mnt/local/datasets/manual/
- args.data_name             : imagenet2012
- args.resnet_depth          : 18
- args.resnet_width          : 1
- args.batch_size            : 2048
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 64000
- args.optim_lr              : 0.8
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.0
- args.optim_global_clipping : None
- args.save                  : ./save/imagenet2012/R18x1_b2048_i64k_lr0.8-wd0.0001-s42-fp16/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-06-09 15:16:25] Multiple local devices are detected:
[StreamExecutorGpuDevice(id=0, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=1, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=2, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=3, process_index=0, slice_index=0)]

[2023-06-09 15:16:40] images.shape: (4, 512, 224, 224, 3), output.shape: (4, 512, 512)
[2023-06-09 17:18:08] [Iter   24000/  64000] trn/loss 2.413e+00, trn/negative_log_likelihood 2.413e+00, trn/w_norm 1.356e+02, trn/g_norm 7.879e-01, trn/lr 6.383e-01, trn/dyn_scale 6.554e+04, val/acc 4.313e-01, val/nll 2.550e+00, val/best_acc 4.591e-01
[2023-06-09 17:23:13] [Iter   25000/  64000] trn/loss 2.396e+00, trn/negative_log_likelihood 2.396e+00, trn/w_norm 1.350e+02, trn/g_norm 7.938e-01, trn/lr 6.204e-01, trn/dyn_scale 6.554e+04, val/acc 4.579e-01, val/nll 2.380e+00, val/best_acc 4.591e-01
[2023-06-09 17:28:17] [Iter   26000/  64000] trn/loss 2.380e+00, trn/negative_log_likelihood 2.380e+00, trn/w_norm 1.345e+02, trn/g_norm 8.003e-01, trn/lr 6.019e-01, trn/dyn_scale 6.554e+04, val/acc 4.684e-01, val/nll 2.312e+00, val/best_acc 4.684e-01 (best_acc: 4.591e-01 -> 4.684e-01)
[2023-06-09 17:33:25] [Iter   27000/  64000] trn/loss 2.364e+00, trn/negative_log_likelihood 2.364e+00, trn/w_norm 1.339e+02, trn/g_norm 8.069e-01, trn/lr 5.827e-01, trn/dyn_scale 6.554e+04, val/acc 4.554e-01, val/nll 2.409e+00, val/best_acc 4.684e-01
[2023-06-09 17:38:27] [Iter   28000/  64000] trn/loss 2.345e+00, trn/negative_log_likelihood 2.345e+00, trn/w_norm 1.333e+02, trn/g_norm 8.141e-01, trn/lr 5.631e-01, trn/dyn_scale 6.554e+04, val/acc 4.764e-01, val/nll 2.307e+00, val/best_acc 4.764e-01 (best_acc: 4.684e-01 -> 4.764e-01)
[2023-06-09 17:43:33] [Iter   29000/  64000] trn/loss 2.328e+00, trn/negative_log_likelihood 2.328e+00, trn/w_norm 1.327e+02, trn/g_norm 8.222e-01, trn/lr 5.429e-01, trn/dyn_scale 6.554e+04, val/acc 4.571e-01, val/nll 2.411e+00, val/best_acc 4.764e-01
[2023-06-09 17:48:40] [Iter   30000/  64000] trn/loss 2.309e+00, trn/negative_log_likelihood 2.309e+00, trn/w_norm 1.320e+02, trn/g_norm 8.304e-01, trn/lr 5.224e-01, trn/dyn_scale 6.554e+04, val/acc 4.836e-01, val/nll 2.241e+00, val/best_acc 4.836e-01 (best_acc: 4.764e-01 -> 4.836e-01)
[2023-06-09 17:53:46] [Iter   31000/  64000] trn/loss 2.288e+00, trn/negative_log_likelihood 2.288e+00, trn/w_norm 1.313e+02, trn/g_norm 8.426e-01, trn/lr 5.014e-01, trn/dyn_scale 6.554e+04, val/acc 4.771e-01, val/nll 2.293e+00, val/best_acc 4.836e-01
[2023-06-09 17:58:53] [Iter   32000/  64000] trn/loss 2.271e+00, trn/negative_log_likelihood 2.271e+00, trn/w_norm 1.306e+02, trn/g_norm 8.514e-01, trn/lr 4.802e-01, trn/dyn_scale 6.554e+04, val/acc 4.838e-01, val/nll 2.250e+00, val/best_acc 4.838e-01 (best_acc: 4.836e-01 -> 4.838e-01)
[2023-06-09 18:03:51] [Iter   33000/  64000] trn/loss 2.248e+00, trn/negative_log_likelihood 2.248e+00, trn/w_norm 1.297e+02, trn/g_norm 8.615e-01, trn/lr 4.587e-01, trn/dyn_scale 6.554e+04, val/acc 4.990e-01, val/nll 2.156e+00, val/best_acc 4.990e-01 (best_acc: 4.838e-01 -> 4.990e-01)
[2023-06-09 18:08:40] [Iter   34000/  64000] trn/loss 2.226e+00, trn/negative_log_likelihood 2.226e+00, trn/w_norm 1.289e+02, trn/g_norm 8.723e-01, trn/lr 4.370e-01, trn/dyn_scale 6.554e+04, val/acc 5.126e-01, val/nll 2.092e+00, val/best_acc 5.126e-01 (best_acc: 4.990e-01 -> 5.126e-01)
[2023-06-09 18:13:35] [Iter   35000/  64000] trn/loss 2.206e+00, trn/negative_log_likelihood 2.206e+00, trn/w_norm 1.280e+02, trn/g_norm 8.843e-01, trn/lr 4.153e-01, trn/dyn_scale 6.554e+04, val/acc 5.200e-01, val/nll 2.047e+00, val/best_acc 5.200e-01 (best_acc: 5.126e-01 -> 5.200e-01)
[2023-06-09 18:18:39] [Iter   36000/  64000] trn/loss 2.182e+00, trn/negative_log_likelihood 2.182e+00, trn/w_norm 1.271e+02, trn/g_norm 8.976e-01, trn/lr 3.935e-01, trn/dyn_scale 6.554e+04, val/acc 5.107e-01, val/nll 2.097e+00, val/best_acc 5.200e-01
[2023-06-09 18:23:44] [Iter   37000/  64000] trn/loss 2.159e+00, trn/negative_log_likelihood 2.159e+00, trn/w_norm 1.261e+02, trn/g_norm 9.100e-01, trn/lr 3.717e-01, trn/dyn_scale 6.554e+04, val/acc 5.042e-01, val/nll 2.138e+00, val/best_acc 5.200e-01
[2023-06-09 18:28:46] [Iter   38000/  64000] trn/loss 2.133e+00, trn/negative_log_likelihood 2.133e+00, trn/w_norm 1.251e+02, trn/g_norm 9.244e-01, trn/lr 3.500e-01, trn/dyn_scale 6.554e+04, val/acc 5.422e-01, val/nll 1.950e+00, val/best_acc 5.422e-01 (best_acc: 5.200e-01 -> 5.422e-01)
[2023-06-09 18:33:52] [Iter   39000/  64000] trn/loss 2.108e+00, trn/negative_log_likelihood 2.108e+00, trn/w_norm 1.241e+02, trn/g_norm 9.394e-01, trn/lr 3.284e-01, trn/dyn_scale 6.554e+04, val/acc 5.321e-01, val/nll 2.001e+00, val/best_acc 5.422e-01
[2023-06-09 18:38:56] [Iter   40000/  64000] trn/loss 2.082e+00, trn/negative_log_likelihood 2.082e+00, trn/w_norm 1.230e+02, trn/g_norm 9.568e-01, trn/lr 3.071e-01, trn/dyn_scale 6.554e+04, val/acc 5.417e-01, val/nll 1.954e+00, val/best_acc 5.422e-01
[2023-06-09 18:43:53] [Iter   41000/  64000] trn/loss 2.055e+00, trn/negative_log_likelihood 2.055e+00, trn/w_norm 1.219e+02, trn/g_norm 9.752e-01, trn/lr 2.860e-01, trn/dyn_scale 6.554e+04, val/acc 5.558e-01, val/nll 1.881e+00, val/best_acc 5.558e-01 (best_acc: 5.422e-01 -> 5.558e-01)
[2023-06-09 18:48:53] [Iter   42000/  64000] trn/loss 2.029e+00, trn/negative_log_likelihood 2.029e+00, trn/w_norm 1.207e+02, trn/g_norm 9.932e-01, trn/lr 2.653e-01, trn/dyn_scale 6.554e+04, val/acc 5.584e-01, val/nll 1.863e+00, val/best_acc 5.584e-01 (best_acc: 5.558e-01 -> 5.584e-01)
[2023-06-09 18:53:55] [Iter   43000/  64000] trn/loss 1.998e+00, trn/negative_log_likelihood 1.998e+00, trn/w_norm 1.195e+02, trn/g_norm 1.013e+00, trn/lr 2.449e-01, trn/dyn_scale 6.554e+04, val/acc 5.481e-01, val/nll 1.915e+00, val/best_acc 5.584e-01
