[2023-06-01 02:42:51] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-06-01 02:42:51] Command line arguments:
- args.data_root             : /mnt/local/datasets/manual/
- args.data_name             : imagenet2012
- args.resnet_depth          : 152
- args.resnet_width          : 1
- args.batch_size            : 1024
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 128000
- args.optim_lr              : 0.4
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.0001
- args.optim_global_clipping : None
- args.save                  : ./save/imagenet2012/resnet_152x1-batch_1024-iter_128k-lr_0.4-wd_0.0001-fp16/42/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-06-01 11:02:45] [Iter   57000/ 128000] trn/loss 1.872e+00, trn/negative_log_likelihood 1.872e+00, trn/w_norm 1.529e+02, trn/g_norm 1.273e+00, trn/lr 2.740e-01, trn/dyn_scale 6.554e+04, val/acc 5.770e-01, val/nll 1.759e+00, val/best_acc 5.805e-01
[2023-06-01 11:11:55] [Iter   58000/ 128000] trn/loss 1.862e+00, trn/negative_log_likelihood 1.862e+00, trn/w_norm 1.524e+02, trn/g_norm 1.278e+00, trn/lr 2.689e-01, trn/dyn_scale 6.554e+04, val/acc 5.912e-01, val/nll 1.691e+00, val/best_acc 5.912e-01 (best_acc: 5.805e-01 -> 5.912e-01)
[2023-06-01 11:20:57] [Iter   59000/ 128000] trn/loss 1.858e+00, trn/negative_log_likelihood 1.858e+00, trn/w_norm 1.520e+02, trn/g_norm 1.290e+00, trn/lr 2.638e-01, trn/dyn_scale 6.554e+04, val/acc 5.989e-01, val/nll 1.660e+00, val/best_acc 5.989e-01 (best_acc: 5.912e-01 -> 5.989e-01)
[2023-06-01 11:29:56] [Iter   60000/ 128000] trn/loss 1.847e+00, trn/negative_log_likelihood 1.847e+00, trn/w_norm 1.516e+02, trn/g_norm 1.296e+00, trn/lr 2.586e-01, trn/dyn_scale 6.554e+04, val/acc 5.802e-01, val/nll 1.759e+00, val/best_acc 5.989e-01
[2023-06-01 11:39:10] [Iter   61000/ 128000] trn/loss 1.831e+00, trn/negative_log_likelihood 1.831e+00, trn/w_norm 1.512e+02, trn/g_norm 1.307e+00, trn/lr 2.533e-01, trn/dyn_scale 6.554e+04, val/acc 6.060e-01, val/nll 1.613e+00, val/best_acc 6.060e-01 (best_acc: 5.989e-01 -> 6.060e-01)
[2023-06-01 11:48:09] [Iter   62000/ 128000] trn/loss 1.823e+00, trn/negative_log_likelihood 1.823e+00, trn/w_norm 1.508e+02, trn/g_norm 1.313e+00, trn/lr 2.481e-01, trn/dyn_scale 6.554e+04, val/acc 5.938e-01, val/nll 1.683e+00, val/best_acc 6.060e-01
[2023-06-01 11:57:16] [Iter   63000/ 128000] trn/loss 1.808e+00, trn/negative_log_likelihood 1.808e+00, trn/w_norm 1.504e+02, trn/g_norm 1.321e+00, trn/lr 2.428e-01, trn/dyn_scale 6.554e+04, val/acc 5.756e-01, val/nll 1.786e+00, val/best_acc 6.060e-01
[2023-06-01 12:06:08] [Iter   64000/ 128000] trn/loss 1.806e+00, trn/negative_log_likelihood 1.806e+00, trn/w_norm 1.499e+02, trn/g_norm 1.331e+00, trn/lr 2.374e-01, trn/dyn_scale 6.554e+04, val/acc 6.162e-01, val/nll 1.577e+00, val/best_acc 6.162e-01 (best_acc: 6.060e-01 -> 6.162e-01)
[2023-06-01 12:15:02] [Iter   65000/ 128000] trn/loss 1.798e+00, trn/negative_log_likelihood 1.798e+00, trn/w_norm 1.494e+02, trn/g_norm 1.341e+00, trn/lr 2.320e-01, trn/dyn_scale 6.554e+04, val/acc 6.031e-01, val/nll 1.633e+00, val/best_acc 6.162e-01
[2023-06-01 12:23:57] [Iter   66000/ 128000] trn/loss 1.776e+00, trn/negative_log_likelihood 1.776e+00, trn/w_norm 1.490e+02, trn/g_norm 1.350e+00, trn/lr 2.266e-01, trn/dyn_scale 6.554e+04, val/acc 5.723e-01, val/nll 1.795e+00, val/best_acc 6.162e-01
[2023-06-01 12:32:50] [Iter   67000/ 128000] trn/loss 1.767e+00, trn/negative_log_likelihood 1.767e+00, trn/w_norm 1.485e+02, trn/g_norm 1.360e+00, trn/lr 2.212e-01, trn/dyn_scale 6.554e+04, val/acc 6.191e-01, val/nll 1.565e+00, val/best_acc 6.191e-01 (best_acc: 6.162e-01 -> 6.191e-01)
[2023-06-01 12:41:32] [Iter   68000/ 128000] trn/loss 1.756e+00, trn/negative_log_likelihood 1.756e+00, trn/w_norm 1.480e+02, trn/g_norm 1.371e+00, trn/lr 2.158e-01, trn/dyn_scale 6.554e+04, val/acc 6.129e-01, val/nll 1.589e+00, val/best_acc 6.191e-01
[2023-06-01 12:50:32] [Iter   69000/ 128000] trn/loss 1.746e+00, trn/negative_log_likelihood 1.746e+00, trn/w_norm 1.475e+02, trn/g_norm 1.381e+00, trn/lr 2.104e-01, trn/dyn_scale 6.554e+04, val/acc 6.033e-01, val/nll 1.650e+00, val/best_acc 6.191e-01
[2023-06-01 12:59:35] [Iter   70000/ 128000] trn/loss 1.735e+00, trn/negative_log_likelihood 1.735e+00, trn/w_norm 1.470e+02, trn/g_norm 1.393e+00, trn/lr 2.049e-01, trn/dyn_scale 6.554e+04, val/acc 6.265e-01, val/nll 1.534e+00, val/best_acc 6.265e-01 (best_acc: 6.191e-01 -> 6.265e-01)
