[2023-02-16 09:29:41] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 09:29:41] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.7
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.03
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.700_b2-0.999_wd-0.0010_eps-1e-1_rho-0.0300_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 09:29:47] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 09:36:09] [Epoch    39/  200] trn/loss 2.301e+00, trn/lr 2.734e+00, trn/scale 1.029e-01, val/acc 1.007e-01, val/nll 2.310e+00
[2023-02-16 09:36:17] [Epoch    40/  200] trn/loss 4.624e+00, trn/lr 2.720e+00, trn/scale 1.026e-01, val/acc 9.945e-02, val/nll 2.315e+00
[2023-02-16 09:36:25] [Epoch    41/  200] trn/loss 2.305e+00, trn/lr 2.707e+00, trn/scale 1.024e-01, val/acc 1.007e-01, val/nll 2.314e+00
[2023-02-16 09:36:34] [Epoch    42/  200] trn/loss 7.492e+00, trn/lr 2.692e+00, trn/scale 1.022e-01, val/acc 1.007e-01, val/nll 2.401e+00
[2023-02-16 09:36:42] [Epoch    43/  200] trn/loss 2.238e+00, trn/lr 2.678e+00, trn/scale 1.020e-01, val/acc 9.978e-02, val/nll 2.453e+00
[2023-02-16 09:36:50] [Epoch    44/  200] trn/loss 2.289e+00, trn/lr 2.663e+00, trn/scale 1.019e-01, val/acc 1.174e-01, val/nll 2.385e+00
[2023-02-16 09:36:58] [Epoch    45/  200] trn/loss 5.741e+00, trn/lr 2.648e+00, trn/scale 1.017e-01, val/acc 9.281e-02, val/nll 2.334e+00
[2023-02-16 09:37:06] [Epoch    46/  200] trn/loss 2.301e+00, trn/lr 2.633e+00, trn/scale 1.016e-01, val/acc 1.007e-01, val/nll 2.341e+00
[2023-02-16 09:37:14] [Epoch    47/  200] trn/loss 2.335e+00, trn/lr 2.617e+00, trn/scale 1.015e-01, val/acc 1.061e-01, val/nll 1.064e+02
[2023-02-16 09:37:23] [Epoch    48/  200] trn/loss 2.448e+00, trn/lr 2.602e+00, trn/scale 1.015e-01, val/acc 9.978e-02, val/nll 2.316e+00
[2023-02-16 09:37:31] [Epoch    49/  200] trn/loss 2.385e+00, trn/lr 2.585e+00, trn/scale 1.014e-01, val/acc 9.823e-02, val/nll 2.313e+00
[2023-02-16 09:37:39] [Epoch    50/  200] trn/loss 2.468e+00, trn/lr 2.569e+00, trn/scale 1.013e-01, val/acc 9.856e-02, val/nll 2.414e+00
[2023-02-16 09:37:47] [Epoch    51/  200] trn/loss 2.309e+00, trn/lr 2.552e+00, trn/scale 1.013e-01, val/acc 1.044e-01, val/nll 1.380e+01
[2023-02-16 09:37:55] [Epoch    52/  200] trn/loss 2.325e+00, trn/lr 2.535e+00, trn/scale 1.013e-01, val/acc 1.044e-01, val/nll 2.305e+00
[2023-02-16 09:38:04] [Epoch    53/  200] trn/loss 2.328e+00, trn/lr 2.518e+00, trn/scale 1.012e-01, val/acc 9.889e-02, val/nll 2.394e+00
[2023-02-16 09:38:12] [Epoch    54/  200] trn/loss 2.261e+00, trn/lr 2.501e+00, trn/scale 1.012e-01, val/acc 9.978e-02, val/nll 2.315e+00
[2023-02-16 09:38:20] [Epoch    55/  200] trn/loss 2.305e+00, trn/lr 2.483e+00, trn/scale 1.012e-01, val/acc 9.978e-02, val/nll 1.584e+01
[2023-02-16 09:38:28] [Epoch    56/  200] trn/loss 2.280e+00, trn/lr 2.465e+00, trn/scale 1.011e-01, val/acc 1.033e-01, val/nll 9.135e+00
[2023-02-16 09:38:36] [Epoch    57/  200] trn/loss 2.910e+00, trn/lr 2.447e+00, trn/scale 1.011e-01, val/acc 9.281e-02, val/nll 2.410e+00
[2023-02-16 09:38:44] [Epoch    58/  200] trn/loss 2.290e+00, trn/lr 2.429e+00, trn/scale 1.011e-01, val/acc 1.230e-01, val/nll 2.227e+00
[2023-02-16 09:38:52] [Epoch    59/  200] trn/loss 2.714e+00, trn/lr 2.410e+00, trn/scale 1.011e-01, val/acc 1.007e-01, val/nll 2.521e+00
[2023-02-16 09:39:01] [Epoch    60/  200] trn/loss 2.395e+00, trn/lr 2.391e+00, trn/scale 1.011e-01, val/acc 1.077e-01, val/nll 6.062e+01
[2023-02-16 09:39:09] [Epoch    61/  200] trn/loss 2.312e+00, trn/lr 2.372e+00, trn/scale 1.011e-01, val/acc 9.270e-02, val/nll 2.588e+00
[2023-02-16 09:39:17] [Epoch    62/  200] trn/loss 3.055e+00, trn/lr 2.353e+00, trn/scale 1.011e-01, val/acc 9.978e-02, val/nll 2.401e+00
[2023-02-16 09:39:25] [Epoch    63/  200] trn/loss 2.350e+00, trn/lr 2.333e+00, trn/scale 1.011e-01, val/acc 1.081e-01, val/nll 4.393e+00
[2023-02-16 09:39:33] [Epoch    64/  200] trn/loss 2.279e+00, trn/lr 2.314e+00, trn/scale 1.011e-01, val/acc 1.493e-01, val/nll 2.325e+00
[2023-02-16 09:39:41] [Epoch    65/  200] trn/loss 2.283e+00, trn/lr 2.294e+00, trn/scale 1.010e-01, val/acc 9.281e-02, val/nll 2.413e+00
[2023-02-16 09:39:50] [Epoch    66/  200] trn/loss 2.346e+00, trn/lr 2.274e+00, trn/scale 1.010e-01, val/acc 1.044e-01, val/nll 2.307e+00
[2023-02-16 09:39:58] [Epoch    67/  200] trn/loss 2.312e+00, trn/lr 2.253e+00, trn/scale 1.010e-01, val/acc 9.281e-02, val/nll 2.315e+00
[2023-02-16 09:40:06] [Epoch    68/  200] trn/loss 2.350e+00, trn/lr 2.233e+00, trn/scale 1.010e-01, val/acc 9.978e-02, val/nll 2.315e+00
[2023-02-16 09:40:14] [Epoch    69/  200] trn/loss 2.356e+00, trn/lr 2.212e+00, trn/scale 1.010e-01, val/acc 1.412e-01, val/nll 2.319e+00
[2023-02-16 09:40:22] [Epoch    70/  200] trn/loss 2.327e+00, trn/lr 2.192e+00, trn/scale 1.010e-01, val/acc 1.399e-01, val/nll 2.229e+00
[2023-02-16 09:40:30] [Epoch    71/  200] trn/loss 2.675e+00, trn/lr 2.171e+00, trn/scale 1.010e-01, val/acc 9.823e-02, val/nll 2.315e+00
