[2023-02-03 21:30:25] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-03 21:30:25] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR100_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.97
- args.prior_precision   : 40.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR100_x32/R20-FRN-Swish/bs-0080_ne-0500_lr-0.0000030_mo-0.97_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-03 21:33:33] [Epoch    44/  500] trn/posterior_energy  4.377e+05, trn/neg_log_likelihood  1.694e+05, trn/neg_log_prior  2.683e+05, trn/lr  2.944e-06, val/acc 4.513e-02, val/nll 4.141e+00
[2023-02-03 21:33:37] [Epoch    45/  500] trn/posterior_energy  4.389e+05, trn/neg_log_likelihood  1.706e+05, trn/neg_log_prior  2.683e+05, trn/lr  2.942e-06, val/acc 5.741e-02, val/nll 4.129e+00
[2023-02-03 21:33:41] [Epoch    46/  500] trn/posterior_energy  4.385e+05, trn/neg_log_likelihood  1.703e+05, trn/neg_log_prior  2.681e+05, trn/lr  2.939e-06, val/acc 5.719e-02, val/nll 4.163e+00
[2023-02-03 21:33:45] [Epoch    47/  500] trn/posterior_energy  4.396e+05, trn/neg_log_likelihood  1.710e+05, trn/neg_log_prior  2.686e+05, trn/lr  2.936e-06, val/acc 5.752e-02, val/nll 4.159e+00
[2023-02-03 21:33:49] [Epoch    48/  500] trn/posterior_energy  4.386e+05, trn/neg_log_likelihood  1.703e+05, trn/neg_log_prior  2.683e+05, trn/lr  2.934e-06, val/acc 6.294e-02, val/nll 4.109e+00 (best_acc: 5.896e-02 -> 6.294e-02, test_acc: 6.710e-02, test_nll: 4.100e+00)
[2023-02-03 21:33:53] [Epoch    49/  500] trn/posterior_energy  4.395e+05, trn/neg_log_likelihood  1.709e+05, trn/neg_log_prior  2.686e+05, trn/lr  2.931e-06, val/acc 5.199e-02, val/nll 4.165e+00
[2023-02-03 21:33:57] [Epoch    50/  500] trn/posterior_energy  4.391e+05, trn/neg_log_likelihood  1.704e+05, trn/neg_log_prior  2.687e+05, trn/lr  2.928e-06, val/acc 5.232e-02, val/nll 4.169e+00
[2023-02-03 21:34:00] [Epoch    51/  500] trn/posterior_energy  4.387e+05, trn/neg_log_likelihood  1.703e+05, trn/neg_log_prior  2.684e+05, trn/lr  2.925e-06, val/acc 5.874e-02, val/nll 4.172e+00
[2023-02-03 21:34:04] [Epoch    52/  500] trn/posterior_energy  4.385e+05, trn/neg_log_likelihood  1.699e+05, trn/neg_log_prior  2.686e+05, trn/lr  2.922e-06, val/acc 5.498e-02, val/nll 4.136e+00
[2023-02-03 21:34:08] [Epoch    53/  500] trn/posterior_energy  4.386e+05, trn/neg_log_likelihood  1.703e+05, trn/neg_log_prior  2.682e+05, trn/lr  2.919e-06, val/acc 5.741e-02, val/nll 4.128e+00
