[2023-02-06 15:40:30] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-06 15:40:30] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 100
- args.prior_precision   : 40.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0100_lr-0.0000030_mo-0.99_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 15:43:31] [Cycle   1/ 30][Epoch  28/100] trn/posterior_energy  4.844e+05, trn/neg_log_likelihood  8.386e+04, trn/neg_log_prior  4.006e+05, trn/lr  2.474e-06, trn/temperature  1.000e+00, val/acc 2.591e-01, val/nll 2.018e+00
[2023-02-06 15:43:36] [Cycle   1/ 30][Epoch  29/100] trn/posterior_energy  4.893e+05, trn/neg_log_likelihood  8.525e+04, trn/neg_log_prior  4.041e+05, trn/lr  2.438e-06, trn/temperature  1.000e+00, val/acc 2.288e-01, val/nll 2.028e+00
[2023-02-06 15:43:42] [Cycle   1/ 30][Epoch  30/100] trn/posterior_energy  4.904e+05, trn/neg_log_likelihood  8.532e+04, trn/neg_log_prior  4.051e+05, trn/lr  2.401e-06, trn/temperature  1.000e+00, val/acc 1.941e-01, val/nll 2.173e+00
[2023-02-06 15:43:47] [Cycle   1/ 30][Epoch  31/100] trn/posterior_energy  4.853e+05, trn/neg_log_likelihood  8.501e+04, trn/neg_log_prior  4.003e+05, trn/lr  2.363e-06, trn/temperature  1.000e+00, val/acc 1.998e-01, val/nll 2.096e+00
[2023-02-06 15:43:52] [Cycle   1/ 30][Epoch  32/100] trn/posterior_energy  4.832e+05, trn/neg_log_likelihood  8.431e+04, trn/neg_log_prior  3.989e+05, trn/lr  2.324e-06, trn/temperature  1.000e+00, val/acc 1.998e-01, val/nll 2.082e+00
[2023-02-06 15:43:57] [Cycle   1/ 30][Epoch  33/100] trn/posterior_energy  4.857e+05, trn/neg_log_likelihood  8.535e+04, trn/neg_log_prior  4.003e+05, trn/lr  2.284e-06, trn/temperature  1.000e+00, val/acc 2.146e-01, val/nll 2.028e+00
[2023-02-06 15:44:03] [Cycle   1/ 30][Epoch  34/100] trn/posterior_energy  4.848e+05, trn/neg_log_likelihood  8.460e+04, trn/neg_log_prior  4.002e+05, trn/lr  2.243e-06, trn/temperature  1.000e+00, val/acc 2.133e-01, val/nll 2.002e+00
[2023-02-06 15:44:08] [Cycle   1/ 30][Epoch  35/100] trn/posterior_energy  4.834e+05, trn/neg_log_likelihood  8.430e+04, trn/neg_log_prior  3.991e+05, trn/lr  2.202e-06, trn/temperature  1.000e+00, val/acc 2.110e-01, val/nll 2.109e+00
[2023-02-06 15:44:13] [Cycle   1/ 30][Epoch  36/100] trn/posterior_energy  4.846e+05, trn/neg_log_likelihood  8.450e+04, trn/neg_log_prior  4.001e+05, trn/lr  2.160e-06, trn/temperature  1.000e+00, val/acc 2.388e-01, val/nll 2.027e+00
[2023-02-06 15:44:18] [Cycle   1/ 30][Epoch  37/100] trn/posterior_energy  4.815e+05, trn/neg_log_likelihood  8.302e+04, trn/neg_log_prior  3.985e+05, trn/lr  2.117e-06, trn/temperature  1.000e+00, val/acc 2.243e-01, val/nll 2.046e+00
[2023-02-06 15:44:24] [Cycle   1/ 30][Epoch  38/100] trn/posterior_energy  4.822e+05, trn/neg_log_likelihood  8.401e+04, trn/neg_log_prior  3.982e+05, trn/lr  2.074e-06, trn/temperature  1.000e+00, val/acc 2.576e-01, val/nll 2.009e+00
[2023-02-06 15:44:29] [Cycle   1/ 30][Epoch  39/100] trn/posterior_energy  4.833e+05, trn/neg_log_likelihood  8.382e+04, trn/neg_log_prior  3.995e+05, trn/lr  2.030e-06, trn/temperature  1.000e+00, val/acc 2.742e-01, val/nll 1.964e+00
[2023-02-06 15:44:34] [Cycle   1/ 30][Epoch  40/100] trn/posterior_energy  4.812e+05, trn/neg_log_likelihood  8.378e+04, trn/neg_log_prior  3.974e+05, trn/lr  1.986e-06, trn/temperature  1.000e+00, val/acc 2.371e-01, val/nll 1.998e+00
[2023-02-06 15:44:39] [Cycle   1/ 30][Epoch  41/100] trn/posterior_energy  4.812e+05, trn/neg_log_likelihood  8.325e+04, trn/neg_log_prior  3.980e+05, trn/lr  1.941e-06, trn/temperature  1.000e+00, val/acc 2.379e-01, val/nll 2.006e+00
[2023-02-06 15:44:45] [Cycle   1/ 30][Epoch  42/100] trn/posterior_energy  4.826e+05, trn/neg_log_likelihood  8.326e+04, trn/neg_log_prior  3.993e+05, trn/lr  1.896e-06, trn/temperature  1.000e+00, val/acc 2.405e-01, val/nll 1.973e+00
[2023-02-06 15:44:50] [Cycle   1/ 30][Epoch  43/100] trn/posterior_energy  4.816e+05, trn/neg_log_likelihood  8.273e+04, trn/neg_log_prior  3.989e+05, trn/lr  1.850e-06, trn/temperature  1.000e+00, val/acc 2.347e-01, val/nll 1.995e+00
