[2023-02-16 17:12:51] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 17:12:51] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.03
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.900_b2-0.999_wd-0.0010_eps-1e-1_rho-0.0300_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 17:12:57] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 17:20:46] [Epoch    49/  200] trn/loss 2.197e+00, trn/lr 2.585e+00, trn/scale 1.014e-01, val/acc 9.978e-02, val/nll 2.623e+00
[2023-02-16 17:20:54] [Epoch    50/  200] trn/loss 2.221e+00, trn/lr 2.569e+00, trn/scale 1.013e-01, val/acc 1.310e-01, val/nll 2.277e+00
[2023-02-16 17:21:02] [Epoch    51/  200] trn/loss 2.203e+00, trn/lr 2.552e+00, trn/scale 1.013e-01, val/acc 1.164e-01, val/nll 2.500e+00
[2023-02-16 17:21:11] [Epoch    52/  200] trn/loss 2.174e+00, trn/lr 2.535e+00, trn/scale 1.013e-01, val/acc 1.014e-01, val/nll 2.384e+00
[2023-02-16 17:21:19] [Epoch    53/  200] trn/loss 2.134e+00, trn/lr 2.518e+00, trn/scale 1.012e-01, val/acc 1.001e-01, val/nll 2.510e+00
[2023-02-16 17:21:27] [Epoch    54/  200] trn/loss 2.160e+00, trn/lr 2.501e+00, trn/scale 1.012e-01, val/acc 9.978e-02, val/nll 2.555e+00
[2023-02-16 17:21:35] [Epoch    55/  200] trn/loss 2.102e+00, trn/lr 2.483e+00, trn/scale 1.012e-01, val/acc 1.158e-01, val/nll 2.347e+00
[2023-02-16 17:21:43] [Epoch    56/  200] trn/loss 2.090e+00, trn/lr 2.465e+00, trn/scale 1.011e-01, val/acc 1.837e-01, val/nll 2.123e+00
[2023-02-16 17:21:52] [Epoch    57/  200] trn/loss 2.104e+00, trn/lr 2.447e+00, trn/scale 1.011e-01, val/acc 9.978e-02, val/nll 2.560e+00
[2023-02-16 17:22:00] [Epoch    58/  200] trn/loss 2.152e+00, trn/lr 2.429e+00, trn/scale 1.011e-01, val/acc 1.049e-01, val/nll 2.984e+00
[2023-02-16 17:22:08] [Epoch    59/  200] trn/loss 2.190e+00, trn/lr 2.410e+00, trn/scale 1.011e-01, val/acc 1.003e-01, val/nll 2.447e+00
[2023-02-16 17:22:16] [Epoch    60/  200] trn/loss 2.098e+00, trn/lr 2.391e+00, trn/scale 1.011e-01, val/acc 1.400e-01, val/nll 2.229e+00
[2023-02-16 17:22:24] [Epoch    61/  200] trn/loss 2.061e+00, trn/lr 2.372e+00, trn/scale 1.011e-01, val/acc 9.978e-02, val/nll 2.634e+00
[2023-02-16 17:22:33] [Epoch    62/  200] trn/loss 2.070e+00, trn/lr 2.353e+00, trn/scale 1.011e-01, val/acc 1.400e-01, val/nll 2.389e+00
[2023-02-16 17:22:41] [Epoch    63/  200] trn/loss 2.058e+00, trn/lr 2.333e+00, trn/scale 1.011e-01, val/acc 1.991e-01, val/nll 2.040e+00
[2023-02-16 17:22:49] [Epoch    64/  200] trn/loss 2.044e+00, trn/lr 2.314e+00, trn/scale 1.010e-01, val/acc 1.457e-01, val/nll 2.296e+00
[2023-02-16 17:22:57] [Epoch    65/  200] trn/loss 2.226e+00, trn/lr 2.294e+00, trn/scale 1.010e-01, val/acc 1.018e-01, val/nll 2.354e+00
[2023-02-16 17:23:05] [Epoch    66/  200] trn/loss 2.164e+00, trn/lr 2.274e+00, trn/scale 1.010e-01, val/acc 1.799e-01, val/nll 2.107e+00
[2023-02-16 17:23:14] [Epoch    67/  200] trn/loss 2.117e+00, trn/lr 2.253e+00, trn/scale 1.010e-01, val/acc 1.183e-01, val/nll 2.353e+00
[2023-02-16 17:23:22] [Epoch    68/  200] trn/loss 2.062e+00, trn/lr 2.233e+00, trn/scale 1.010e-01, val/acc 1.065e-01, val/nll 4.726e+00
[2023-02-16 17:23:30] [Epoch    69/  200] trn/loss 2.059e+00, trn/lr 2.212e+00, trn/scale 1.010e-01, val/acc 1.274e-01, val/nll 3.179e+00
[2023-02-16 17:23:38] [Epoch    70/  200] trn/loss 2.131e+00, trn/lr 2.192e+00, trn/scale 1.010e-01, val/acc 1.506e-01, val/nll 2.215e+00
[2023-02-16 17:23:47] [Epoch    71/  200] trn/loss 2.210e+00, trn/lr 2.171e+00, trn/scale 1.010e-01, val/acc 9.978e-02, val/nll 2.375e+00
[2023-02-16 17:23:55] [Epoch    72/  200] trn/loss 2.122e+00, trn/lr 2.149e+00, trn/scale 1.010e-01, val/acc 1.007e-01, val/nll 2.617e+00
[2023-02-16 17:24:03] [Epoch    73/  200] trn/loss 2.047e+00, trn/lr 2.128e+00, trn/scale 1.010e-01, val/acc 1.039e-01, val/nll 2.548e+00
[2023-02-16 17:24:11] [Epoch    74/  200] trn/loss 2.099e+00, trn/lr 2.107e+00, trn/scale 1.010e-01, val/acc 9.978e-02, val/nll 2.637e+00
[2023-02-16 17:24:19] [Epoch    75/  200] trn/loss 2.072e+00, trn/lr 2.085e+00, trn/scale 1.010e-01, val/acc 1.531e-01, val/nll 2.513e+00
[2023-02-16 17:24:27] [Epoch    76/  200] trn/loss 2.133e+00, trn/lr 2.063e+00, trn/scale 1.010e-01, val/acc 1.348e-01, val/nll 2.222e+00
[2023-02-16 17:24:36] [Epoch    77/  200] trn/loss 2.123e+00, trn/lr 2.041e+00, trn/scale 1.010e-01, val/acc 1.725e-01, val/nll 2.113e+00
[2023-02-16 17:24:44] [Epoch    78/  200] trn/loss 2.108e+00, trn/lr 2.019e+00, trn/scale 1.010e-01, val/acc 1.760e-01, val/nll 2.129e+00
[2023-02-16 17:24:52] [Epoch    79/  200] trn/loss 2.095e+00, trn/lr 1.997e+00, trn/scale 1.010e-01, val/acc 5.841e-02, val/nll 2.537e+00
[2023-02-16 17:25:00] [Epoch    80/  200] trn/loss 2.077e+00, trn/lr 1.975e+00, trn/scale 1.010e-01, val/acc 1.676e-01, val/nll 4.636e+00
[2023-02-16 17:25:09] [Epoch    81/  200] trn/loss 2.101e+00, trn/lr 1.952e+00, trn/scale 1.010e-01, val/acc 9.978e-02, val/nll 2.598e+00
[2023-02-16 17:25:17] [Epoch    82/  200] trn/loss 2.099e+00, trn/lr 1.930e+00, trn/scale 1.010e-01, val/acc 1.300e-01, val/nll 2.250e+00
[2023-02-16 17:25:25] [Epoch    83/  200] trn/loss 2.088e+00, trn/lr 1.907e+00, trn/scale 1.010e-01, val/acc 1.570e-01, val/nll 1.024e+01
[2023-02-16 17:25:33] [Epoch    84/  200] trn/loss 2.122e+00, trn/lr 1.885e+00, trn/scale 1.010e-01, val/acc 1.044e-01, val/nll 5.321e+00
[2023-02-16 17:25:41] [Epoch    85/  200] trn/loss 2.094e+00, trn/lr 1.862e+00, trn/scale 1.010e-01, val/acc 1.304e-01, val/nll 2.380e+00
[2023-02-16 17:25:50] [Epoch    86/  200] trn/loss 2.079e+00, trn/lr 1.839e+00, trn/scale 1.010e-01, val/acc 1.832e-01, val/nll 2.944e+00
[2023-02-16 17:25:58] [Epoch    87/  200] trn/loss 2.074e+00, trn/lr 1.816e+00, trn/scale 1.010e-01, val/acc 1.790e-01, val/nll 3.508e+00
[2023-02-16 17:26:06] [Epoch    88/  200] trn/loss 2.082e+00, trn/lr 1.793e+00, trn/scale 1.010e-01, val/acc 1.574e-01, val/nll 4.672e+00
[2023-02-16 17:26:14] [Epoch    89/  200] trn/loss 2.092e+00, trn/lr 1.770e+00, trn/scale 1.010e-01, val/acc 1.873e-01, val/nll 2.152e+00
[2023-02-16 17:26:22] [Epoch    90/  200] trn/loss 2.080e+00, trn/lr 1.746e+00, trn/scale 1.010e-01, val/acc 2.189e-01, val/nll 2.092e+00
[2023-02-16 17:26:31] [Epoch    91/  200] trn/loss 2.077e+00, trn/lr 1.723e+00, trn/scale 1.010e-01, val/acc 1.378e-01, val/nll 2.263e+00
[2023-02-16 17:26:39] [Epoch    92/  200] trn/loss 2.075e+00, trn/lr 1.700e+00, trn/scale 1.010e-01, val/acc 1.243e-01, val/nll 2.374e+00
[2023-02-16 17:26:47] [Epoch    93/  200] trn/loss 2.072e+00, trn/lr 1.676e+00, trn/scale 1.010e-01, val/acc 1.955e-01, val/nll 2.143e+00
