[2023-02-10 23:12:37] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-10 23:12:37] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 1.0
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.003
- args.rho                : 0.01
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-1.00_b1-0.900_b2-0.999_wd-0.0030_eps-1e-1_rho-0.0100_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-10 23:12:51] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-10 23:19:18] [Epoch    39/  200] trn/loss 1.977e+00, trn/lr 9.113e-01, trn/scale 1.050e-01, val/acc 9.281e-02, val/nll 9.767e+00
[2023-02-10 23:19:27] [Epoch    40/  200] trn/loss 1.917e+00, trn/lr 9.068e-01, trn/scale 1.047e-01, val/acc 1.102e-01, val/nll 2.873e+00
[2023-02-10 23:19:35] [Epoch    41/  200] trn/loss 1.950e+00, trn/lr 9.022e-01, trn/scale 1.044e-01, val/acc 9.834e-02, val/nll 2.347e+00
[2023-02-10 23:19:43] [Epoch    42/  200] trn/loss 1.983e+00, trn/lr 8.975e-01, trn/scale 1.042e-01, val/acc 1.020e-01, val/nll 4.329e+00
[2023-02-10 23:19:51] [Epoch    43/  200] trn/loss 2.070e+00, trn/lr 8.927e-01, trn/scale 1.040e-01, val/acc 1.059e-01, val/nll 4.384e+00
[2023-02-10 23:19:59] [Epoch    44/  200] trn/loss 2.044e+00, trn/lr 8.878e-01, trn/scale 1.039e-01, val/acc 9.978e-02, val/nll 1.011e+01
[2023-02-10 23:20:07] [Epoch    45/  200] trn/loss 2.020e+00, trn/lr 8.828e-01, trn/scale 1.038e-01, val/acc 9.989e-02, val/nll 3.031e+00
[2023-02-10 23:20:16] [Epoch    46/  200] trn/loss 2.061e+00, trn/lr 8.777e-01, trn/scale 1.037e-01, val/acc 9.281e-02, val/nll 2.661e+00
[2023-02-10 23:20:24] [Epoch    47/  200] trn/loss 2.128e+00, trn/lr 8.725e-01, trn/scale 1.036e-01, val/acc 1.044e-01, val/nll 5.370e+00
[2023-02-10 23:20:32] [Epoch    48/  200] trn/loss 2.067e+00, trn/lr 8.672e-01, trn/scale 1.035e-01, val/acc 1.532e-01, val/nll 2.208e+00
[2023-02-10 23:20:40] [Epoch    49/  200] trn/loss 2.034e+00, trn/lr 8.618e-01, trn/scale 1.034e-01, val/acc 9.978e-02, val/nll 2.627e+00
[2023-02-10 23:20:48] [Epoch    50/  200] trn/loss 2.067e+00, trn/lr 8.563e-01, trn/scale 1.034e-01, val/acc 1.009e-01, val/nll 2.599e+00
[2023-02-10 23:20:56] [Epoch    51/  200] trn/loss 2.084e+00, trn/lr 8.508e-01, trn/scale 1.033e-01, val/acc 1.166e-01, val/nll 4.540e+00
[2023-02-10 23:21:05] [Epoch    52/  200] trn/loss 2.124e+00, trn/lr 8.451e-01, trn/scale 1.033e-01, val/acc 9.978e-02, val/nll 2.555e+00
[2023-02-10 23:21:13] [Epoch    53/  200] trn/loss 2.077e+00, trn/lr 8.394e-01, trn/scale 1.032e-01, val/acc 1.691e-01, val/nll 2.199e+00
[2023-02-10 23:21:21] [Epoch    54/  200] trn/loss 2.080e+00, trn/lr 8.336e-01, trn/scale 1.032e-01, val/acc 1.152e-01, val/nll 2.581e+00
[2023-02-10 23:21:29] [Epoch    55/  200] trn/loss 2.073e+00, trn/lr 8.277e-01, trn/scale 1.032e-01, val/acc 1.912e-01, val/nll 2.116e+00
[2023-02-10 23:21:37] [Epoch    56/  200] trn/loss 2.087e+00, trn/lr 8.217e-01, trn/scale 1.031e-01, val/acc 1.236e-01, val/nll 2.285e+00
[2023-02-10 23:21:46] [Epoch    57/  200] trn/loss 2.069e+00, trn/lr 8.157e-01, trn/scale 1.031e-01, val/acc 1.950e-01, val/nll 2.120e+00
[2023-02-10 23:21:54] [Epoch    58/  200] trn/loss 2.065e+00, trn/lr 8.096e-01, trn/scale 1.031e-01, val/acc 1.012e-01, val/nll 2.595e+00
[2023-02-10 23:22:02] [Epoch    59/  200] trn/loss 2.058e+00, trn/lr 8.034e-01, trn/scale 1.031e-01, val/acc 9.945e-02, val/nll 2.392e+00
[2023-02-10 23:22:10] [Epoch    60/  200] trn/loss 2.135e+00, trn/lr 7.971e-01, trn/scale 1.031e-01, val/acc 9.281e-02, val/nll 2.599e+00
[2023-02-10 23:22:18] [Epoch    61/  200] trn/loss 2.073e+00, trn/lr 7.907e-01, trn/scale 1.031e-01, val/acc 1.614e-01, val/nll 3.429e+00
[2023-02-10 23:22:27] [Epoch    62/  200] trn/loss 2.072e+00, trn/lr 7.843e-01, trn/scale 1.031e-01, val/acc 1.178e-01, val/nll 2.911e+00
