[2023-02-05 00:12:41] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 00:12:41] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.7
- args.prior_precision   : 20.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000010_mo-0.70_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 00:12:46] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 00:20:42] [Epoch    34/  500] trn/posterior_energy  2.519e+06, trn/neg_log_likelihood  3.075e+03, trn/neg_log_prior  2.516e+06, trn/lr  9.890e-07, val/acc 8.221e-01, val/nll 6.693e-01 (best_acc: 8.146e-01 -> 8.221e-01, test_acc: 8.145e-01, test_nll: 6.791e-01)
[2023-02-05 00:20:54] [Epoch    35/  500] trn/posterior_energy  2.519e+06, trn/neg_log_likelihood  3.274e+03, trn/neg_log_prior  2.515e+06, trn/lr  9.883e-07, val/acc 7.988e-01, val/nll 7.559e-01
[2023-02-05 00:21:08] [Epoch    36/  500] trn/posterior_energy  2.518e+06, trn/neg_log_likelihood  3.502e+03, trn/neg_log_prior  2.515e+06, trn/lr  9.876e-07, val/acc 8.270e-01, val/nll 6.563e-01 (best_acc: 8.221e-01 -> 8.270e-01, test_acc: 8.184e-01, test_nll: 6.780e-01)
[2023-02-05 00:21:20] [Epoch    37/  500] trn/posterior_energy  2.518e+06, trn/neg_log_likelihood  3.570e+03, trn/neg_log_prior  2.515e+06, trn/lr  9.869e-07, val/acc 8.178e-01, val/nll 6.547e-01
[2023-02-05 00:21:32] [Epoch    38/  500] trn/posterior_energy  2.518e+06, trn/neg_log_likelihood  3.440e+03, trn/neg_log_prior  2.514e+06, trn/lr  9.862e-07, val/acc 8.207e-01, val/nll 6.360e-01
[2023-02-05 00:21:45] [Epoch    39/  500] trn/posterior_energy  2.517e+06, trn/neg_log_likelihood  3.367e+03, trn/neg_log_prior  2.514e+06, trn/lr  9.854e-07, val/acc 8.305e-01, val/nll 6.320e-01 (best_acc: 8.270e-01 -> 8.305e-01, test_acc: 8.323e-01, test_nll: 6.424e-01)
[2023-02-05 00:21:57] [Epoch    40/  500] trn/posterior_energy  2.516e+06, trn/neg_log_likelihood  2.935e+03, trn/neg_log_prior  2.513e+06, trn/lr  9.847e-07, val/acc 8.228e-01, val/nll 6.646e-01
[2023-02-05 00:22:09] [Epoch    41/  500] trn/posterior_energy  2.517e+06, trn/neg_log_likelihood  3.602e+03, trn/neg_log_prior  2.513e+06, trn/lr  9.839e-07, val/acc 7.874e-01, val/nll 8.020e-01
[2023-02-05 00:22:21] [Epoch    42/  500] trn/posterior_energy  2.516e+06, trn/neg_log_likelihood  2.929e+03, trn/neg_log_prior  2.513e+06, trn/lr  9.831e-07, val/acc 7.777e-01, val/nll 8.463e-01
[2023-02-05 00:22:33] [Epoch    43/  500] trn/posterior_energy  2.516e+06, trn/neg_log_likelihood  3.224e+03, trn/neg_log_prior  2.512e+06, trn/lr  9.823e-07, val/acc 8.173e-01, val/nll 6.705e-01
[2023-02-05 00:22:45] [Epoch    44/  500] trn/posterior_energy  2.515e+06, trn/neg_log_likelihood  2.751e+03, trn/neg_log_prior  2.512e+06, trn/lr  9.814e-07, val/acc 8.257e-01, val/nll 6.752e-01
[2023-02-05 00:22:57] [Epoch    45/  500] trn/posterior_energy  2.515e+06, trn/neg_log_likelihood  3.055e+03, trn/neg_log_prior  2.512e+06, trn/lr  9.806e-07, val/acc 8.199e-01, val/nll 6.751e-01
