[2023-02-13 04:30:18] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-13 04:30:18] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 200
- args.num_epochs_noisy  : 0
- args.prior_precision   : 5.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0200-0000_lr-0.0000010_mo-0.99_pr-01/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-13 04:33:11] [Cycle   1/ 30][Epoch  46/200] trn/posterior_energy  9.990e+03, trn/neg_log_likelihood  2.258e+04, trn/neg_log_prior -1.259e+04, trn/lr  8.776e-07, trn/temperature  0.000e+00, val/acc 7.631e-01, val/nll 6.933e-01
[2023-02-13 04:33:14] [Cycle   1/ 30][Epoch  47/200] trn/posterior_energy  9.762e+03, trn/neg_log_likelihood  2.243e+04, trn/neg_log_prior -1.267e+04, trn/lr  8.724e-07, trn/temperature  0.000e+00, val/acc 7.347e-01, val/nll 7.395e-01
[2023-02-13 04:33:17] [Cycle   1/ 30][Epoch  48/200] trn/posterior_energy  9.567e+03, trn/neg_log_likelihood  2.206e+04, trn/neg_log_prior -1.249e+04, trn/lr  8.672e-07, trn/temperature  0.000e+00, val/acc 7.654e-01, val/nll 6.849e-01
[2023-02-13 04:33:20] [Cycle   1/ 30][Epoch  49/200] trn/posterior_energy  9.695e+03, trn/neg_log_likelihood  2.231e+04, trn/neg_log_prior -1.261e+04, trn/lr  8.618e-07, trn/temperature  0.000e+00, val/acc 7.470e-01, val/nll 7.450e-01
[2023-02-13 04:33:24] [Cycle   1/ 30][Epoch  50/200] trn/posterior_energy  9.348e+03, trn/neg_log_likelihood  2.182e+04, trn/neg_log_prior -1.247e+04, trn/lr  8.563e-07, trn/temperature  0.000e+00, val/acc 7.772e-01, val/nll 6.433e-01
[2023-02-13 04:33:27] [Cycle   1/ 30][Epoch  51/200] trn/posterior_energy  9.714e+03, trn/neg_log_likelihood  2.221e+04, trn/neg_log_prior -1.249e+04, trn/lr  8.508e-07, trn/temperature  0.000e+00, val/acc 7.591e-01, val/nll 7.030e-01
[2023-02-13 04:33:30] [Cycle   1/ 30][Epoch  52/200] trn/posterior_energy  8.875e+03, trn/neg_log_likelihood  2.114e+04, trn/neg_log_prior -1.227e+04, trn/lr  8.451e-07, trn/temperature  0.000e+00, val/acc 7.759e-01, val/nll 6.612e-01
[2023-02-13 04:33:33] [Cycle   1/ 30][Epoch  53/200] trn/posterior_energy  8.574e+03, trn/neg_log_likelihood  2.107e+04, trn/neg_log_prior -1.250e+04, trn/lr  8.394e-07, trn/temperature  0.000e+00, val/acc 7.652e-01, val/nll 6.686e-01
[2023-02-13 04:33:37] [Cycle   1/ 30][Epoch  54/200] trn/posterior_energy  7.803e+03, trn/neg_log_likelihood  2.031e+04, trn/neg_log_prior -1.251e+04, trn/lr  8.336e-07, trn/temperature  0.000e+00, val/acc 7.489e-01, val/nll 7.461e-01
[2023-02-13 04:33:40] [Cycle   1/ 30][Epoch  55/200] trn/posterior_energy  8.122e+03, trn/neg_log_likelihood  2.057e+04, trn/neg_log_prior -1.245e+04, trn/lr  8.277e-07, trn/temperature  0.000e+00, val/acc 7.770e-01, val/nll 6.641e-01
[2023-02-13 04:33:43] [Cycle   1/ 30][Epoch  56/200] trn/posterior_energy  7.364e+03, trn/neg_log_likelihood  1.992e+04, trn/neg_log_prior -1.256e+04, trn/lr  8.217e-07, trn/temperature  0.000e+00, val/acc 7.553e-01, val/nll 7.065e-01
[2023-02-13 04:33:47] [Cycle   1/ 30][Epoch  57/200] trn/posterior_energy  7.553e+03, trn/neg_log_likelihood  2.010e+04, trn/neg_log_prior -1.254e+04, trn/lr  8.157e-07, trn/temperature  0.000e+00, val/acc 7.579e-01, val/nll 7.047e-01
[2023-02-13 04:33:50] [Cycle   1/ 30][Epoch  58/200] trn/posterior_energy  7.434e+03, trn/neg_log_likelihood  1.978e+04, trn/neg_log_prior -1.234e+04, trn/lr  8.095e-07, trn/temperature  0.000e+00, val/acc 7.864e-01, val/nll 6.055e-01
[2023-02-13 04:33:53] [Cycle   1/ 30][Epoch  59/200] trn/posterior_energy  7.003e+03, trn/neg_log_likelihood  1.946e+04, trn/neg_log_prior -1.246e+04, trn/lr  8.033e-07, trn/temperature  0.000e+00, val/acc 7.583e-01, val/nll 6.993e-01
[2023-02-13 04:33:56] [Cycle   1/ 30][Epoch  60/200] trn/posterior_energy  7.646e+03, trn/neg_log_likelihood  1.989e+04, trn/neg_log_prior -1.225e+04, trn/lr  7.971e-07, trn/temperature  0.000e+00, val/acc 7.762e-01, val/nll 6.829e-01
[2023-02-13 04:34:00] [Cycle   1/ 30][Epoch  61/200] trn/posterior_energy  6.380e+03, trn/neg_log_likelihood  1.868e+04, trn/neg_log_prior -1.230e+04, trn/lr  7.907e-07, trn/temperature  0.000e+00, val/acc 7.875e-01, val/nll 6.171e-01
[2023-02-13 04:34:03] [Cycle   1/ 30][Epoch  62/200] trn/posterior_energy  6.236e+03, trn/neg_log_likelihood  1.876e+04, trn/neg_log_prior -1.252e+04, trn/lr  7.843e-07, trn/temperature  0.000e+00, val/acc 7.798e-01, val/nll 6.362e-01
[2023-02-13 04:34:06] [Cycle   1/ 30][Epoch  63/200] trn/posterior_energy  6.725e+03, trn/neg_log_likelihood  1.911e+04, trn/neg_log_prior -1.239e+04, trn/lr  7.778e-07, trn/temperature  0.000e+00, val/acc 7.680e-01, val/nll 6.665e-01
[2023-02-13 04:34:09] [Cycle   1/ 30][Epoch  64/200] trn/posterior_energy  5.865e+03, trn/neg_log_likelihood  1.836e+04, trn/neg_log_prior -1.249e+04, trn/lr  7.712e-07, trn/temperature  0.000e+00, val/acc 7.685e-01, val/nll 6.858e-01
[2023-02-13 04:34:13] [Cycle   1/ 30][Epoch  65/200] trn/posterior_energy  6.465e+03, trn/neg_log_likelihood  1.881e+04, trn/neg_log_prior -1.235e+04, trn/lr  7.646e-07, trn/temperature  0.000e+00, val/acc 7.865e-01, val/nll 6.201e-01
[2023-02-13 04:34:16] [Cycle   1/ 30][Epoch  66/200] trn/posterior_energy  6.944e+03, trn/neg_log_likelihood  1.906e+04, trn/neg_log_prior -1.212e+04, trn/lr  7.579e-07, trn/temperature  0.000e+00, val/acc 7.813e-01, val/nll 6.518e-01
[2023-02-13 04:34:19] [Cycle   1/ 30][Epoch  67/200] trn/posterior_energy  6.086e+03, trn/neg_log_likelihood  1.832e+04, trn/neg_log_prior -1.223e+04, trn/lr  7.511e-07, trn/temperature  0.000e+00, val/acc 7.712e-01, val/nll 6.819e-01
[2023-02-13 04:34:23] [Cycle   1/ 30][Epoch  68/200] trn/posterior_energy  6.181e+03, trn/neg_log_likelihood  1.828e+04, trn/neg_log_prior -1.210e+04, trn/lr  7.443e-07, trn/temperature  0.000e+00, val/acc 7.695e-01, val/nll 6.815e-01
