[2023-05-31 13:25:45] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-05-31 13:25:45] Command line arguments:
- args.data_root             : /mnt/local/datasets/manual/
- args.data_name             : imagenet2012
- args.resnet_depth          : 34
- args.resnet_width          : 1
- args.batch_size            : 2048
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 64000
- args.optim_lr              : 0.8
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.0
- args.optim_global_clipping : None
- args.save                  : ./save/imagenet2012/resnet_34x1-batch_2048-iter_64k-lr_0.8-wd_0.0001-fp16/42/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-05-31 13:25:47] Multiple local devices are detected:
[StreamExecutorGpuDevice(id=0, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=1, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=2, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=3, process_index=0, slice_index=0)]

[2023-05-31 13:26:32] images.shape: (4, 512, 224, 224, 3), output.shape: (4, 512, 512)
[2023-05-31 16:03:35] [Iter   24000/  64000] trn/loss 2.247e+00, trn/negative_log_likelihood 2.247e+00, trn/w_norm 1.415e+02, trn/g_norm 8.203e-01, trn/lr 6.383e-01, trn/dyn_scale 6.554e+04, val/acc 4.994e-01, val/nll 2.184e+00, val/best_acc 5.005e-01
[2023-05-31 16:09:56] [Iter   25000/  64000] trn/loss 2.234e+00, trn/negative_log_likelihood 2.234e+00, trn/w_norm 1.410e+02, trn/g_norm 8.271e-01, trn/lr 6.204e-01, trn/dyn_scale 6.554e+04, val/acc 4.844e-01, val/nll 2.249e+00, val/best_acc 5.005e-01
[2023-05-31 16:16:20] [Iter   26000/  64000] trn/loss 2.209e+00, trn/negative_log_likelihood 2.209e+00, trn/w_norm 1.405e+02, trn/g_norm 8.348e-01, trn/lr 6.019e-01, trn/dyn_scale 6.554e+04, val/acc 5.139e-01, val/nll 2.098e+00, val/best_acc 5.139e-01 (best_acc: 5.005e-01 -> 5.139e-01)
[2023-05-31 16:22:54] [Iter   27000/  64000] trn/loss 2.194e+00, trn/negative_log_likelihood 2.194e+00, trn/w_norm 1.398e+02, trn/g_norm 8.416e-01, trn/lr 5.827e-01, trn/dyn_scale 6.554e+04, val/acc 5.036e-01, val/nll 2.144e+00, val/best_acc 5.139e-01
[2023-05-31 16:29:37] [Iter   28000/  64000] trn/loss 2.175e+00, trn/negative_log_likelihood 2.175e+00, trn/w_norm 1.392e+02, trn/g_norm 8.500e-01, trn/lr 5.631e-01, trn/dyn_scale 6.554e+04, val/acc 4.717e-01, val/nll 2.313e+00, val/best_acc 5.139e-01
[2023-05-31 16:36:21] [Iter   29000/  64000] trn/loss 2.153e+00, trn/negative_log_likelihood 2.153e+00, trn/w_norm 1.385e+02, trn/g_norm 8.583e-01, trn/lr 5.429e-01, trn/dyn_scale 6.554e+04, val/acc 5.137e-01, val/nll 2.077e+00, val/best_acc 5.139e-01
[2023-05-31 16:42:55] [Iter   30000/  64000] trn/loss 2.138e+00, trn/negative_log_likelihood 2.138e+00, trn/w_norm 1.378e+02, trn/g_norm 8.694e-01, trn/lr 5.224e-01, trn/dyn_scale 6.554e+04, val/acc 5.107e-01, val/nll 2.091e+00, val/best_acc 5.139e-01
[2023-05-31 16:49:51] [Iter   31000/  64000] trn/loss 2.112e+00, trn/negative_log_likelihood 2.112e+00, trn/w_norm 1.371e+02, trn/g_norm 8.787e-01, trn/lr 5.014e-01, trn/dyn_scale 6.554e+04, val/acc 5.035e-01, val/nll 2.145e+00, val/best_acc 5.139e-01
[2023-05-31 16:56:51] [Iter   32000/  64000] trn/loss 2.096e+00, trn/negative_log_likelihood 2.096e+00, trn/w_norm 1.362e+02, trn/g_norm 8.887e-01, trn/lr 4.802e-01, trn/dyn_scale 6.554e+04, val/acc 5.205e-01, val/nll 2.032e+00, val/best_acc 5.205e-01 (best_acc: 5.139e-01 -> 5.205e-01)
[2023-05-31 17:03:34] [Iter   33000/  64000] trn/loss 2.071e+00, trn/negative_log_likelihood 2.071e+00, trn/w_norm 1.354e+02, trn/g_norm 9.014e-01, trn/lr 4.587e-01, trn/dyn_scale 6.554e+04, val/acc 5.223e-01, val/nll 2.054e+00, val/best_acc 5.223e-01 (best_acc: 5.205e-01 -> 5.223e-01)
[2023-05-31 17:10:24] [Iter   34000/  64000] trn/loss 2.050e+00, trn/negative_log_likelihood 2.050e+00, trn/w_norm 1.346e+02, trn/g_norm 9.127e-01, trn/lr 4.370e-01, trn/dyn_scale 6.554e+04, val/acc 5.344e-01, val/nll 1.977e+00, val/best_acc 5.344e-01 (best_acc: 5.223e-01 -> 5.344e-01)
[2023-05-31 17:17:30] [Iter   35000/  64000] trn/loss 2.028e+00, trn/negative_log_likelihood 2.028e+00, trn/w_norm 1.336e+02, trn/g_norm 9.242e-01, trn/lr 4.153e-01, trn/dyn_scale 6.554e+04, val/acc 5.305e-01, val/nll 2.009e+00, val/best_acc 5.344e-01
[2023-05-31 17:24:44] [Iter   36000/  64000] trn/loss 1.997e+00, trn/negative_log_likelihood 1.997e+00, trn/w_norm 1.325e+02, trn/g_norm 9.384e-01, trn/lr 3.935e-01, trn/dyn_scale 6.554e+04, val/acc 5.409e-01, val/nll 1.953e+00, val/best_acc 5.409e-01 (best_acc: 5.344e-01 -> 5.409e-01)
[2023-05-31 17:32:10] [Iter   37000/  64000] trn/loss 1.978e+00, trn/negative_log_likelihood 1.978e+00, trn/w_norm 1.315e+02, trn/g_norm 9.539e-01, trn/lr 3.717e-01, trn/dyn_scale 6.554e+04, val/acc 5.564e-01, val/nll 1.877e+00, val/best_acc 5.564e-01 (best_acc: 5.409e-01 -> 5.564e-01)
[2023-05-31 17:39:23] [Iter   38000/  64000] trn/loss 1.950e+00, trn/negative_log_likelihood 1.950e+00, trn/w_norm 1.304e+02, trn/g_norm 9.699e-01, trn/lr 3.500e-01, trn/dyn_scale 6.554e+04, val/acc 5.666e-01, val/nll 1.817e+00, val/best_acc 5.666e-01 (best_acc: 5.564e-01 -> 5.666e-01)
[2023-05-31 17:46:31] [Iter   39000/  64000] trn/loss 1.922e+00, trn/negative_log_likelihood 1.922e+00, trn/w_norm 1.292e+02, trn/g_norm 9.868e-01, trn/lr 3.284e-01, trn/dyn_scale 6.554e+04, val/acc 5.662e-01, val/nll 1.808e+00, val/best_acc 5.666e-01
[2023-05-31 17:53:52] [Iter   40000/  64000] trn/loss 1.900e+00, trn/negative_log_likelihood 1.900e+00, trn/w_norm 1.281e+02, trn/g_norm 1.005e+00, trn/lr 3.071e-01, trn/dyn_scale 6.554e+04, val/acc 5.668e-01, val/nll 1.828e+00, val/best_acc 5.668e-01 (best_acc: 5.666e-01 -> 5.668e-01)
