[2023-02-03 17:21:26] [Epoch    69/  500] trn/posterior_energy -8.385e+04, trn/neg_log_likelihood  3.944e+04, trn/neg_log_prior -1.233e+05, trn/lr  2.863e-07, val/acc 3.666e-01, val/nll 2.862e+00
[2023-02-03 17:21:30] [Epoch    70/  500] trn/posterior_energy -8.549e+04, trn/neg_log_likelihood  3.775e+04, trn/neg_log_prior -1.232e+05, trn/lr  2.859e-07, val/acc 3.518e-01, val/nll 2.973e+00
[2023-02-03 17:21:34] [Epoch    71/  500] trn/posterior_energy -8.680e+04, trn/neg_log_likelihood  3.638e+04, trn/neg_log_prior -1.232e+05, trn/lr  2.855e-07, val/acc 3.506e-01, val/nll 3.015e+00
[2023-02-03 17:21:37] [Epoch    72/  500] trn/posterior_energy -8.707e+04, trn/neg_log_likelihood  3.605e+04, trn/neg_log_prior -1.231e+05, trn/lr  2.851e-07, val/acc 3.593e-01, val/nll 2.978e+00
[2023-02-03 17:21:41] [Epoch    73/  500] trn/posterior_energy -8.810e+04, trn/neg_log_likelihood  3.495e+04, trn/neg_log_prior -1.231e+05, trn/lr  2.847e-07, val/acc 3.606e-01, val/nll 3.000e+00
[2023-02-03 17:21:45] [Epoch    74/  500] trn/posterior_energy -8.954e+04, trn/neg_log_likelihood  3.345e+04, trn/neg_log_prior -1.230e+05, trn/lr  2.843e-07, val/acc 3.588e-01, val/nll 2.973e+00
[2023-02-03 17:21:49] [Epoch    75/  500] trn/posterior_energy -8.999e+04, trn/neg_log_likelihood  3.295e+04, trn/neg_log_prior -1.229e+05, trn/lr  2.839e-07, val/acc 3.610e-01, val/nll 3.076e+00
[2023-02-03 17:21:52] [Epoch    76/  500] trn/posterior_energy -9.227e+04, trn/neg_log_likelihood  3.060e+04, trn/neg_log_prior -1.229e+05, trn/lr  2.834e-07, val/acc 3.553e-01, val/nll 3.128e+00
[2023-02-03 17:21:56] [Epoch    77/  500] trn/posterior_energy -9.236e+04, trn/neg_log_likelihood  3.045e+04, trn/neg_log_prior -1.228e+05, trn/lr  2.830e-07, val/acc 3.469e-01, val/nll 3.221e+00
[2023-02-03 17:22:00] [Epoch    78/  500] trn/posterior_energy -9.320e+04, trn/neg_log_likelihood  2.956e+04, trn/neg_log_prior -1.228e+05, trn/lr  2.826e-07, val/acc 3.605e-01, val/nll 3.155e+00
[2023-02-03 17:22:03] [Epoch    79/  500] trn/posterior_energy -9.497e+04, trn/neg_log_likelihood  2.772e+04, trn/neg_log_prior -1.227e+05, trn/lr  2.821e-07, val/acc 3.546e-01, val/nll 3.238e+00
[2023-02-03 17:22:07] [Epoch    80/  500] trn/posterior_energy -9.504e+04, trn/neg_log_likelihood  2.760e+04, trn/neg_log_prior -1.226e+05, trn/lr  2.817e-07, val/acc 3.489e-01, val/nll 3.273e+00
[2023-02-03 17:22:11] [Epoch    81/  500] trn/posterior_energy -9.696e+04, trn/neg_log_likelihood  2.562e+04, trn/neg_log_prior -1.226e+05, trn/lr  2.812e-07, val/acc 3.552e-01, val/nll 3.279e+00
[2023-02-03 17:22:14] [Epoch    82/  500] trn/posterior_energy -9.779e+04, trn/neg_log_likelihood  2.473e+04, trn/neg_log_prior -1.225e+05, trn/lr  2.808e-07, val/acc 3.554e-01, val/nll 3.245e+00
[2023-02-03 17:22:18] [Epoch    83/  500] trn/posterior_energy -9.875e+04, trn/neg_log_likelihood  2.371e+04, trn/neg_log_prior -1.225e+05, trn/lr  2.803e-07, val/acc 3.379e-01, val/nll 3.451e+00
[2023-02-03 17:22:21] [Epoch    84/  500] trn/posterior_energy -9.947e+04, trn/neg_log_likelihood  2.294e+04, trn/neg_log_prior -1.224e+05, trn/lr  2.798e-07, val/acc 3.499e-01, val/nll 3.351e+00
[2023-02-03 17:22:25] [Epoch    85/  500] trn/posterior_energy -9.995e+04, trn/neg_log_likelihood  2.241e+04, trn/neg_log_prior -1.224e+05, trn/lr  2.794e-07, val/acc 3.428e-01, val/nll 3.465e+00
[2023-02-03 17:22:29] [Epoch    86/  500] trn/posterior_energy -1.007e+05, trn/neg_log_likelihood  2.155e+04, trn/neg_log_prior -1.223e+05, trn/lr  2.789e-07, val/acc 3.498e-01, val/nll 3.457e+00
[2023-02-03 17:22:33] [Epoch    87/  500] trn/posterior_energy -1.021e+05, trn/neg_log_likelihood  2.016e+04, trn/neg_log_prior -1.222e+05, trn/lr  2.784e-07, val/acc 3.494e-01, val/nll 3.475e+00
[2023-02-03 17:22:36] [Epoch    88/  500] trn/posterior_energy -1.030e+05, trn/neg_log_likelihood  1.914e+04, trn/neg_log_prior -1.222e+05, trn/lr  2.779e-07, val/acc 3.468e-01, val/nll 3.513e+00
[2023-02-03 17:22:40] [Epoch    89/  500] trn/posterior_energy -1.038e+05, trn/neg_log_likelihood  1.837e+04, trn/neg_log_prior -1.221e+05, trn/lr  2.774e-07, val/acc 3.447e-01, val/nll 3.618e+00
[2023-02-03 17:22:44] [Epoch    90/  500] trn/posterior_energy -1.031e+05, trn/neg_log_likelihood  1.901e+04, trn/neg_log_prior -1.221e+05, trn/lr  2.769e-07, val/acc 3.358e-01, val/nll 3.693e+00
[2023-02-03 17:22:47] [Epoch    91/  500] trn/posterior_energy -1.048e+05, trn/neg_log_likelihood  1.718e+04, trn/neg_log_prior -1.220e+05, trn/lr  2.764e-07, val/acc 3.511e-01, val/nll 3.598e+00
[2023-02-03 17:22:51] [Epoch    92/  500] trn/posterior_energy -1.059e+05, trn/neg_log_likelihood  1.608e+04, trn/neg_log_prior -1.220e+05, trn/lr  2.759e-07, val/acc 3.434e-01, val/nll 3.720e+00
[2023-02-03 17:22:55] [Epoch    93/  500] trn/posterior_energy -1.061e+05, trn/neg_log_likelihood  1.583e+04, trn/neg_log_prior -1.219e+05, trn/lr  2.754e-07, val/acc 3.337e-01, val/nll 3.808e+00
[2023-02-03 17:22:58] [Epoch    94/  500] trn/posterior_energy -1.070e+05, trn/neg_log_likelihood  1.489e+04, trn/neg_log_prior -1.219e+05, trn/lr  2.749e-07, val/acc 3.321e-01, val/nll 3.788e+00
