[2023-02-11 07:39:40] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-11 07:39:40] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 200
- args.num_epochs_noisy  : 0
- args.prior_precision   : 20.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0200-0000_lr-0.0000001_mo-0.99_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-11 07:42:26] [Cycle   1/ 30][Epoch  41/200] trn/posterior_energy  1.899e+05, trn/neg_log_likelihood  1.365e+04, trn/neg_log_prior  1.763e+05, trn/lr  9.022e-08, trn/temperature  0.000e+00, val/acc 7.872e-01, val/nll 6.356e-01
[2023-02-11 07:42:30] [Cycle   1/ 30][Epoch  42/200] trn/posterior_energy  1.894e+05, trn/neg_log_likelihood  1.293e+04, trn/neg_log_prior  1.765e+05, trn/lr  8.975e-08, trn/temperature  0.000e+00, val/acc 7.879e-01, val/nll 6.686e-01
[2023-02-11 07:42:33] [Cycle   1/ 30][Epoch  43/200] trn/posterior_energy  1.887e+05, trn/neg_log_likelihood  1.219e+04, trn/neg_log_prior  1.765e+05, trn/lr  8.927e-08, trn/temperature  0.000e+00, val/acc 7.972e-01, val/nll 6.453e-01
[2023-02-11 07:42:37] [Cycle   1/ 30][Epoch  44/200] trn/posterior_energy  1.887e+05, trn/neg_log_likelihood  1.218e+04, trn/neg_log_prior  1.765e+05, trn/lr  8.877e-08, trn/temperature  0.000e+00, val/acc 7.802e-01, val/nll 6.982e-01
[2023-02-11 07:42:40] [Cycle   1/ 30][Epoch  45/200] trn/posterior_energy  1.878e+05, trn/neg_log_likelihood  1.126e+04, trn/neg_log_prior  1.766e+05, trn/lr  8.827e-08, trn/temperature  0.000e+00, val/acc 8.072e-01, val/nll 5.999e-01
[2023-02-11 07:42:44] [Cycle   1/ 30][Epoch  46/200] trn/posterior_energy  1.878e+05, trn/neg_log_likelihood  1.132e+04, trn/neg_log_prior  1.765e+05, trn/lr  8.776e-08, trn/temperature  0.000e+00, val/acc 7.813e-01, val/nll 6.802e-01
[2023-02-11 07:42:48] [Cycle   1/ 30][Epoch  47/200] trn/posterior_energy  1.885e+05, trn/neg_log_likelihood  1.188e+04, trn/neg_log_prior  1.766e+05, trn/lr  8.724e-08, trn/temperature  0.000e+00, val/acc 7.597e-01, val/nll 7.710e-01
[2023-02-11 07:42:51] [Cycle   1/ 30][Epoch  48/200] trn/posterior_energy  1.897e+05, trn/neg_log_likelihood  1.294e+04, trn/neg_log_prior  1.768e+05, trn/lr  8.672e-08, trn/temperature  0.000e+00, val/acc 7.739e-01, val/nll 7.242e-01
[2023-02-11 07:42:55] [Cycle   1/ 30][Epoch  49/200] trn/posterior_energy  1.892e+05, trn/neg_log_likelihood  1.213e+04, trn/neg_log_prior  1.771e+05, trn/lr  8.618e-08, trn/temperature  0.000e+00, val/acc 7.850e-01, val/nll 6.847e-01
[2023-02-11 07:42:59] [Cycle   1/ 30][Epoch  50/200] trn/posterior_energy  1.881e+05, trn/neg_log_likelihood  1.092e+04, trn/neg_log_prior  1.771e+05, trn/lr  8.563e-08, trn/temperature  0.000e+00, val/acc 7.940e-01, val/nll 6.646e-01
[2023-02-11 07:43:02] [Cycle   1/ 30][Epoch  51/200] trn/posterior_energy  1.870e+05, trn/neg_log_likelihood  1.003e+04, trn/neg_log_prior  1.770e+05, trn/lr  8.508e-08, trn/temperature  0.000e+00, val/acc 7.931e-01, val/nll 6.447e-01
[2023-02-11 07:43:06] [Cycle   1/ 30][Epoch  52/200] trn/posterior_energy  1.874e+05, trn/neg_log_likelihood  1.055e+04, trn/neg_log_prior  1.769e+05, trn/lr  8.451e-08, trn/temperature  0.000e+00, val/acc 7.930e-01, val/nll 6.475e-01
[2023-02-11 07:43:09] [Cycle   1/ 30][Epoch  53/200] trn/posterior_energy  1.879e+05, trn/neg_log_likelihood  1.097e+04, trn/neg_log_prior  1.770e+05, trn/lr  8.394e-08, trn/temperature  0.000e+00, val/acc 7.892e-01, val/nll 6.814e-01
[2023-02-11 07:43:13] [Cycle   1/ 30][Epoch  54/200] trn/posterior_energy  1.873e+05, trn/neg_log_likelihood  1.028e+04, trn/neg_log_prior  1.770e+05, trn/lr  8.336e-08, trn/temperature  0.000e+00, val/acc 8.022e-01, val/nll 6.394e-01
