[2023-02-07 06:16:02] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-07 06:16:02] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 200
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0200_lr-0.0000003_mo-0.97_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-07 06:16:37] [Cycle   1/ 30][Epoch   1/200] trn/posterior_energy -3.295e+04, trn/neg_log_likelihood  8.892e+04, trn/neg_log_prior -1.219e+05, trn/lr  3.000e-07, trn/temperature  1.000e+00, val/acc 2.410e-01, val/nll 1.905e+00
[2023-02-07 07:16:51] [Cycle   5/ 30][Epoch  86/200] trn/posterior_energy  3.067e+04, trn/neg_log_likelihood  1.661e+04, trn/neg_log_prior  1.406e+04, trn/lr  1.839e-07, trn/temperature  1.000e+00, val/acc 8.046e-01, val/nll 5.950e-01
[2023-02-07 07:16:55] [Cycle   5/ 30][Epoch  87/200] trn/posterior_energy  3.053e+04, trn/neg_log_likelihood  1.651e+04, trn/neg_log_prior  1.402e+04, trn/lr  1.816e-07, trn/temperature  1.000e+00, val/acc 8.083e-01, val/nll 5.842e-01
[2023-02-07 07:16:59] [Cycle   5/ 30][Epoch  88/200] trn/posterior_energy  3.015e+04, trn/neg_log_likelihood  1.621e+04, trn/neg_log_prior  1.394e+04, trn/lr  1.793e-07, trn/temperature  1.000e+00, val/acc 8.018e-01, val/nll 6.137e-01
[2023-02-07 07:17:03] [Cycle   5/ 30][Epoch  89/200] trn/posterior_energy  3.031e+04, trn/neg_log_likelihood  1.637e+04, trn/neg_log_prior  1.394e+04, trn/lr  1.770e-07, trn/temperature  1.000e+00, val/acc 7.980e-01, val/nll 6.012e-01
[2023-02-07 07:17:07] [Cycle   5/ 30][Epoch  90/200] trn/posterior_energy  3.030e+04, trn/neg_log_likelihood  1.629e+04, trn/neg_log_prior  1.401e+04, trn/lr  1.746e-07, trn/temperature  1.000e+00, val/acc 8.037e-01, val/nll 6.055e-01
[2023-02-07 07:17:12] [Cycle   5/ 30][Epoch  91/200] trn/posterior_energy  3.019e+04, trn/neg_log_likelihood  1.609e+04, trn/neg_log_prior  1.410e+04, trn/lr  1.723e-07, trn/temperature  1.000e+00, val/acc 7.981e-01, val/nll 6.173e-01
[2023-02-07 07:17:16] [Cycle   5/ 30][Epoch  92/200] trn/posterior_energy  2.982e+04, trn/neg_log_likelihood  1.571e+04, trn/neg_log_prior  1.411e+04, trn/lr  1.700e-07, trn/temperature  1.000e+00, val/acc 8.084e-01, val/nll 5.844e-01
[2023-02-07 07:17:20] [Cycle   5/ 30][Epoch  93/200] trn/posterior_energy  3.023e+04, trn/neg_log_likelihood  1.613e+04, trn/neg_log_prior  1.410e+04, trn/lr  1.676e-07, trn/temperature  1.000e+00, val/acc 8.085e-01, val/nll 5.889e-01
[2023-02-07 07:17:24] [Cycle   5/ 30][Epoch  94/200] trn/posterior_energy  3.025e+04, trn/neg_log_likelihood  1.612e+04, trn/neg_log_prior  1.413e+04, trn/lr  1.653e-07, trn/temperature  1.000e+00, val/acc 8.076e-01, val/nll 5.989e-01
[2023-02-07 07:17:28] [Cycle   5/ 30][Epoch  95/200] trn/posterior_energy  3.032e+04, trn/neg_log_likelihood  1.621e+04, trn/neg_log_prior  1.411e+04, trn/lr  1.629e-07, trn/temperature  1.000e+00, val/acc 7.966e-01, val/nll 6.262e-01
[2023-02-07 07:17:32] [Cycle   5/ 30][Epoch  96/200] trn/posterior_energy  3.030e+04, trn/neg_log_likelihood  1.614e+04, trn/neg_log_prior  1.416e+04, trn/lr  1.606e-07, trn/temperature  1.000e+00, val/acc 8.020e-01, val/nll 6.034e-01
[2023-02-07 07:17:36] [Cycle   5/ 30][Epoch  97/200] trn/posterior_energy  3.032e+04, trn/neg_log_likelihood  1.618e+04, trn/neg_log_prior  1.414e+04, trn/lr  1.582e-07, trn/temperature  1.000e+00, val/acc 7.990e-01, val/nll 6.121e-01
[2023-02-07 07:17:40] [Cycle   5/ 30][Epoch  98/200] trn/posterior_energy  3.014e+04, trn/neg_log_likelihood  1.597e+04, trn/neg_log_prior  1.417e+04, trn/lr  1.559e-07, trn/temperature  1.000e+00, val/acc 8.075e-01, val/nll 5.977e-01
[2023-02-07 07:17:44] [Cycle   5/ 30][Epoch  99/200] trn/posterior_energy  3.023e+04, trn/neg_log_likelihood  1.605e+04, trn/neg_log_prior  1.418e+04, trn/lr  1.535e-07, trn/temperature  1.000e+00, val/acc 7.951e-01, val/nll 6.404e-01
[2023-02-07 07:17:48] [Cycle   5/ 30][Epoch 100/200] trn/posterior_energy  3.001e+04, trn/neg_log_likelihood  1.586e+04, trn/neg_log_prior  1.415e+04, trn/lr  1.512e-07, trn/temperature  1.000e+00, val/acc 7.944e-01, val/nll 6.194e-01
[2023-02-07 07:17:52] [Cycle   5/ 30][Epoch 101/200] trn/posterior_energy  2.981e+04, trn/neg_log_likelihood  1.576e+04, trn/neg_log_prior  1.406e+04, trn/lr  1.488e-07, trn/temperature  1.000e+00, val/acc 8.098e-01, val/nll 5.767e-01
[2023-02-07 07:17:56] [Cycle   5/ 30][Epoch 102/200] trn/posterior_energy  3.023e+04, trn/neg_log_likelihood  1.608e+04, trn/neg_log_prior  1.414e+04, trn/lr  1.465e-07, trn/temperature  1.000e+00, val/acc 8.044e-01, val/nll 5.943e-01
[2023-02-07 07:18:00] [Cycle   5/ 30][Epoch 103/200] trn/posterior_energy  2.992e+04, trn/neg_log_likelihood  1.576e+04, trn/neg_log_prior  1.416e+04, trn/lr  1.441e-07, trn/temperature  1.000e+00, val/acc 8.100e-01, val/nll 5.826e-01
[2023-02-07 07:18:04] [Cycle   5/ 30][Epoch 104/200] trn/posterior_energy  2.972e+04, trn/neg_log_likelihood  1.561e+04, trn/neg_log_prior  1.411e+04, trn/lr  1.418e-07, trn/temperature  1.000e+00, val/acc 8.033e-01, val/nll 5.941e-01
[2023-02-07 07:18:08] [Cycle   5/ 30][Epoch 105/200] trn/posterior_energy  2.982e+04, trn/neg_log_likelihood  1.575e+04, trn/neg_log_prior  1.407e+04, trn/lr  1.394e-07, trn/temperature  1.000e+00, val/acc 8.071e-01, val/nll 5.893e-01
[2023-02-07 07:18:12] [Cycle   5/ 30][Epoch 106/200] trn/posterior_energy  3.006e+04, trn/neg_log_likelihood  1.601e+04, trn/neg_log_prior  1.404e+04, trn/lr  1.371e-07, trn/temperature  1.000e+00, val/acc 7.966e-01, val/nll 6.176e-01
[2023-02-07 07:18:16] [Cycle   5/ 30][Epoch 107/200] trn/posterior_energy  2.943e+04, trn/neg_log_likelihood  1.536e+04, trn/neg_log_prior  1.407e+04, trn/lr  1.347e-07, trn/temperature  1.000e+00, val/acc 8.039e-01, val/nll 5.995e-01
[2023-02-07 07:18:20] [Cycle   5/ 30][Epoch 108/200] trn/posterior_energy  3.009e+04, trn/neg_log_likelihood  1.600e+04, trn/neg_log_prior  1.409e+04, trn/lr  1.324e-07, trn/temperature  1.000e+00, val/acc 7.983e-01, val/nll 6.076e-01
[2023-02-07 07:18:24] [Cycle   5/ 30][Epoch 109/200] trn/posterior_energy  2.943e+04, trn/neg_log_likelihood  1.542e+04, trn/neg_log_prior  1.401e+04, trn/lr  1.300e-07, trn/temperature  1.000e+00, val/acc 8.095e-01, val/nll 5.838e-01
[2023-02-07 07:18:28] [Cycle   5/ 30][Epoch 110/200] trn/posterior_energy  2.944e+04, trn/neg_log_likelihood  1.541e+04, trn/neg_log_prior  1.402e+04, trn/lr  1.277e-07, trn/temperature  1.000e+00, val/acc 7.962e-01, val/nll 6.206e-01
[2023-02-07 07:18:32] [Cycle   5/ 30][Epoch 111/200] trn/posterior_energy  2.932e+04, trn/neg_log_likelihood  1.532e+04, trn/neg_log_prior  1.399e+04, trn/lr  1.254e-07, trn/temperature  1.000e+00, val/acc 8.038e-01, val/nll 6.018e-01
[2023-02-07 07:18:36] [Cycle   5/ 30][Epoch 112/200] trn/posterior_energy  2.931e+04, trn/neg_log_likelihood  1.532e+04, trn/neg_log_prior  1.400e+04, trn/lr  1.231e-07, trn/temperature  1.000e+00, val/acc 7.996e-01, val/nll 6.156e-01
[2023-02-07 07:18:40] [Cycle   5/ 30][Epoch 113/200] trn/posterior_energy  2.906e+04, trn/neg_log_likelihood  1.512e+04, trn/neg_log_prior  1.394e+04, trn/lr  1.207e-07, trn/temperature  1.000e+00, val/acc 8.126e-01, val/nll 5.895e-01
[2023-02-07 07:18:44] [Cycle   5/ 30][Epoch 114/200] trn/posterior_energy  2.920e+04, trn/neg_log_likelihood  1.530e+04, trn/neg_log_prior  1.390e+04, trn/lr  1.184e-07, trn/temperature  1.000e+00, val/acc 8.104e-01, val/nll 5.795e-01
[2023-02-07 07:18:48] [Cycle   5/ 30][Epoch 115/200] trn/posterior_energy  2.915e+04, trn/neg_log_likelihood  1.529e+04, trn/neg_log_prior  1.385e+04, trn/lr  1.161e-07, trn/temperature  1.000e+00, val/acc 7.924e-01, val/nll 6.436e-01
[2023-02-07 07:18:52] [Cycle   5/ 30][Epoch 116/200] trn/posterior_energy  2.889e+04, trn/neg_log_likelihood  1.506e+04, trn/neg_log_prior  1.383e+04, trn/lr  1.138e-07, trn/temperature  1.000e+00, val/acc 8.065e-01, val/nll 5.918e-01
[2023-02-07 07:18:57] [Cycle   5/ 30][Epoch 117/200] trn/posterior_energy  2.884e+04, trn/neg_log_likelihood  1.505e+04, trn/neg_log_prior  1.378e+04, trn/lr  1.116e-07, trn/temperature  1.000e+00, val/acc 8.056e-01, val/nll 5.991e-01
[2023-02-07 07:19:01] [Cycle   5/ 30][Epoch 118/200] trn/posterior_energy  2.882e+04, trn/neg_log_likelihood  1.507e+04, trn/neg_log_prior  1.376e+04, trn/lr  1.093e-07, trn/temperature  1.000e+00, val/acc 8.129e-01, val/nll 5.790e-01
[2023-02-07 07:19:05] [Cycle   5/ 30][Epoch 119/200] trn/posterior_energy  2.867e+04, trn/neg_log_likelihood  1.487e+04, trn/neg_log_prior  1.380e+04, trn/lr  1.070e-07, trn/temperature  1.000e+00, val/acc 8.039e-01, val/nll 5.976e-01
[2023-02-07 07:19:09] [Cycle   5/ 30][Epoch 120/200] trn/posterior_energy  2.911e+04, trn/neg_log_likelihood  1.535e+04, trn/neg_log_prior  1.376e+04, trn/lr  1.048e-07, trn/temperature  1.000e+00, val/acc 8.004e-01, val/nll 6.062e-01
[2023-02-07 07:19:13] [Cycle   5/ 30][Epoch 121/200] trn/posterior_energy  2.852e+04, trn/neg_log_likelihood  1.469e+04, trn/neg_log_prior  1.383e+04, trn/lr  1.025e-07, trn/temperature  1.000e+00, val/acc 8.055e-01, val/nll 5.840e-01
[2023-02-07 07:19:17] [Cycle   5/ 30][Epoch 122/200] trn/posterior_energy  2.843e+04, trn/neg_log_likelihood  1.460e+04, trn/neg_log_prior  1.383e+04, trn/lr  1.003e-07, trn/temperature  1.000e+00, val/acc 8.010e-01, val/nll 5.994e-01
[2023-02-07 07:19:21] [Cycle   5/ 30][Epoch 123/200] trn/posterior_energy  2.875e+04, trn/neg_log_likelihood  1.499e+04, trn/neg_log_prior  1.376e+04, trn/lr  9.809e-08, trn/temperature  1.000e+00, val/acc 7.963e-01, val/nll 6.074e-01
[2023-02-07 07:19:25] [Cycle   5/ 30][Epoch 124/200] trn/posterior_energy  2.845e+04, trn/neg_log_likelihood  1.472e+04, trn/neg_log_prior  1.374e+04, trn/lr  9.588e-08, trn/temperature  1.000e+00, val/acc 8.110e-01, val/nll 5.898e-01
[2023-02-07 07:19:29] [Cycle   5/ 30][Epoch 125/200] trn/posterior_energy  2.863e+04, trn/neg_log_likelihood  1.493e+04, trn/neg_log_prior  1.370e+04, trn/lr  9.369e-08, trn/temperature  1.000e+00, val/acc 8.121e-01, val/nll 5.804e-01
[2023-02-07 07:19:33] [Cycle   5/ 30][Epoch 126/200] trn/posterior_energy  2.829e+04, trn/neg_log_likelihood  1.460e+04, trn/neg_log_prior  1.369e+04, trn/lr  9.151e-08, trn/temperature  1.000e+00, val/acc 8.060e-01, val/nll 5.890e-01
[2023-02-07 07:19:37] [Cycle   5/ 30][Epoch 127/200] trn/posterior_energy  2.824e+04, trn/neg_log_likelihood  1.461e+04, trn/neg_log_prior  1.363e+04, trn/lr  8.935e-08, trn/temperature  1.000e+00, val/acc 8.063e-01, val/nll 5.876e-01
[2023-02-07 07:19:41] [Cycle   5/ 30][Epoch 128/200] trn/posterior_energy  2.799e+04, trn/neg_log_likelihood  1.439e+04, trn/neg_log_prior  1.360e+04, trn/lr  8.720e-08, trn/temperature  1.000e+00, val/acc 8.014e-01, val/nll 6.083e-01
[2023-02-07 07:19:46] [Cycle   5/ 30][Epoch 129/200] trn/posterior_energy  2.822e+04, trn/neg_log_likelihood  1.465e+04, trn/neg_log_prior  1.357e+04, trn/lr  8.507e-08, trn/temperature  1.000e+00, val/acc 8.064e-01, val/nll 5.887e-01
[2023-02-07 07:19:50] [Cycle   5/ 30][Epoch 130/200] trn/posterior_energy  2.808e+04, trn/neg_log_likelihood  1.445e+04, trn/neg_log_prior  1.362e+04, trn/lr  8.296e-08, trn/temperature  1.000e+00, val/acc 8.091e-01, val/nll 5.932e-01
[2023-02-07 07:19:54] [Cycle   5/ 30][Epoch 131/200] trn/posterior_energy  2.796e+04, trn/neg_log_likelihood  1.435e+04, trn/neg_log_prior  1.361e+04, trn/lr  8.086e-08, trn/temperature  1.000e+00, val/acc 8.002e-01, val/nll 6.112e-01
[2023-02-07 07:19:58] [Cycle   5/ 30][Epoch 132/200] trn/posterior_energy  2.813e+04, trn/neg_log_likelihood  1.453e+04, trn/neg_log_prior  1.360e+04, trn/lr  7.877e-08, trn/temperature  1.000e+00, val/acc 8.112e-01, val/nll 5.891e-01
[2023-02-07 07:20:02] [Cycle   5/ 30][Epoch 133/200] trn/posterior_energy  2.815e+04, trn/neg_log_likelihood  1.456e+04, trn/neg_log_prior  1.359e+04, trn/lr  7.671e-08, trn/temperature  1.000e+00, val/acc 8.051e-01, val/nll 5.983e-01
[2023-02-07 07:20:06] [Cycle   5/ 30][Epoch 134/200] trn/posterior_energy  2.776e+04, trn/neg_log_likelihood  1.417e+04, trn/neg_log_prior  1.359e+04, trn/lr  7.466e-08, trn/temperature  1.000e+00, val/acc 8.090e-01, val/nll 5.769e-01
[2023-02-07 07:20:10] [Cycle   5/ 30][Epoch 135/200] trn/posterior_energy  2.778e+04, trn/neg_log_likelihood  1.419e+04, trn/neg_log_prior  1.359e+04, trn/lr  7.263e-08, trn/temperature  1.000e+00, val/acc 8.079e-01, val/nll 5.907e-01
[2023-02-07 07:20:14] [Cycle   5/ 30][Epoch 136/200] trn/posterior_energy  2.755e+04, trn/neg_log_likelihood  1.399e+04, trn/neg_log_prior  1.356e+04, trn/lr  7.063e-08, trn/temperature  1.000e+00, val/acc 8.080e-01, val/nll 5.798e-01
[2023-02-07 07:20:18] [Cycle   5/ 30][Epoch 137/200] trn/posterior_energy  2.773e+04, trn/neg_log_likelihood  1.409e+04, trn/neg_log_prior  1.363e+04, trn/lr  6.864e-08, trn/temperature  1.000e+00, val/acc 8.059e-01, val/nll 5.975e-01
[2023-02-07 07:20:23] [Cycle   5/ 30][Epoch 138/200] trn/posterior_energy  2.785e+04, trn/neg_log_likelihood  1.420e+04, trn/neg_log_prior  1.364e+04, trn/lr  6.667e-08, trn/temperature  1.000e+00, val/acc 8.096e-01, val/nll 5.751e-01
[2023-02-07 07:20:27] [Cycle   5/ 30][Epoch 139/200] trn/posterior_energy  2.754e+04, trn/neg_log_likelihood  1.383e+04, trn/neg_log_prior  1.371e+04, trn/lr  6.472e-08, trn/temperature  1.000e+00, val/acc 8.101e-01, val/nll 5.819e-01
[2023-02-07 07:20:31] [Cycle   5/ 30][Epoch 140/200] trn/posterior_energy  2.779e+04, trn/neg_log_likelihood  1.407e+04, trn/neg_log_prior  1.373e+04, trn/lr  6.279e-08, trn/temperature  1.000e+00, val/acc 8.041e-01, val/nll 6.038e-01
[2023-02-07 07:20:34] [Cycle   5/ 30][Epoch 141/200] trn/posterior_energy  2.790e+04, trn/neg_log_likelihood  1.417e+04, trn/neg_log_prior  1.373e+04, trn/lr  6.088e-08, trn/temperature  1.000e+00, val/acc 8.051e-01, val/nll 6.056e-01
[2023-02-07 07:20:39] [Cycle   5/ 30][Epoch 142/200] trn/posterior_energy  2.765e+04, trn/neg_log_likelihood  1.390e+04, trn/neg_log_prior  1.375e+04, trn/lr  5.900e-08, trn/temperature  1.000e+00, val/acc 8.092e-01, val/nll 5.809e-01
[2023-02-07 07:20:43] [Cycle   5/ 30][Epoch 143/200] trn/posterior_energy  2.747e+04, trn/neg_log_likelihood  1.376e+04, trn/neg_log_prior  1.371e+04, trn/lr  5.714e-08, trn/temperature  1.000e+00, val/acc 8.150e-01, val/nll 5.686e-01
[2023-02-07 07:20:46] [Cycle   5/ 30][Epoch 144/200] trn/posterior_energy  2.748e+04, trn/neg_log_likelihood  1.378e+04, trn/neg_log_prior  1.369e+04, trn/lr  5.530e-08, trn/temperature  1.000e+00, val/acc 8.072e-01, val/nll 5.875e-01
[2023-02-07 07:20:51] [Cycle   5/ 30][Epoch 145/200] trn/posterior_energy  2.744e+04, trn/neg_log_likelihood  1.376e+04, trn/neg_log_prior  1.369e+04, trn/lr  5.348e-08, trn/temperature  1.000e+00, val/acc 8.096e-01, val/nll 5.738e-01
[2023-02-07 07:20:54] [Cycle   5/ 30][Epoch 146/200] trn/posterior_energy  2.738e+04, trn/neg_log_likelihood  1.369e+04, trn/neg_log_prior  1.369e+04, trn/lr  5.169e-08, trn/temperature  1.000e+00, val/acc 8.088e-01, val/nll 5.766e-01
[2023-02-07 07:20:58] [Cycle   5/ 30][Epoch 147/200] trn/posterior_energy  2.760e+04, trn/neg_log_likelihood  1.392e+04, trn/neg_log_prior  1.368e+04, trn/lr  4.993e-08, trn/temperature  1.000e+00, val/acc 8.105e-01, val/nll 5.748e-01
[2023-02-07 07:21:03] [Cycle   5/ 30][Epoch 148/200] trn/posterior_energy  2.729e+04, trn/neg_log_likelihood  1.363e+04, trn/neg_log_prior  1.366e+04, trn/lr  4.818e-08, trn/temperature  1.000e+00, val/acc 8.112e-01, val/nll 5.805e-01
[2023-02-07 07:21:07] [Cycle   5/ 30][Epoch 149/200] trn/posterior_energy  2.722e+04, trn/neg_log_likelihood  1.355e+04, trn/neg_log_prior  1.367e+04, trn/lr  4.647e-08, trn/temperature  1.000e+00, val/acc 8.064e-01, val/nll 5.993e-01
[2023-02-07 07:21:11] [Cycle   5/ 30][Epoch 150/200] trn/posterior_energy  2.709e+04, trn/neg_log_likelihood  1.345e+04, trn/neg_log_prior  1.364e+04, trn/lr  4.477e-08, trn/temperature  1.000e+00, val/acc 8.115e-01, val/nll 5.794e-01
[2023-02-07 07:21:15] [Cycle   5/ 30][Epoch 151/200] trn/posterior_energy  2.700e+04, trn/neg_log_likelihood  1.336e+04, trn/neg_log_prior  1.364e+04, trn/lr  4.311e-08, trn/temperature  1.000e+00, val/acc 8.100e-01, val/nll 5.922e-01
[2023-02-07 07:21:19] [Cycle   5/ 30][Epoch 152/200] trn/posterior_energy  2.703e+04, trn/neg_log_likelihood  1.338e+04, trn/neg_log_prior  1.365e+04, trn/lr  4.147e-08, trn/temperature  1.000e+00, val/acc 8.085e-01, val/nll 5.968e-01
[2023-02-07 07:21:23] [Cycle   5/ 30][Epoch 153/200] trn/posterior_energy  2.698e+04, trn/neg_log_likelihood  1.332e+04, trn/neg_log_prior  1.366e+04, trn/lr  3.985e-08, trn/temperature  1.000e+00, val/acc 8.112e-01, val/nll 5.810e-01
[2023-02-07 07:21:27] [Cycle   5/ 30][Epoch 154/200] trn/posterior_energy  2.695e+04, trn/neg_log_likelihood  1.328e+04, trn/neg_log_prior  1.368e+04, trn/lr  3.827e-08, trn/temperature  1.000e+00, val/acc 8.091e-01, val/nll 5.863e-01
[2023-02-07 07:21:31] [Cycle   5/ 30][Epoch 155/200] trn/posterior_energy  2.699e+04, trn/neg_log_likelihood  1.327e+04, trn/neg_log_prior  1.372e+04, trn/lr  3.671e-08, trn/temperature  1.000e+00, val/acc 8.136e-01, val/nll 5.852e-01
[2023-02-07 07:21:35] [Cycle   5/ 30][Epoch 156/200] trn/posterior_energy  2.690e+04, trn/neg_log_likelihood  1.318e+04, trn/neg_log_prior  1.373e+04, trn/lr  3.518e-08, trn/temperature  1.000e+00, val/acc 8.114e-01, val/nll 5.901e-01
[2023-02-07 07:21:39] [Cycle   5/ 30][Epoch 157/200] trn/posterior_energy  2.681e+04, trn/neg_log_likelihood  1.309e+04, trn/neg_log_prior  1.373e+04, trn/lr  3.368e-08, trn/temperature  1.000e+00, val/acc 8.118e-01, val/nll 5.825e-01
[2023-02-07 07:21:43] [Cycle   5/ 30][Epoch 158/200] trn/posterior_energy  2.678e+04, trn/neg_log_likelihood  1.308e+04, trn/neg_log_prior  1.369e+04, trn/lr  3.221e-08, trn/temperature  1.000e+00, val/acc 8.118e-01, val/nll 5.862e-01
[2023-02-07 07:21:47] [Cycle   5/ 30][Epoch 159/200] trn/posterior_energy  2.674e+04, trn/neg_log_likelihood  1.308e+04, trn/neg_log_prior  1.366e+04, trn/lr  3.076e-08, trn/temperature  1.000e+00, val/acc 8.139e-01, val/nll 5.896e-01
[2023-02-07 07:21:51] [Cycle   5/ 30][Epoch 160/200] trn/posterior_energy  2.668e+04, trn/neg_log_likelihood  1.302e+04, trn/neg_log_prior  1.365e+04, trn/lr  2.935e-08, trn/temperature  1.000e+00, val/acc 8.094e-01, val/nll 5.867e-01
[2023-02-07 07:21:55] [Cycle   5/ 30][Epoch 161/200] trn/posterior_energy  2.653e+04, trn/neg_log_likelihood  1.289e+04, trn/neg_log_prior  1.364e+04, trn/lr  2.796e-08, trn/temperature  1.000e+00, val/acc 8.103e-01, val/nll 5.851e-01
[2023-02-07 07:21:59] [Cycle   5/ 30][Epoch 162/200] trn/posterior_energy  2.656e+04, trn/neg_log_likelihood  1.290e+04, trn/neg_log_prior  1.366e+04, trn/lr  2.661e-08, trn/temperature  1.000e+00, val/acc 8.118e-01, val/nll 5.902e-01
[2023-02-07 07:22:03] [Cycle   5/ 30][Epoch 163/200] trn/posterior_energy  2.658e+04, trn/neg_log_likelihood  1.291e+04, trn/neg_log_prior  1.367e+04, trn/lr  2.528e-08, trn/temperature  1.000e+00, val/acc 8.138e-01, val/nll 5.828e-01
[2023-02-07 07:22:07] [Cycle   5/ 30][Epoch 164/200] trn/posterior_energy  2.641e+04, trn/neg_log_likelihood  1.274e+04, trn/neg_log_prior  1.366e+04, trn/lr  2.399e-08, trn/temperature  1.000e+00, val/acc 8.090e-01, val/nll 5.858e-01
[2023-02-07 07:22:11] [Cycle   5/ 30][Epoch 165/200] trn/posterior_energy  2.646e+04, trn/neg_log_likelihood  1.280e+04, trn/neg_log_prior  1.366e+04, trn/lr  2.273e-08, trn/temperature  1.000e+00, val/acc 8.061e-01, val/nll 6.068e-01
[2023-02-07 07:22:15] [Cycle   5/ 30][Epoch 166/200] trn/posterior_energy  2.655e+04, trn/neg_log_likelihood  1.287e+04, trn/neg_log_prior  1.368e+04, trn/lr  2.149e-08, trn/temperature  1.000e+00, val/acc 8.084e-01, val/nll 6.009e-01
[2023-02-07 07:22:19] [Cycle   5/ 30][Epoch 167/200] trn/posterior_energy  2.652e+04, trn/neg_log_likelihood  1.285e+04, trn/neg_log_prior  1.367e+04, trn/lr  2.030e-08, trn/temperature  1.000e+00, val/acc 8.095e-01, val/nll 5.924e-01
[2023-02-07 07:22:23] [Cycle   5/ 30][Epoch 168/200] trn/posterior_energy  2.639e+04, trn/neg_log_likelihood  1.270e+04, trn/neg_log_prior  1.370e+04, trn/lr  1.913e-08, trn/temperature  1.000e+00, val/acc 8.103e-01, val/nll 5.959e-01
[2023-02-07 07:22:27] [Cycle   5/ 30][Epoch 169/200] trn/posterior_energy  2.636e+04, trn/neg_log_likelihood  1.266e+04, trn/neg_log_prior  1.371e+04, trn/lr  1.799e-08, trn/temperature  1.000e+00, val/acc 8.076e-01, val/nll 5.938e-01
[2023-02-07 07:22:31] [Cycle   5/ 30][Epoch 170/200] trn/posterior_energy  2.632e+04, trn/neg_log_likelihood  1.263e+04, trn/neg_log_prior  1.370e+04, trn/lr  1.689e-08, trn/temperature  1.000e+00, val/acc 8.103e-01, val/nll 5.908e-01
[2023-02-07 07:22:35] [Cycle   5/ 30][Epoch 171/200] trn/posterior_energy  2.626e+04, trn/neg_log_likelihood  1.260e+04, trn/neg_log_prior  1.366e+04, trn/lr  1.582e-08, trn/temperature  1.000e+00, val/acc 8.133e-01, val/nll 5.839e-01
[2023-02-07 07:22:39] [Cycle   5/ 30][Epoch 172/200] trn/posterior_energy  2.630e+04, trn/neg_log_likelihood  1.265e+04, trn/neg_log_prior  1.364e+04, trn/lr  1.478e-08, trn/temperature  1.000e+00, val/acc 8.110e-01, val/nll 5.921e-01
[2023-02-07 07:22:43] [Cycle   5/ 30][Epoch 173/200] trn/posterior_energy  2.615e+04, trn/neg_log_likelihood  1.253e+04, trn/neg_log_prior  1.362e+04, trn/lr  1.378e-08, trn/temperature  1.000e+00, val/acc 8.121e-01, val/nll 5.938e-01
[2023-02-07 07:22:47] [Cycle   5/ 30][Epoch 174/200] trn/posterior_energy  2.618e+04, trn/neg_log_likelihood  1.258e+04, trn/neg_log_prior  1.360e+04, trn/lr  1.281e-08, trn/temperature  1.000e+00, val/acc 8.108e-01, val/nll 5.922e-01
[2023-02-07 07:22:51] [Cycle   5/ 30][Epoch 175/200] trn/posterior_energy  2.606e+04, trn/neg_log_likelihood  1.247e+04, trn/neg_log_prior  1.359e+04, trn/lr  1.188e-08, trn/temperature  1.000e+00, val/acc 8.140e-01, val/nll 5.922e-01
[2023-02-07 07:22:55] [Cycle   5/ 30][Epoch 176/200] trn/posterior_energy  2.604e+04, trn/neg_log_likelihood  1.244e+04, trn/neg_log_prior  1.359e+04, trn/lr  1.097e-08, trn/temperature  1.000e+00, val/acc 8.127e-01, val/nll 5.896e-01
[2023-02-07 07:22:59] [Cycle   5/ 30][Epoch 177/200] trn/posterior_energy  2.600e+04, trn/neg_log_likelihood  1.242e+04, trn/neg_log_prior  1.358e+04, trn/lr  1.011e-08, trn/temperature  1.000e+00, val/acc 8.127e-01, val/nll 5.931e-01
[2023-02-07 07:23:03] [Cycle   5/ 30][Epoch 178/200] trn/posterior_energy  2.590e+04, trn/neg_log_likelihood  1.233e+04, trn/neg_log_prior  1.357e+04, trn/lr  9.274e-09, trn/temperature  1.000e+00, val/acc 8.123e-01, val/nll 5.905e-01
