[2023-02-03 21:10:53] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-03 21:10:53] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR100_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.9
- args.prior_precision   : 80.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR100_x32/R20-FRN-Swish/bs-0080_ne-0500_lr-0.0000030_mo-0.90_pr-05/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-03 21:13:07] [Epoch    28/  500] trn/posterior_energy  5.319e+05, trn/neg_log_likelihood  1.663e+05, trn/neg_log_prior  3.656e+05, trn/lr  2.978e-06, val/acc 5.288e-02, val/nll 4.062e+00
[2023-02-03 21:13:11] [Epoch    29/  500] trn/posterior_energy  5.317e+05, trn/neg_log_likelihood  1.661e+05, trn/neg_log_prior  3.656e+05, trn/lr  2.976e-06, val/acc 6.582e-02, val/nll 4.017e+00
[2023-02-03 21:13:15] [Epoch    30/  500] trn/posterior_energy  5.325e+05, trn/neg_log_likelihood  1.662e+05, trn/neg_log_prior  3.663e+05, trn/lr  2.974e-06, val/acc 4.867e-02, val/nll 4.077e+00
[2023-02-03 21:13:18] [Epoch    31/  500] trn/posterior_energy  5.318e+05, trn/neg_log_likelihood  1.661e+05, trn/neg_log_prior  3.657e+05, trn/lr  2.973e-06, val/acc 6.095e-02, val/nll 4.013e+00
[2023-02-03 21:13:22] [Epoch    32/  500] trn/posterior_energy  5.321e+05, trn/neg_log_likelihood  1.661e+05, trn/neg_log_prior  3.660e+05, trn/lr  2.971e-06, val/acc 6.416e-02, val/nll 4.029e+00
[2023-02-03 21:13:26] [Epoch    33/  500] trn/posterior_energy  5.322e+05, trn/neg_log_likelihood  1.661e+05, trn/neg_log_prior  3.661e+05, trn/lr  2.969e-06, val/acc 6.150e-02, val/nll 4.045e+00
[2023-02-03 21:13:30] [Epoch    34/  500] trn/posterior_energy  5.318e+05, trn/neg_log_likelihood  1.659e+05, trn/neg_log_prior  3.659e+05, trn/lr  2.967e-06, val/acc 5.332e-02, val/nll 4.036e+00
[2023-02-03 21:13:34] [Epoch    35/  500] trn/posterior_energy  5.315e+05, trn/neg_log_likelihood  1.656e+05, trn/neg_log_prior  3.659e+05, trn/lr  2.965e-06, val/acc 5.719e-02, val/nll 4.056e+00
[2023-02-03 21:13:37] [Epoch    36/  500] trn/posterior_energy  5.321e+05, trn/neg_log_likelihood  1.659e+05, trn/neg_log_prior  3.662e+05, trn/lr  2.963e-06, val/acc 5.155e-02, val/nll 4.090e+00
[2023-02-03 21:13:41] [Epoch    37/  500] trn/posterior_energy  5.318e+05, trn/neg_log_likelihood  1.656e+05, trn/neg_log_prior  3.662e+05, trn/lr  2.961e-06, val/acc 5.575e-02, val/nll 4.019e+00
[2023-02-03 21:13:45] [Epoch    38/  500] trn/posterior_energy  5.315e+05, trn/neg_log_likelihood  1.656e+05, trn/neg_log_prior  3.659e+05, trn/lr  2.959e-06, val/acc 5.907e-02, val/nll 4.059e+00
[2023-02-03 21:13:49] [Epoch    39/  500] trn/posterior_energy  5.311e+05, trn/neg_log_likelihood  1.651e+05, trn/neg_log_prior  3.659e+05, trn/lr  2.956e-06, val/acc 5.553e-02, val/nll 4.093e+00
[2023-02-03 21:13:52] [Epoch    40/  500] trn/posterior_energy  5.538e+05, trn/neg_log_likelihood  1.659e+05, trn/neg_log_prior  3.879e+05, trn/lr  2.954e-06, val/acc 5.299e-02, val/nll 4.115e+00
[2023-02-03 21:13:56] [Epoch    41/  500] trn/posterior_energy  5.458e+05, trn/neg_log_likelihood  1.659e+05, trn/neg_log_prior  3.800e+05, trn/lr  2.952e-06, val/acc 5.796e-02, val/nll 4.036e+00
[2023-02-03 21:14:00] [Epoch    42/  500] trn/posterior_energy  5.328e+05, trn/neg_log_likelihood  1.656e+05, trn/neg_log_prior  3.672e+05, trn/lr  2.949e-06, val/acc 6.239e-02, val/nll 4.034e+00
[2023-02-03 21:14:04] [Epoch    43/  500] trn/posterior_energy  5.367e+05, trn/neg_log_likelihood  1.655e+05, trn/neg_log_prior  3.711e+05, trn/lr  2.947e-06, val/acc 6.748e-02, val/nll 4.024e+00
[2023-02-03 21:14:08] [Epoch    44/  500] trn/posterior_energy  5.319e+05, trn/neg_log_likelihood  1.652e+05, trn/neg_log_prior  3.667e+05, trn/lr  2.944e-06, val/acc 5.885e-02, val/nll 4.045e+00
