[2023-02-05 21:59:38] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 21:59:38] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.97
- args.prior_precision   : 40.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000003_mo-0.97_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 21:59:43] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 22:00:26] [Epoch     1/  500] trn/posterior_energy  4.226e+06, trn/neg_log_likelihood  8.086e+04, trn/neg_log_prior  4.145e+06, trn/lr  3.000e-07, val/acc 4.091e-01, val/nll 1.581e+00 (best_acc: 0.000e+00 -> 4.091e-01, test_acc: 4.145e-01, test_nll: 1.574e+00)
[2023-02-05 22:04:40] [Epoch    20/  500] trn/posterior_energy  4.027e+06, trn/neg_log_likelihood  1.686e+04, trn/neg_log_prior  4.010e+06, trn/lr  2.989e-07, val/acc 7.910e-01, val/nll 6.356e-01
[2023-02-05 22:04:54] [Epoch    21/  500] trn/posterior_energy  4.027e+06, trn/neg_log_likelihood  1.688e+04, trn/neg_log_prior  4.010e+06, trn/lr  2.988e-07, val/acc 8.155e-01, val/nll 5.577e-01 (best_acc: 8.051e-01 -> 8.155e-01, test_acc: 8.165e-01, test_nll: 5.612e-01)
[2023-02-05 22:05:06] [Epoch    22/  500] trn/posterior_energy  4.027e+06, trn/neg_log_likelihood  1.620e+04, trn/neg_log_prior  4.011e+06, trn/lr  2.986e-07, val/acc 7.936e-01, val/nll 6.400e-01
[2023-02-05 22:05:18] [Epoch    23/  500] trn/posterior_energy  4.027e+06, trn/neg_log_likelihood  1.588e+04, trn/neg_log_prior  4.011e+06, trn/lr  2.985e-07, val/acc 8.123e-01, val/nll 5.671e-01
[2023-02-05 22:05:30] [Epoch    24/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.596e+04, trn/neg_log_prior  4.012e+06, trn/lr  2.984e-07, val/acc 7.909e-01, val/nll 6.533e-01
[2023-02-05 22:05:44] [Epoch    25/  500] trn/posterior_energy  4.027e+06, trn/neg_log_likelihood  1.497e+04, trn/neg_log_prior  4.012e+06, trn/lr  2.982e-07, val/acc 8.197e-01, val/nll 5.525e-01 (best_acc: 8.155e-01 -> 8.197e-01, test_acc: 8.174e-01, test_nll: 5.696e-01)
[2023-02-05 22:05:56] [Epoch    26/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.513e+04, trn/neg_log_prior  4.012e+06, trn/lr  2.981e-07, val/acc 8.170e-01, val/nll 5.728e-01
[2023-02-05 22:06:09] [Epoch    27/  500] trn/posterior_energy  4.027e+06, trn/neg_log_likelihood  1.470e+04, trn/neg_log_prior  4.013e+06, trn/lr  2.979e-07, val/acc 7.878e-01, val/nll 6.511e-01
[2023-02-05 22:06:20] [Epoch    28/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.467e+04, trn/neg_log_prior  4.013e+06, trn/lr  2.978e-07, val/acc 8.118e-01, val/nll 5.725e-01
[2023-02-05 22:06:33] [Epoch    29/  500] trn/posterior_energy  4.027e+06, trn/neg_log_likelihood  1.400e+04, trn/neg_log_prior  4.013e+06, trn/lr  2.976e-07, val/acc 8.087e-01, val/nll 5.779e-01
[2023-02-05 22:06:47] [Epoch    30/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.409e+04, trn/neg_log_prior  4.014e+06, trn/lr  2.974e-07, val/acc 8.204e-01, val/nll 5.555e-01 (best_acc: 8.197e-01 -> 8.204e-01, test_acc: 8.172e-01, test_nll: 5.655e-01)
[2023-02-05 22:06:59] [Epoch    31/  500] trn/posterior_energy  4.027e+06, trn/neg_log_likelihood  1.332e+04, trn/neg_log_prior  4.014e+06, trn/lr  2.973e-07, val/acc 8.096e-01, val/nll 5.849e-01
[2023-02-05 22:07:11] [Epoch    32/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.375e+04, trn/neg_log_prior  4.014e+06, trn/lr  2.971e-07, val/acc 8.113e-01, val/nll 5.676e-01
[2023-02-05 22:07:23] [Epoch    33/  500] trn/posterior_energy  4.027e+06, trn/neg_log_likelihood  1.298e+04, trn/neg_log_prior  4.014e+06, trn/lr  2.969e-07, val/acc 8.160e-01, val/nll 5.605e-01
[2023-02-05 22:07:35] [Epoch    34/  500] trn/posterior_energy  4.027e+06, trn/neg_log_likelihood  1.267e+04, trn/neg_log_prior  4.015e+06, trn/lr  2.967e-07, val/acc 8.189e-01, val/nll 5.695e-01
[2023-02-05 22:07:47] [Epoch    35/  500] trn/posterior_energy  4.027e+06, trn/neg_log_likelihood  1.259e+04, trn/neg_log_prior  4.015e+06, trn/lr  2.965e-07, val/acc 8.129e-01, val/nll 5.723e-01
[2023-02-05 22:07:59] [Epoch    36/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.274e+04, trn/neg_log_prior  4.015e+06, trn/lr  2.963e-07, val/acc 8.087e-01, val/nll 6.122e-01
[2023-02-05 22:08:11] [Epoch    37/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.287e+04, trn/neg_log_prior  4.015e+06, trn/lr  2.961e-07, val/acc 8.086e-01, val/nll 5.845e-01
[2023-02-05 22:08:23] [Epoch    38/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.238e+04, trn/neg_log_prior  4.015e+06, trn/lr  2.959e-07, val/acc 7.965e-01, val/nll 6.288e-01
[2023-02-05 22:08:35] [Epoch    39/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.266e+04, trn/neg_log_prior  4.016e+06, trn/lr  2.956e-07, val/acc 8.031e-01, val/nll 6.256e-01
[2023-02-05 22:08:48] [Epoch    40/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.194e+04, trn/neg_log_prior  4.016e+06, trn/lr  2.954e-07, val/acc 8.263e-01, val/nll 5.197e-01 (best_acc: 8.204e-01 -> 8.263e-01, test_acc: 8.291e-01, test_nll: 5.339e-01)
[2023-02-05 22:09:01] [Epoch    41/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.205e+04, trn/neg_log_prior  4.016e+06, trn/lr  2.952e-07, val/acc 7.876e-01, val/nll 6.717e-01
[2023-02-05 22:09:13] [Epoch    42/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.218e+04, trn/neg_log_prior  4.016e+06, trn/lr  2.949e-07, val/acc 8.215e-01, val/nll 5.593e-01
[2023-02-05 22:09:25] [Epoch    43/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.156e+04, trn/neg_log_prior  4.016e+06, trn/lr  2.947e-07, val/acc 7.819e-01, val/nll 7.466e-01
[2023-02-05 22:09:37] [Epoch    44/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.183e+04, trn/neg_log_prior  4.016e+06, trn/lr  2.944e-07, val/acc 7.952e-01, val/nll 6.476e-01
[2023-02-05 22:09:49] [Epoch    45/  500] trn/posterior_energy  4.029e+06, trn/neg_log_likelihood  1.224e+04, trn/neg_log_prior  4.016e+06, trn/lr  2.942e-07, val/acc 8.136e-01, val/nll 5.678e-01
[2023-02-05 22:10:01] [Epoch    46/  500] trn/posterior_energy  4.027e+06, trn/neg_log_likelihood  1.125e+04, trn/neg_log_prior  4.016e+06, trn/lr  2.939e-07, val/acc 8.074e-01, val/nll 6.107e-01
[2023-02-05 22:10:13] [Epoch    47/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.173e+04, trn/neg_log_prior  4.016e+06, trn/lr  2.936e-07, val/acc 8.077e-01, val/nll 6.001e-01
[2023-02-05 22:10:26] [Epoch    48/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.180e+04, trn/neg_log_prior  4.017e+06, trn/lr  2.934e-07, val/acc 8.065e-01, val/nll 5.934e-01
[2023-02-05 22:10:38] [Epoch    49/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.122e+04, trn/neg_log_prior  4.017e+06, trn/lr  2.931e-07, val/acc 7.900e-01, val/nll 6.567e-01
[2023-02-05 22:10:50] [Epoch    50/  500] trn/posterior_energy  4.027e+06, trn/neg_log_likelihood  1.102e+04, trn/neg_log_prior  4.016e+06, trn/lr  2.928e-07, val/acc 8.105e-01, val/nll 6.188e-01
[2023-02-05 22:11:02] [Epoch    51/  500] trn/posterior_energy  4.029e+06, trn/neg_log_likelihood  1.177e+04, trn/neg_log_prior  4.017e+06, trn/lr  2.925e-07, val/acc 8.180e-01, val/nll 5.733e-01
[2023-02-05 22:11:14] [Epoch    52/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.100e+04, trn/neg_log_prior  4.017e+06, trn/lr  2.922e-07, val/acc 8.100e-01, val/nll 5.943e-01
[2023-02-05 22:11:26] [Epoch    53/  500] trn/posterior_energy  4.029e+06, trn/neg_log_likelihood  1.152e+04, trn/neg_log_prior  4.017e+06, trn/lr  2.919e-07, val/acc 8.170e-01, val/nll 5.977e-01
[2023-02-05 22:11:38] [Epoch    54/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.100e+04, trn/neg_log_prior  4.017e+06, trn/lr  2.916e-07, val/acc 8.204e-01, val/nll 5.685e-01
[2023-02-05 22:11:50] [Epoch    55/  500] trn/posterior_energy  4.029e+06, trn/neg_log_likelihood  1.134e+04, trn/neg_log_prior  4.017e+06, trn/lr  2.913e-07, val/acc 8.086e-01, val/nll 5.946e-01
[2023-02-05 22:12:02] [Epoch    56/  500] trn/posterior_energy  4.029e+06, trn/neg_log_likelihood  1.103e+04, trn/neg_log_prior  4.017e+06, trn/lr  2.910e-07, val/acc 8.178e-01, val/nll 5.780e-01
[2023-02-05 22:12:15] [Epoch    57/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.090e+04, trn/neg_log_prior  4.017e+06, trn/lr  2.906e-07, val/acc 8.290e-01, val/nll 5.296e-01 (best_acc: 8.263e-01 -> 8.290e-01, test_acc: 8.274e-01, test_nll: 5.398e-01)
[2023-02-05 22:12:28] [Epoch    58/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.099e+04, trn/neg_log_prior  4.017e+06, trn/lr  2.903e-07, val/acc 8.282e-01, val/nll 5.393e-01
[2023-02-05 22:12:40] [Epoch    59/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.104e+04, trn/neg_log_prior  4.017e+06, trn/lr  2.900e-07, val/acc 8.117e-01, val/nll 5.963e-01
[2023-02-05 22:12:52] [Epoch    60/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.065e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.896e-07, val/acc 8.146e-01, val/nll 5.709e-01
[2023-02-05 22:13:04] [Epoch    61/  500] trn/posterior_energy  4.029e+06, trn/neg_log_likelihood  1.115e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.893e-07, val/acc 8.175e-01, val/nll 5.950e-01
[2023-02-05 22:13:16] [Epoch    62/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.014e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.889e-07, val/acc 8.098e-01, val/nll 6.373e-01
[2023-02-05 22:13:28] [Epoch    63/  500] trn/posterior_energy  4.029e+06, trn/neg_log_likelihood  1.129e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.886e-07, val/acc 8.019e-01, val/nll 6.201e-01
[2023-02-05 22:13:40] [Epoch    64/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.027e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.882e-07, val/acc 8.169e-01, val/nll 5.900e-01
[2023-02-05 22:13:51] [Epoch    65/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.070e+04, trn/neg_log_prior  4.017e+06, trn/lr  2.878e-07, val/acc 8.204e-01, val/nll 5.473e-01
[2023-02-05 22:14:03] [Epoch    66/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.029e+04, trn/neg_log_prior  4.017e+06, trn/lr  2.875e-07, val/acc 8.061e-01, val/nll 6.251e-01
[2023-02-05 22:14:15] [Epoch    67/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.049e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.871e-07, val/acc 8.114e-01, val/nll 6.077e-01
[2023-02-05 22:14:27] [Epoch    68/  500] trn/posterior_energy  4.029e+06, trn/neg_log_likelihood  1.102e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.867e-07, val/acc 8.003e-01, val/nll 6.203e-01
[2023-02-05 22:14:39] [Epoch    69/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  9.862e+03, trn/neg_log_prior  4.018e+06, trn/lr  2.863e-07, val/acc 7.987e-01, val/nll 6.631e-01
[2023-02-05 22:14:51] [Epoch    70/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.023e+04, trn/neg_log_prior  4.017e+06, trn/lr  2.859e-07, val/acc 8.208e-01, val/nll 5.776e-01
[2023-02-05 22:15:03] [Epoch    71/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.051e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.855e-07, val/acc 8.204e-01, val/nll 5.770e-01
[2023-02-05 22:15:15] [Epoch    72/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.058e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.851e-07, val/acc 8.126e-01, val/nll 5.978e-01
[2023-02-05 22:15:28] [Epoch    73/  500] trn/posterior_energy  4.027e+06, trn/neg_log_likelihood  9.773e+03, trn/neg_log_prior  4.018e+06, trn/lr  2.847e-07, val/acc 8.163e-01, val/nll 6.053e-01
[2023-02-05 22:15:40] [Epoch    74/  500] trn/posterior_energy  4.029e+06, trn/neg_log_likelihood  1.105e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.843e-07, val/acc 8.108e-01, val/nll 6.149e-01
[2023-02-05 22:15:52] [Epoch    75/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.010e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.839e-07, val/acc 8.012e-01, val/nll 6.834e-01
[2023-02-05 22:16:04] [Epoch    76/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.048e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.834e-07, val/acc 7.871e-01, val/nll 6.853e-01
[2023-02-05 22:16:16] [Epoch    77/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.002e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.830e-07, val/acc 7.826e-01, val/nll 7.350e-01
[2023-02-05 22:16:28] [Epoch    78/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.012e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.826e-07, val/acc 8.134e-01, val/nll 6.120e-01
[2023-02-05 22:16:40] [Epoch    79/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  9.838e+03, trn/neg_log_prior  4.018e+06, trn/lr  2.821e-07, val/acc 8.038e-01, val/nll 6.302e-01
[2023-02-05 22:16:53] [Epoch    80/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  9.951e+03, trn/neg_log_prior  4.018e+06, trn/lr  2.817e-07, val/acc 8.204e-01, val/nll 5.806e-01
[2023-02-05 22:17:05] [Epoch    81/  500] trn/posterior_energy  4.029e+06, trn/neg_log_likelihood  1.057e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.812e-07, val/acc 7.746e-01, val/nll 7.135e-01
[2023-02-05 22:17:17] [Epoch    82/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  9.571e+03, trn/neg_log_prior  4.018e+06, trn/lr  2.808e-07, val/acc 7.989e-01, val/nll 6.428e-01
[2023-02-05 22:17:29] [Epoch    83/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.010e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.803e-07, val/acc 8.217e-01, val/nll 5.610e-01
[2023-02-05 22:17:42] [Epoch    84/  500] trn/posterior_energy  4.027e+06, trn/neg_log_likelihood  9.589e+03, trn/neg_log_prior  4.018e+06, trn/lr  2.798e-07, val/acc 8.184e-01, val/nll 5.823e-01
[2023-02-05 22:17:54] [Epoch    85/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.014e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.794e-07, val/acc 8.191e-01, val/nll 5.801e-01
[2023-02-05 22:18:06] [Epoch    86/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  9.592e+03, trn/neg_log_prior  4.018e+06, trn/lr  2.789e-07, val/acc 8.105e-01, val/nll 5.963e-01
[2023-02-05 22:18:18] [Epoch    87/  500] trn/posterior_energy  4.029e+06, trn/neg_log_likelihood  1.071e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.784e-07, val/acc 8.079e-01, val/nll 6.244e-01
[2023-02-05 22:18:30] [Epoch    88/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  9.874e+03, trn/neg_log_prior  4.018e+06, trn/lr  2.779e-07, val/acc 8.013e-01, val/nll 6.428e-01
[2023-02-05 22:18:43] [Epoch    89/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  9.864e+03, trn/neg_log_prior  4.018e+06, trn/lr  2.774e-07, val/acc 8.059e-01, val/nll 6.462e-01
[2023-02-05 22:18:55] [Epoch    90/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.001e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.769e-07, val/acc 8.103e-01, val/nll 6.084e-01
[2023-02-05 22:19:07] [Epoch    91/  500] trn/posterior_energy  4.027e+06, trn/neg_log_likelihood  9.413e+03, trn/neg_log_prior  4.018e+06, trn/lr  2.764e-07, val/acc 8.077e-01, val/nll 6.134e-01
[2023-02-05 22:19:19] [Epoch    92/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  1.013e+04, trn/neg_log_prior  4.018e+06, trn/lr  2.759e-07, val/acc 8.127e-01, val/nll 6.174e-01
[2023-02-05 22:19:31] [Epoch    93/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  9.673e+03, trn/neg_log_prior  4.018e+06, trn/lr  2.754e-07, val/acc 8.191e-01, val/nll 5.821e-01
[2023-02-05 22:19:45] [Epoch    94/  500] trn/posterior_energy  4.027e+06, trn/neg_log_likelihood  9.014e+03, trn/neg_log_prior  4.018e+06, trn/lr  2.749e-07, val/acc 8.315e-01, val/nll 5.535e-01 (best_acc: 8.290e-01 -> 8.315e-01, test_acc: 8.273e-01, test_nll: 5.748e-01)
[2023-02-05 22:19:58] [Epoch    95/  500] trn/posterior_energy  4.028e+06, trn/neg_log_likelihood  9.813e+03, trn/neg_log_prior  4.018e+06, trn/lr  2.743e-07, val/acc 8.049e-01, val/nll 6.228e-01
