[2023-05-31 04:48:21] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-05-31 04:48:21] Command line arguments:
- args.data_root             : ./data/
- args.data_name             : ImageNet1k_x64
- args.resnet_depth          : 50
- args.resnet_width          : 1
- args.batch_size            : 1024
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 128000
- args.optim_lr              : 0.4
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.1
- args.optim_global_clipping : None
- args.save                  : ./save/ImageNet1k_x64/resnet_50x1-batch_1024-iter_128k-lr_0.4-wd_0.0001-fp16/42/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-05-31 06:37:25] [Iter   22000/ 128000] trn/loss 2.663e+00, trn/negative_log_likelihood 2.663e+00, trn/w_norm 1.361e+02, trn/g_norm inf, trn/lr 3.944e-01, trn/dyn_scale 6.550e+04, val/acc 4.705e-01, val/nll 2.377e+00, val/best_acc 4.739e-01
[2023-05-31 06:42:16] [Iter   23000/ 128000] trn/loss 2.647e+00, trn/negative_log_likelihood 2.647e+00, trn/w_norm 1.362e+02, trn/g_norm inf, trn/lr 3.930e-01, trn/dyn_scale 6.550e+04, val/acc 4.722e-01, val/nll 2.387e+00, val/best_acc 4.739e-01
[2023-05-31 06:47:08] [Iter   24000/ 128000] trn/loss 2.639e+00, trn/negative_log_likelihood 2.639e+00, trn/w_norm 1.365e+02, trn/g_norm inf, trn/lr 3.915e-01, trn/dyn_scale 6.550e+04, val/acc 4.687e-01, val/nll 2.392e+00, val/best_acc 4.739e-01
[2023-05-31 06:52:02] [Iter   25000/ 128000] trn/loss 2.626e+00, trn/negative_log_likelihood 2.626e+00, trn/w_norm 1.368e+02, trn/g_norm 9.747e-01, trn/lr 3.899e-01, trn/dyn_scale 6.554e+04, val/acc 4.855e-01, val/nll 2.336e+00, val/best_acc 4.855e-01 (best_acc: 4.739e-01 -> 4.855e-01), tst/acc 4.855e-01, tst/nll 2.336e+00
[2023-05-31 06:56:52] [Iter   26000/ 128000] trn/loss 2.607e+00, trn/negative_log_likelihood 2.607e+00, trn/w_norm 1.371e+02, trn/g_norm inf, trn/lr 3.881e-01, trn/dyn_scale 6.550e+04, val/acc 4.668e-01, val/nll 2.424e+00, val/best_acc 4.855e-01
[2023-05-31 07:01:48] [Iter   27000/ 128000] trn/loss 2.594e+00, trn/negative_log_likelihood 2.594e+00, trn/w_norm 1.373e+02, trn/g_norm inf, trn/lr 3.862e-01, trn/dyn_scale 6.550e+04, val/acc 4.929e-01, val/nll 2.316e+00, val/best_acc 4.929e-01 (best_acc: 4.855e-01 -> 4.929e-01), tst/acc 4.929e-01, tst/nll 2.316e+00
[2023-05-31 07:06:38] [Iter   28000/ 128000] trn/loss 2.590e+00, trn/negative_log_likelihood 2.590e+00, trn/w_norm 1.375e+02, trn/g_norm inf, trn/lr 3.841e-01, trn/dyn_scale 6.550e+04, val/acc 4.747e-01, val/nll 2.413e+00, val/best_acc 4.929e-01
[2023-05-31 07:11:32] [Iter   29000/ 128000] trn/loss 2.583e+00, trn/negative_log_likelihood 2.583e+00, trn/w_norm 1.377e+02, trn/g_norm inf, trn/lr 3.819e-01, trn/dyn_scale 6.550e+04, val/acc 4.930e-01, val/nll 2.333e+00, val/best_acc 4.930e-01 (best_acc: 4.929e-01 -> 4.930e-01), tst/acc 4.930e-01, tst/nll 2.333e+00
[2023-05-31 07:16:19] [Iter   30000/ 128000] trn/loss 2.578e+00, trn/negative_log_likelihood 2.578e+00, trn/w_norm 1.379e+02, trn/g_norm 9.924e-01, trn/lr 3.796e-01, trn/dyn_scale 6.554e+04, val/acc 4.793e-01, val/nll 2.375e+00, val/best_acc 4.930e-01
[2023-05-31 07:21:12] [Iter   31000/ 128000] trn/loss 2.557e+00, trn/negative_log_likelihood 2.557e+00, trn/w_norm 1.380e+02, trn/g_norm inf, trn/lr 3.771e-01, trn/dyn_scale 6.550e+04, val/acc 5.006e-01, val/nll 2.228e+00, val/best_acc 5.006e-01 (best_acc: 4.930e-01 -> 5.006e-01), tst/acc 5.006e-01, tst/nll 2.228e+00
[2023-05-31 07:26:01] [Iter   32000/ 128000] trn/loss 2.550e+00, trn/negative_log_likelihood 2.550e+00, trn/w_norm 1.381e+02, trn/g_norm inf, trn/lr 3.745e-01, trn/dyn_scale 6.550e+04, val/acc 4.990e-01, val/nll 2.294e+00, val/best_acc 5.006e-01
[2023-05-31 07:30:57] [Iter   33000/ 128000] trn/loss 2.546e+00, trn/negative_log_likelihood 2.546e+00, trn/w_norm 1.382e+02, trn/g_norm inf, trn/lr 3.718e-01, trn/dyn_scale 6.550e+04, val/acc 5.160e-01, val/nll 2.171e+00, val/best_acc 5.160e-01 (best_acc: 5.006e-01 -> 5.160e-01), tst/acc 5.160e-01, tst/nll 2.171e+00
[2023-05-31 07:35:47] [Iter   34000/ 128000] trn/loss 2.538e+00, trn/negative_log_likelihood 2.538e+00, trn/w_norm 1.382e+02, trn/g_norm inf, trn/lr 3.690e-01, trn/dyn_scale 6.550e+04, val/acc 4.885e-01, val/nll 2.282e+00, val/best_acc 5.160e-01
[2023-05-31 07:40:33] [Iter   35000/ 128000] trn/loss 2.533e+00, trn/negative_log_likelihood 2.533e+00, trn/w_norm 1.382e+02, trn/g_norm 1.011e+00, trn/lr 3.660e-01, trn/dyn_scale 6.554e+04, val/acc 4.985e-01, val/nll 2.276e+00, val/best_acc 5.160e-01
[2023-05-31 07:45:23] [Iter   36000/ 128000] trn/loss 2.514e+00, trn/negative_log_likelihood 2.514e+00, trn/w_norm 1.383e+02, trn/g_norm inf, trn/lr 3.629e-01, trn/dyn_scale 6.550e+04, val/acc 4.686e-01, val/nll 2.483e+00, val/best_acc 5.160e-01
[2023-05-31 07:50:13] [Iter   37000/ 128000] trn/loss 2.512e+00, trn/negative_log_likelihood 2.512e+00, trn/w_norm 1.383e+02, trn/g_norm inf, trn/lr 3.597e-01, trn/dyn_scale 6.550e+04, val/acc 4.890e-01, val/nll 2.321e+00, val/best_acc 5.160e-01
[2023-05-31 07:55:01] [Iter   38000/ 128000] trn/loss 2.504e+00, trn/negative_log_likelihood 2.504e+00, trn/w_norm 1.383e+02, trn/g_norm inf, trn/lr 3.563e-01, trn/dyn_scale 6.550e+04, val/acc 4.955e-01, val/nll 2.318e+00, val/best_acc 5.160e-01
[2023-05-31 07:59:49] [Iter   39000/ 128000] trn/loss 2.502e+00, trn/negative_log_likelihood 2.502e+00, trn/w_norm 1.383e+02, trn/g_norm inf, trn/lr 3.529e-01, trn/dyn_scale 6.550e+04, val/acc 4.946e-01, val/nll 2.317e+00, val/best_acc 5.160e-01
[2023-05-31 08:04:33] [Iter   40000/ 128000] trn/loss 2.495e+00, trn/negative_log_likelihood 2.495e+00, trn/w_norm 1.383e+02, trn/g_norm 1.031e+00, trn/lr 3.493e-01, trn/dyn_scale 6.554e+04, val/acc 4.987e-01, val/nll 2.279e+00, val/best_acc 5.160e-01
[2023-05-31 08:09:23] [Iter   41000/ 128000] trn/loss 2.478e+00, trn/negative_log_likelihood 2.478e+00, trn/w_norm 1.383e+02, trn/g_norm inf, trn/lr 3.456e-01, trn/dyn_scale 6.550e+04, val/acc 5.062e-01, val/nll 2.200e+00, val/best_acc 5.160e-01
[2023-05-31 08:14:11] [Iter   42000/ 128000] trn/loss 2.470e+00, trn/negative_log_likelihood 2.470e+00, trn/w_norm 1.382e+02, trn/g_norm inf, trn/lr 3.418e-01, trn/dyn_scale 6.550e+04, val/acc 5.148e-01, val/nll 2.207e+00, val/best_acc 5.160e-01
[2023-05-31 08:18:58] [Iter   43000/ 128000] trn/loss 2.465e+00, trn/negative_log_likelihood 2.465e+00, trn/w_norm 1.381e+02, trn/g_norm inf, trn/lr 3.379e-01, trn/dyn_scale 6.550e+04, val/acc 5.061e-01, val/nll 2.226e+00, val/best_acc 5.160e-01
[2023-05-31 08:23:48] [Iter   44000/ 128000] trn/loss 2.514e+00, trn/negative_log_likelihood 2.514e+00, trn/w_norm 1.387e+02, trn/g_norm 1.078e+00, trn/lr 3.339e-01, trn/dyn_scale 6.554e+04, val/acc 5.114e-01, val/nll 2.193e+00, val/best_acc 5.160e-01
[2023-05-31 08:28:37] [Iter   45000/ 128000] trn/loss 2.477e+00, trn/negative_log_likelihood 2.477e+00, trn/w_norm 1.406e+02, trn/g_norm 1.046e+00, trn/lr 3.298e-01, trn/dyn_scale 6.554e+04, val/acc 5.260e-01, val/nll 2.105e+00, val/best_acc 5.260e-01 (best_acc: 5.160e-01 -> 5.260e-01), tst/acc 5.260e-01, tst/nll 2.105e+00
[2023-05-31 08:33:29] [Iter   46000/ 128000] trn/loss 2.458e+00, trn/negative_log_likelihood 2.458e+00, trn/w_norm 1.388e+02, trn/g_norm inf, trn/lr 3.256e-01, trn/dyn_scale 6.550e+04, val/acc 5.345e-01, val/nll 2.079e+00, val/best_acc 5.345e-01 (best_acc: 5.260e-01 -> 5.345e-01), tst/acc 5.345e-01, tst/nll 2.079e+00
[2023-05-31 08:38:20] [Iter   47000/ 128000] trn/loss 2.439e+00, trn/negative_log_likelihood 2.439e+00, trn/w_norm 1.381e+02, trn/g_norm inf, trn/lr 3.213e-01, trn/dyn_scale 6.550e+04, val/acc 5.158e-01, val/nll 2.135e+00, val/best_acc 5.345e-01
[2023-05-31 08:43:10] [Iter   48000/ 128000] trn/loss 2.432e+00, trn/negative_log_likelihood 2.432e+00, trn/w_norm 1.377e+02, trn/g_norm inf, trn/lr 3.169e-01, trn/dyn_scale 6.550e+04, val/acc 5.086e-01, val/nll 2.206e+00, val/best_acc 5.345e-01
[2023-05-31 08:48:00] [Iter   49000/ 128000] trn/loss 2.428e+00, trn/negative_log_likelihood 2.428e+00, trn/w_norm 1.375e+02, trn/g_norm inf, trn/lr 3.125e-01, trn/dyn_scale 6.550e+04, val/acc 5.332e-01, val/nll 2.071e+00, val/best_acc 5.345e-01
[2023-05-31 08:52:47] [Iter   50000/ 128000] trn/loss 2.421e+00, trn/negative_log_likelihood 2.421e+00, trn/w_norm 1.374e+02, trn/g_norm 1.086e+00, trn/lr 3.079e-01, trn/dyn_scale 6.554e+04, val/acc 5.052e-01, val/nll 2.221e+00, val/best_acc 5.345e-01
