[2023-02-04 19:13:57] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-04 19:13:57] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.7
- args.prior_precision   : 2.5
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000010_mo-0.70_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-04 19:14:12] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-04 19:23:26] [Epoch    41/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  1.245e+01, trn/neg_log_prior -1.974e+06, trn/lr  9.839e-07, val/acc 8.268e-01, val/nll 8.911e-01 (best_acc: 8.263e-01 -> 8.268e-01, test_acc: 8.247e-01, test_nll: 8.888e-01)
[2023-02-04 19:23:40] [Epoch    42/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  8.754e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.831e-07, val/acc 8.292e-01, val/nll 8.885e-01 (best_acc: 8.268e-01 -> 8.292e-01, test_acc: 8.261e-01, test_nll: 8.860e-01)
[2023-02-04 19:23:53] [Epoch    43/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  7.625e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.823e-07, val/acc 8.300e-01, val/nll 8.878e-01 (best_acc: 8.292e-01 -> 8.300e-01, test_acc: 8.260e-01, test_nll: 8.850e-01)
[2023-02-04 19:24:07] [Epoch    44/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  6.999e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.814e-07, val/acc 8.310e-01, val/nll 8.869e-01 (best_acc: 8.300e-01 -> 8.310e-01, test_acc: 8.258e-01, test_nll: 8.843e-01)
[2023-02-04 19:24:21] [Epoch    45/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  6.595e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.806e-07, val/acc 8.313e-01, val/nll 8.856e-01 (best_acc: 8.310e-01 -> 8.313e-01, test_acc: 8.256e-01, test_nll: 8.833e-01)
[2023-02-04 19:24:33] [Epoch    46/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  6.313e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.797e-07, val/acc 8.313e-01, val/nll 8.845e-01
[2023-02-04 19:24:46] [Epoch    47/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  6.121e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.788e-07, val/acc 8.316e-01, val/nll 8.828e-01 (best_acc: 8.313e-01 -> 8.316e-01, test_acc: 8.276e-01, test_nll: 8.804e-01)
[2023-02-04 19:25:00] [Epoch    48/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  5.976e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.779e-07, val/acc 8.329e-01, val/nll 8.818e-01 (best_acc: 8.316e-01 -> 8.329e-01, test_acc: 8.275e-01, test_nll: 8.793e-01)
[2023-02-04 19:25:12] [Epoch    49/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  5.875e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.770e-07, val/acc 8.325e-01, val/nll 8.797e-01
[2023-02-04 19:25:23] [Epoch    50/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  5.812e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.760e-07, val/acc 8.323e-01, val/nll 8.772e-01
[2023-02-04 19:25:34] [Epoch    51/  500] trn/posterior_energy -1.974e+06, trn/neg_log_likelihood  5.766e+00, trn/neg_log_prior -1.974e+06, trn/lr  9.750e-07, val/acc 8.321e-01, val/nll 8.764e-01
[2023-02-04 19:25:46] [Epoch    52/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  5.736e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.741e-07, val/acc 8.320e-01, val/nll 8.748e-01
[2023-02-04 19:25:57] [Epoch    53/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  5.729e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.730e-07, val/acc 8.315e-01, val/nll 8.726e-01
[2023-02-04 19:26:09] [Epoch    54/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  5.726e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.720e-07, val/acc 8.315e-01, val/nll 8.707e-01
[2023-02-04 19:26:21] [Epoch    55/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  5.744e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.710e-07, val/acc 8.322e-01, val/nll 8.701e-01
[2023-02-04 19:26:33] [Epoch    56/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  5.761e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.699e-07, val/acc 8.316e-01, val/nll 8.677e-01
[2023-02-04 19:26:45] [Epoch    57/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  5.791e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.688e-07, val/acc 8.316e-01, val/nll 8.655e-01
[2023-02-04 19:26:57] [Epoch    58/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  5.825e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.677e-07, val/acc 8.323e-01, val/nll 8.637e-01
[2023-02-04 19:27:08] [Epoch    59/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  5.861e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.666e-07, val/acc 8.327e-01, val/nll 8.622e-01
[2023-02-04 19:27:20] [Epoch    60/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  5.911e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.655e-07, val/acc 8.324e-01, val/nll 8.600e-01
[2023-02-04 19:27:32] [Epoch    61/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  5.952e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.643e-07, val/acc 8.323e-01, val/nll 8.580e-01
[2023-02-04 19:27:43] [Epoch    62/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  6.008e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.631e-07, val/acc 8.327e-01, val/nll 8.570e-01
[2023-02-04 19:27:55] [Epoch    63/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  6.061e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.619e-07, val/acc 8.329e-01, val/nll 8.550e-01
[2023-02-04 19:28:09] [Epoch    64/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  6.113e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.607e-07, val/acc 8.335e-01, val/nll 8.546e-01 (best_acc: 8.329e-01 -> 8.335e-01, test_acc: 8.277e-01, test_nll: 8.544e-01)
[2023-02-04 19:28:21] [Epoch    65/  500] trn/posterior_energy -1.975e+06, trn/neg_log_likelihood  6.178e+00, trn/neg_log_prior -1.975e+06, trn/lr  9.595e-07, val/acc 8.333e-01, val/nll 8.532e-01
[2023-02-04 19:28:34] [Epoch    66/  500] trn/posterior_energy -1.976e+06, trn/neg_log_likelihood  6.238e+00, trn/neg_log_prior -1.976e+06, trn/lr  9.583e-07, val/acc 8.336e-01, val/nll 8.512e-01 (best_acc: 8.335e-01 -> 8.336e-01, test_acc: 8.278e-01, test_nll: 8.511e-01)
